node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,16,0.00105263157894737,148.91397553032,0.384838876134813,3,0.00206741796455015,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
2,18,0.00108108108108108,223.207106171661,0.407281846333238,3,0.00230211389421219,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
3,19,0.00107874865156419,212.862396197475,0.454680357336618,3,0.00239206042258938,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
4,23,0.00112485939257593,334.316653380491,0.544520242953243,3,0.00281584686666623,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
5,19,0.00107411385606874,243.821348281227,0.43058592763813,3,0.00242504914434007,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
6,25,0.00113378684807256,374.70244080806,0.603596064702884,3,0.00302860041547671,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
7,22,0.00111607142857143,297.111219098231,0.514368229488047,3,0.0027200234882068,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
8,18,0.00107411385606874,192.16287157236,0.445359961726732,3,0.00227871967424311,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
9,17,0.00105263157894737,195.43105068037,0.37218290879495,3,0.00219821981398343,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
10,21,0.00112612612612613,243.03211078066,0.539349725102489,3,0.00257485848842293,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
11,27,0.00117508813160987,473.884030048056,0.654961226179963,3,0.00323785359006928,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
12,23,0.00111607142857143,334.231352503118,0.525641807814897,3,0.00283275561980838,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
13,30,0.00116959064327485,644.832580471232,0.676324131627974,3,0.00361544500895161,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
14,14,0.00103842159916926,105.991666818849,0.349113961906148,3,0.00184669010475606,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
15,17,0.00105596620908131,178.487264494616,0.385107568481583,3,0.0021918489733052,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
16,20,0.00110497237569061,241.817309827591,0.514977701661665,3,0.00248244936214218,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
17,18,0.00106609808102345,207.817857734122,0.397757220028506,3,0.00230326957129532,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
18,18,0.00107874865156419,188.976722143983,0.43989756848535,3,0.00228157740993373,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
19,14,0.00104931794333683,108.644923984166,0.352995421061497,3,0.00184472326393817,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
20,23,0.00112994350282486,316.604513224714,0.591606822315605,3,0.0027982691917361,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
21,16,0.00104166666666667,151.957583688993,0.369908042032144,3,0.00208082757881334,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
22,23,0.00110987791342952,340.135660434468,0.508480268955385,3,0.00283779107676682,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
23,20,0.00110132158590308,227.391258704765,0.493869473581227,3,0.00247892272333983,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
24,10,0.0009765625,64.8187311997884,0.223199671589078,3,0.00145287105278848,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
25,15,0.00104384133611691,143.52475660333,0.351273302308572,3,0.0019743878666159,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
26,30,0.00119047619047619,575.70126203813,0.740460640671772,3,0.00355995681407628,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
27,24,0.00112359550561798,351.27906221582,0.559798199678035,3,0.00293102717813073,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
28,18,0.0010752688172043,211.977443317975,0.409234112994266,3,0.0022985464515731,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
29,21,0.00110132158590308,257.539389915144,0.509901421813514,3,0.0025990417268641,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
30,22,0.00112359550561798,313.635440765588,0.541748833765363,3,0.00271279068666446,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
31,16,0.00104058272632674,159.232720868869,0.34503743453203,3,0.00209026162489387,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
32,24,0.00114942528735632,354.798094565028,0.600498326324598,3,0.00290823938925248,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
33,23,0.00112866817155756,352.637794785153,0.527569814336397,3,0.00283951162403776,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
34,23,0.00112107623318386,325.98018134023,0.554707966784734,3,0.00281814809849531,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
35,26,0.00114285714285714,366.406803763052,0.669474574464023,3,0.00310654940495777,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
36,22,0.00112739571589628,282.412358210757,0.541099862315741,3,0.00269362362563578,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
37,23,0.00113636363636364,295.010781170337,0.598197271959315,3,0.00278217282536518,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
38,12,0.00101522842639594,91.6581124356441,0.287765009996292,3,0.00165031113557253,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
39,18,0.00108108108108108,210.010501678979,0.42298644137885,3,0.00228857319106574,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
40,28,0.00117785630153121,485.615755964417,0.691875452763096,3,0.00333594343502873,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
41,25,0.00112866817155756,404.118644753128,0.5741494535627,3,0.00304817937296915,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
42,22,0.00111731843575419,320.867556401221,0.525476562904248,3,0.00273161619055773,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
43,23,0.00111982082866741,305.220759192271,0.549766601733561,3,0.00280822726989426,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
44,16,0.00105042016806723,150.823139917175,0.386346877723394,3,0.00206778769438154,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
45,20,0.00109529025191676,258.448329805932,0.461323124724731,3,0.00251251150289624,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
46,20,0.00109409190371991,220.426635392276,0.490912436751305,3,0.00248664394513628,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
47,29,0.00116009280742459,482.162670120745,0.70197249197866,3,0.00344253243842685,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
48,20,0.0011037527593819,245.101859428147,0.489924701552917,3,0.00249502934741458,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
49,22,0.00110741971207087,282.438277671363,0.543019795449277,3,0.0027014243927586,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
50,16,0.00106157112526539,149.672285429845,0.401465012666454,3,0.00206514108344371,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
51,15,0.00106269925611052,131.76550033632,0.375280249532658,3,0.00195125286377018,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
52,25,0.00112739571589628,406.998078776435,0.557894730046197,3,0.00305759950828732,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
53,17,0.00106951871657754,179.83899065485,0.400950190979256,3,0.00217744551343856,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
54,25,0.00113765642775882,416.668037021519,0.569903490692198,3,0.00305263810162367,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
55,20,0.00109289617486339,223.057022326995,0.503016099065312,3,0.00248134549302947,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
56,20,0.00108932461873638,248.937350925694,0.458540153173791,3,0.00251023876098411,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
57,16,0.0010515247108307,163.245966211283,0.370202272447019,3,0.00207788526816989,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
58,21,0.00112739571589628,254.456433674614,0.550383724699414,3,0.00257573321595607,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
59,16,0.0010515247108307,158.650870291027,0.378139010495401,3,0.00208145223833486,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
60,16,0.00106951871657754,153.391689246499,0.398841857475579,3,0.00206318797051835,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
61,24,0.00112233445566779,354.518305129114,0.562468276641282,3,0.00292166315354341,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
62,22,0.00110619469026549,294.897588504254,0.502573395390059,3,0.00272396472501171,400,3999,19.995,38,2.29966165413534,0.0505947561811048,3,0.0501127819548872,-0.00968218950408247,2.29966165413534,4062,3
