node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,9,0.00909,104.268,0.372,4,0.04395,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
2,8,0.0102,135.951,0.509,3,0.03855,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
3,16,0.01136,337.356,0.831,3,0.07434,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
4,3,0.00806,6.442,0.248,4,0.01591,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
5,20,0.0125,497.232,1,3,0.09268,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
6,6,0.00885,54.323,0.336,4,0.03,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
7,6,0.00862,50.956,0.325,4,0.0297,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
8,2,0.0087,0,0.295,3,0.01089,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
9,4,0.008,25.331,0.175,4,0.02055,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
10,2,0.00769,0,0.186,4,0.01116,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
11,6,0.00962,81.675,0.401,3,0.02954,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
12,3,0.00833,21.449,0.23,4,0.0162,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
13,9,0.0098,176.306,0.386,3,0.04547,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
14,2,0.00746,3.555,0.142,4,0.01125,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
15,4,0.00752,18.197,0.169,4,0.02122,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
16,3,0.00893,27.1,0.311,3,0.01569,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
17,3,0.00826,22.5,0.227,4,0.01643,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
18,6,0.00901,61.367,0.3,3,0.02992,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
19,2,0.00806,5.004,0.196,4,0.01124,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
20,4,0.00806,33.489,0.212,4,0.02095,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
21,2,0.00833,2.26,0.221,4,0.01109,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
22,4,0.00893,22.084,0.358,3,0.0199,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
23,3,0.0082,1.083,0.26,4,0.01558,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
24,2,0.0082,0,0.209,4,0.01118,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
25,2,0.0073,4.753,0.09,4,0.01166,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
26,3,0.00694,6.893,0.132,4,0.01623,50,96,3.84,20,2.576,0.095,5,0.078,-0.244,2.576,54,3
