node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,7,0.0061,662,1,7,0.06283,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
2,6,0.00658,780,0.82,6,0.05317,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
3,1,0.00472,0,0.316,8,0.01063,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
4,2,0.00481,94,0.356,8,0.01997,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
5,5,0.00625,675,0.515,6,0.04478,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
6,4,0.00549,491,0.261,7,0.03707,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
7,6,0.00515,389,0.685,8,0.05602,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
8,3,0.00424,140,0.275,9,0.0301,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
9,1,0.00352,0,0.087,10,0.01153,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
10,1,0.00435,0,0.083,8,0.01088,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
11,5,0.00476,419,0.145,8,0.04687,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
12,2,0.00476,48,0.352,8,0.02063,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
13,1,0.005,0,0.259,7,0.01053,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
14,2,0.00526,220,0.298,7,0.019,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
15,2,0.00355,48,0.097,10,0.02204,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
16,2,0.00485,48,0.181,7,0.02061,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
17,1,0.00388,0,0.046,9,0.01097,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
18,2,0.00417,48,0.241,9,0.02111,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
19,2,0.00403,220,0.055,9,0.01965,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
20,5,0.00347,186,0.029,10,0.05107,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
21,1,0.00435,0,0.083,8,0.01088,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
22,1,0.00303,0,0.031,11,0.01237,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
23,1,0.00298,0,0.009,11,0.01168,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
24,2,0.00394,48,0.125,9,0.02198,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
25,3,0.00435,183,0.122,8,0.02987,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
26,1,0.005,0,0.259,7,0.01053,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
27,3,0.0049,95,0.204,7,0.03031,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
28,1,0.00413,0,0.217,9,0.01094,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
29,1,0.00472,0,0.316,8,0.01063,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
30,1,0.00413,0,0.217,9,0.01094,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
31,3,0.00365,95,0.048,9,0.03196,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
32,1,0.00413,0,0.217,9,0.01094,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
33,2,0.00391,48,0.051,9,0.02116,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
34,1,0.00394,0,0.057,8,0.01176,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
35,1,0.00388,0,0.111,9,0.01177,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
36,1,0.00481,0,0.163,7,0.01061,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
37,1,0.00397,0,0.064,8,0.01159,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
38,1,0.00298,0,0.009,11,0.01168,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
39,1,0.00397,0,0.064,8,0.01159,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
40,1,0.005,0,0.259,7,0.01053,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
41,1,0.0036,0,0.038,9,0.01146,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
42,1,0.00388,0,0.046,9,0.01097,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
43,1,0.00311,0,0.015,10,0.01205,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
44,1,0.00331,0,0.04,10,0.01234,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
45,1,0.00311,0,0.015,10,0.01205,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
46,1,0.00298,0,0.009,11,0.01168,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
47,1,0.00298,0,0.009,11,0.01168,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
48,1,0.00329,0,0.016,10,0.01199,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
49,1,0.00472,0,0.316,8,0.01063,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
50,1,0.00347,0,0.076,10,0.01197,50,49,1.96,7,5.03,0,11,0.04,-0.33,5.03,0,0
