node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,6,0.00781,73.014,0.455,4,0.02752,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
2,4,0.00725,54.344,0.32,5,0.01983,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
3,3,0.0068,23.561,0.166,5,0.01589,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
4,5,0.00826,45.297,0.667,4,0.02206,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
5,3,0.00671,12.18,0.25,4,0.01575,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
6,3,0.00649,10.51,0.211,5,0.01564,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
7,7,0.00885,118.506,0.7,4,0.03165,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
8,3,0.00704,21.26,0.195,4,0.01581,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
9,8,0.00885,132.021,0.853,4,0.0353,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
10,7,0.0087,55.561,1,4,0.02943,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
11,3,0.00709,19.403,0.293,4,0.01548,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
12,4,0.00787,58.864,0.406,4,0.01956,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
13,4,0.00746,35.23,0.336,4,0.01931,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
14,4,0.00719,39.846,0.318,5,0.01986,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
15,8,0.00847,117.452,0.798,4,0.03508,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
16,8,0.00877,191.445,0.517,4,0.03827,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
17,3,0.00649,18.388,0.169,5,0.01564,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
18,2,0.00625,11.046,0.101,5,0.01184,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
19,4,0.00641,33.311,0.11,5,0.02202,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
20,1,0.00515,0,0.039,6,0.00806,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
21,5,0.00787,62.159,0.42,4,0.02336,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
22,6,0.00862,79.769,0.741,4,0.02656,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
23,4,0.00763,48.53,0.266,5,0.01973,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
24,3,0.00667,30.334,0.123,5,0.01653,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
25,2,0.00617,5.461,0.139,5,0.01149,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
26,2,0.00649,5.302,0.159,5,0.01145,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
27,3,0.00676,16.194,0.218,5,0.01601,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
28,6,0.00826,88.58,0.634,4,0.02661,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
29,3,0.00671,21.338,0.231,5,0.01566,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
30,5,0.00775,60.457,0.488,5,0.02328,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
31,5,0.00787,46.276,0.585,4,0.02262,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
32,3,0.00704,34.546,0.238,5,0.01612,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
33,4,0.00685,82.162,0.197,5,0.0238,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
34,8,0.00855,163.93,0.662,4,0.03654,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
35,3,0.0069,47.444,0.138,4,0.01725,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
36,4,0.00752,38.59,0.312,4,0.01996,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
37,2,0.00662,22.717,0.123,5,0.01175,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
38,6,0.00794,35.173,0.819,4,0.02563,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
39,2,0.00637,4.972,0.216,5,0.01121,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
40,4,0.00741,27.591,0.382,4,0.01909,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
41,3,0.00758,20.562,0.333,4,0.01483,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
42,3,0.00676,21.574,0.215,4,0.01561,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
43,4,0.00725,40.647,0.197,5,0.02002,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
44,3,0.00709,11.857,0.337,4,0.01465,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
45,3,0.00671,9.108,0.204,5,0.01513,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
46,5,0.00719,45.21,0.283,5,0.02384,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
47,5,0.00806,54.648,0.602,4,0.02278,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
48,3,0.00637,23.944,0.123,6,0.01615,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
49,2,0.00595,10.133,0.066,5,0.01295,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
50,3,0.00719,23.554,0.261,5,0.01538,50,102,4.08,8,2.84,0.1,6,0.083,0.052,2.84,39,3
