node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,10,0.000328731097961867,7138.8587832169,0.128933501360743,5,0.00244172907044767,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
2,28,0.000380083618396047,33580.7668817173,0.404858244605423,5,0.0067128564275159,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
3,25,0.000370096225018505,25305.5439584192,0.379630471415473,5,0.00588225175810711,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
4,61,0.00040290088638195,74791.7116403693,1,5,0.0144476546506002,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
5,30,0.000382555470543229,34123.2196492073,0.470634165419661,5,0.0069800969664239,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
6,11,0.000342465753424658,8232.82665048078,0.18288661228182,5,0.00263000394133504,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
7,21,0.000340831629175187,15952.515276061,0.190038696355967,5,0.00504717109366801,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
8,27,0.000385356454720617,36765.7297533084,0.347130271610498,5,0.00629539496088146,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
9,25,0.000368459837877671,24535.5208803805,0.348833321459776,5,0.00597625982573209,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
10,45,0.000384172109104879,49404.6937757104,0.388596577962518,5,0.0107840707666812,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
11,38,0.000364697301239971,33683.0496333554,0.357038932241043,5,0.00918566924853857,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
12,17,0.000347584289190129,17071.2472149724,0.168919495939723,5,0.00408964377636755,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
13,10,0.000313676286072773,5474.05255612041,0.15420877837085,6,0.00258110419050976,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
14,12,0.00033003300330033,8342.10833851967,0.12024864694296,5,0.00302944503514693,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
15,19,0.000333000333000333,14225.4297674117,0.129213990532052,5,0.00462585170648734,900,1796,3.99111111111111,61,4.17774811518972,0.0170559627371738,7,0.00443950067976764,-0.0967278091959534,4.17774811518972,249,3
