node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.000164068908941756,0,0.136980182051096,12,0.000501342484933275,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
2,51,0.000196193839513439,247643,1,11,0.0210805490959512,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
3,19,0.000213265088505012,295057,0.223372454857847,10,0.00778477303272721,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
4,35,0.000218866272707376,355761,0.092119609669875,10,0.0143375871802814,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
5,11,0.000190730497806599,142039,0.0156917455682633,11,0.00454598269206882,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
6,2,0.000175901495162709,998,0.0311826982822026,11,0.00097967305204035,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
7,9,0.000166140554909453,102191,0.00255588625149861,12,0.00373294089099975,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
8,13,0.00016608536787909,36043,0.177689379930083,12,0.00572821908450491,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
9,10,0.000197589409207666,206239,0.0153884210179556,11,0.00405373076776139,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
10,11,0.00016946280291476,74962,0.00263238350011576,12,0.00451176090825645,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
11,7,0.000173580975525082,130853,0.00242046748924841,12,0.00288628905357357,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
12,7,0.000143287003868749,19720,0.0275622907496677,13,0.00312805526811222,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
13,9,0.0001806684733514,70849,0.0360830885255992,11,0.00397005527034025,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
14,4,0.000125549278091651,5967,0.00400382400240743,14,0.00190212682037892,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
15,3,0.000145074713477441,2990,0.000374783393961002,13,0.00142079680338297,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
16,4,0.000176522506619594,10900,0.0324599659607076,11,0.00176764579808659,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
17,21,0.000153069034134395,105587,0.000541841238696313,13,0.00867744660745367,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
18,3,0.000179823772702751,2990,0.0131154521979493,11,0.00142003008761691,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
19,1,0.000142470437384243,0,0.0243399236113692,13,0.000524537401679306,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
20,10,0.000146477222791856,35207,0.000436983278076774,13,0.0042282290544287,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
21,1,0.00014494854326714,0,0.000360584371074188,13,0.000498636070183592,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
22,9,0.000180733779143322,16805,0.014893332521277,11,0.00402525508469863,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
23,2,0.00016417665407979,1994,0.139650633739086,12,0.000956442045840936,1000,999,1.998,51,8.19898098098098,0,19,0.002,-0.0836010438757714,8.19898098098098,0,0
