node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,24,0.000212675457252233,159378,0.233827911629409,12,0.00986590988746399,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
2,53,0.000246184145741014,427740,1,11,0.021570148405014,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
3,16,0.000179985601151908,68907,0.0432533894315269,13,0.00669625340251158,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
4,14,0.000208594075928244,121342,0.175693598793849,12,0.00567252560387888,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
5,5,0.000198333994446648,8939,0.143910089205042,12,0.00224754330784035,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
6,9,0.000219394471259324,206954,0.157567241581373,12,0.00358742590492571,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
7,9,0.00020669698222406,102938,0.157999363685303,12,0.00366601511361961,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
8,7,0.000176678445229682,19689,0.035027445156223,13,0.00309433949129083,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
9,12,0.000172711571675302,22675,0.0262688522192606,13,0.00525886881426052,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
10,11,0.000206611570247934,101517,0.163243584995403,10,0.00463315637730999,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
11,7,0.000174094707520891,45524,0.0245408860823231,11,0.00289933532634002,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
12,7,0.000200722601364914,37997,0.150072035429821,12,0.00292477690000428,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
13,10,0.000177116542685087,26498,0.0373201766415035,13,0.00437822630522829,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
14,5,0.000152951973080453,7950,0.00622022948966054,14,0.00228171121806618,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
15,10,0.000188821752265861,117761,0.0253634968545023,13,0.00412270943753262,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
16,7,0.000151103052281656,12887,0.00558722393760731,14,0.00314536504236912,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
17,6,0.000198412698412698,9920,0.146571525830879,12,0.0027207186636911,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
18,2,0.000131337010769635,998,0.000758996184364818,15,0.00103238698037761,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
19,17,0.000200481154771451,35231,0.187622900286883,12,0.00743448559402722,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
20,10,0.000162866449511401,73032,0.00406115527988063,14,0.0042007629874978,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
21,4,0.000148500148500148,3985,0.00346033164649743,12,0.00189339520069025,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
22,6,0.000174034110685694,43599,0.0232974766481307,13,0.00247890817325562,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
23,7,0.000198098256735341,5973,0.149383034838819,12,0.00331202791610466,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
24,6,0.000148676776687481,7953,0.00359817415727381,12,0.002751909340305,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
25,2,0.000175500175500175,998,0.0317643421324403,13,0.000981475760231816,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
26,7,0.000185528756957328,77912,0.0237343704637709,13,0.00292922113819377,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
27,10,0.000153609831029186,21690,0.00689400503471644,14,0.00438532712805916,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
28,3,0.000165672630881378,1995,0.0199103409811963,13,0.0015184868726683,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
29,1,0.000171291538198013,0,0.021781029236358,11,0.00050801662915597,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
30,6,0.000176803394625177,63925,0.0259206756948147,13,0.00251927295362319,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
31,5,0.000148765248437965,10907,0.00335287524009514,14,0.00223376368126836,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
32,3,0.000174094707520891,44790,0.022656022054195,11,0.001325291907006,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
33,13,0.000160565189466924,32330,0.00432629444049294,14,0.00564501396706308,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
34,2,0.000173190162798753,8910,0.0239097745386411,13,0.000892703131929888,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
35,5,0.000167954316425932,12859,0.0215820254758914,13,0.00222946486979524,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
36,3,0.000131371518654756,1995,0.000773007190465723,15,0.0015182067853044,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
37,6,0.000180766449746927,11888,0.0231118960510759,13,0.00268174362837979,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
38,4,0.000141083521444695,24418,0.000573271642788945,15,0.00176489495727381,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
39,2,0.000197706603400554,998,0.135844954997431,12,0.000976025584884436,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
40,3,0.000148720999405116,8928,0.00339881586081971,12,0.00133549735864931,1000,999,1.998,53,7.69849049049049,0,20,0.002,-0.062981276588728,7.69849049049049,0,0
