node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,7,0.00257731958762887,3382,0.8996898566157,9,0.0291983907776515,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
2,4,0.00210084033613445,478,0.36312649218748,10,0.0186607348096062,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
3,1,0.00205761316872428,0,0.263686812023011,10,0.00504551888014339,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
4,3,0.00239234449760766,2243,0.385092220682235,8,0.0132989929759241,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
5,5,0.00210084033613445,479,0.40671731883812,10,0.0236373432827104,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
6,8,0.00221238938053097,2441,0.301365587636845,9,0.0355353721168219,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
7,8,0.00246305418719212,2856,1,10,0.0342422868348047,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
8,4,0.00210970464135021,567,0.360050407597509,10,0.0185212129437152,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
9,5,0.00217391304347826,1754,0.513124072487708,11,0.0224251141128124,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
10,1,0.00181818181818182,0,0.08832613869442,10,0.00527563328741232,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
11,2,0.00194552529182879,1458,0.10109055405406,10,0.00904639833757221,100,99,1.98,8,6.55434343434343,0,16,0.02,-0.223467399007796,6.55434343434343,0,0
