node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,13,0.00293255131964809,2399,1,8,0.0569478895309896,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
2,9,0.00332225913621262,3213,0.698285728568691,7,0.0381880388406024,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
3,9,0.0033003300330033,3262,0.411835484595586,6,0.0380372947040727,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
4,2,0.00263852242744063,968,0.111267211320586,6,0.0090187996488382,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
5,3,0.00254452926208651,290,0.200848788152323,8,0.0144187591562727,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
6,1,0.00249376558603491,0,0.103109681642156,7,0.00509241116649576,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
7,7,0.00278551532033426,1754,0.177861254225619,7,0.0313106461436483,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
8,6,0.00232018561484919,1173,0.069533918185882,8,0.0275245919534845,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
9,2,0.00189753320683112,98,0.0185731684312804,9,0.0104490288742236,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
10,1,0.00249376558603491,0,0.103109681642156,7,0.00509241116649575,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
11,2,0.00253164556962025,288,0.110534933308043,7,0.00945701233365422,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
12,3,0.00218818380743982,906,0.0325823931828097,7,0.0138578417023851,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
13,4,0.00232018561484919,385,0.30995184194383,9,0.0193418942514275,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
14,2,0.0025062656641604,98,0.11000516037258,7,0.00996854977142193,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
15,4,0.00232018561484919,385,0.30995184194383,9,0.0193418942514275,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
16,5,0.00232018561484919,386,0.334148125984005,9,0.0244633077107804,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
17,3,0.00229885057471264,195,0.28625267550363,9,0.0149971366957222,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
18,3,0.0022075055187638,195,0.0509132598905148,8,0.0151485666206985,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
19,7,0.00193423597678917,573,0.0279033897910194,9,0.0342758800577381,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
20,4,0.00184842883548983,655,0.0101686725439545,8,0.0191341288102767,100,99,1.98,13,5.12626262626263,0,11,0.02,-0.198051703504088,5.12626262626263,0,0
