node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,4,0.0666666666666667,5.33333333333333,0.693116710100381,3,0.123295587843497,10,16,3.2,6,1.75555555555556,0.136363636363636,3,0.355555555555556,-0.548387096774194,1.75555555555556,6,3
2,6,0.0769230769230769,11.3333333333333,1,3,0.179084691998154,10,16,3.2,6,1.75555555555556,0.136363636363636,3,0.355555555555556,-0.548387096774194,1.75555555555556,6,3
3,4,0.0714285714285714,5,0.808734057891946,2,0.120841879250417,10,16,3.2,6,1.75555555555556,0.136363636363636,3,0.355555555555556,-0.548387096774194,1.75555555555556,6,3
4,4,0.0714285714285714,5,0.808734057891947,2,0.120841879250417,10,16,3.2,6,1.75555555555556,0.136363636363636,3,0.355555555555556,-0.548387096774194,1.75555555555556,6,3
5,4,0.0666666666666667,5.33333333333333,0.693116710100381,3,0.123295587843497,10,16,3.2,6,1.75555555555556,0.136363636363636,3,0.355555555555556,-0.548387096774194,1.75555555555556,6,3
6,2,0.0526315789473684,0.666666666666667,0.387649332856456,3,0.0674006248334861,10,16,3.2,6,1.75555555555556,0.136363636363636,3,0.355555555555556,-0.548387096774194,1.75555555555556,6,3
7,2,0.0588235294117647,0.666666666666667,0.473466844439138,3,0.0665706437831482,10,16,3.2,6,1.75555555555556,0.136363636363636,3,0.355555555555556,-0.548387096774194,1.75555555555556,6,3
8,2,0.0588235294117647,0,0.505798331391417,3,0.0660492307071187,10,16,3.2,6,1.75555555555556,0.136363636363636,3,0.355555555555556,-0.548387096774194,1.75555555555556,6,3
9,2,0.0588235294117647,0.666666666666667,0.473466844439139,3,0.0665706437831482,10,16,3.2,6,1.75555555555556,0.136363636363636,3,0.355555555555556,-0.548387096774194,1.75555555555556,6,3
10,2,0.0588235294117647,0,0.505798331391417,3,0.0660492307071187,10,16,3.2,6,1.75555555555556,0.136363636363636,3,0.355555555555556,-0.548387096774194,1.75555555555556,6,3
