node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,2,0.0588235294117647,1.5,0.335371954514339,3,0.0696878082256191,10,16,3.2,7,1.77777777777778,0.319148936170213,3,0.355555555555556,-0.284533648170012,1.77777777777778,15,3
2,4,0.0714285714285714,2.5,0.705351937295538,2,0.119894558936255,10,16,3.2,7,1.77777777777778,0.319148936170213,3,0.355555555555556,-0.284533648170012,1.77777777777778,15,3
3,7,0.0909090909090909,16.1666666666667,1,2,0.204116788956276,10,16,3.2,7,1.77777777777778,0.319148936170213,3,0.355555555555556,-0.284533648170012,1.77777777777778,15,3
4,2,0.0555555555555556,0,0.450030983624931,3,0.0652632038615019,10,16,3.2,7,1.77777777777778,0.319148936170213,3,0.355555555555556,-0.284533648170012,1.77777777777778,15,3
5,4,0.0714285714285714,6,0.691034698293701,2,0.121133151859586,10,16,3.2,7,1.77777777777778,0.319148936170213,3,0.355555555555556,-0.284533648170012,1.77777777777778,15,3
6,2,0.05,0.5,0.270861858752107,3,0.0703581132660502,10,16,3.2,7,1.77777777777778,0.319148936170213,3,0.355555555555556,-0.284533648170012,1.77777777777778,15,3
7,3,0.0625,2.66666666666667,0.531802046105654,3,0.0939927968379052,10,16,3.2,7,1.77777777777778,0.319148936170213,3,0.355555555555556,-0.284533648170012,1.77777777777778,15,3
8,4,0.0714285714285714,5.16666666666667,0.64240004245144,2,0.122201175811827,10,16,3.2,7,1.77777777777778,0.319148936170213,3,0.355555555555556,-0.284533648170012,1.77777777777778,15,3
9,2,0.0526315789473684,0.5,0.309864086896816,3,0.0675990422974196,10,16,3.2,7,1.77777777777778,0.319148936170213,3,0.355555555555556,-0.284533648170012,1.77777777777778,15,3
10,2,0.0588235294117647,0,0.433418399126584,3,0.0657533599475609,10,16,3.2,7,1.77777777777778,0.319148936170213,3,0.355555555555556,-0.284533648170012,1.77777777777778,15,3
