node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,22,0.000177683013503909,441977,0.832299943135499,10,0.00728360113839567,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
2,29,0.000160926939169617,310072,1,11,0.00984009300496306,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
3,23,0.000149387511204063,76596,0.404489559049759,11,0.00831278195760651,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
4,3,0.000135025654874426,3590,0.179255900817445,12,0.00118029357917664,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
5,12,0.000136686714051394,56039,0.250896575788939,12,0.00430823385254284,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
6,23,0.000182348650619985,530327,0.627208753696554,9,0.0074578963675023,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
7,25,0.000161134386077989,253218,0.41307040288135,10,0.00831394528034134,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
8,1,0.000135062128579146,0,0.0697596568809996,11,0.000407674139531781,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
9,12,0.000147275405007364,21398,0.205851676191313,11,0.00446282093386767,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
10,7,0.000136612021857923,49254,0.0856877151132576,11,0.00239965155769475,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
11,9,0.000118091639111951,27246,0.055338647561878,13,0.00330230927506306,1200,1199,1.99833333333333,29,8.33884070058382,0,18,0.00166666666666667,-0.068998876267055,8.33884070058382,0,0
