node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,18,0.000135906496330525,570787,1,13,0.00547522726792521,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
2,13,0.000117233294255569,79358,0.374616923788332,14,0.00418717827338937,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
3,2,0.000115713955102985,9044,0.203418506675768,14,0.00068690512930341,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
4,9,0.000131995776135164,423989,0.383446650137521,13,0.00283444035421555,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
5,16,0.00011761938367443,96651,0.500283901655727,14,0.0050443210302846,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
6,20,0.000127388535031847,487940,0.410765139893429,14,0.00610130722835229,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
7,18,0.00013014055179594,469853,0.841593498233256,14,0.00545735752552999,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
8,12,0.000117426021606388,87056,0.344537206581026,14,0.00396170449510796,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
9,13,0.000118680275338239,291425,0.344646385281328,15,0.00416870713434878,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
10,7,0.00011015642211941,44727,0.107359594217294,15,0.00221356264141634,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
11,8,0.000116550116550117,290219,0.118445535069953,15,0.00267967964897261,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
12,14,0.000108365843086259,281256,0.154872144571699,16,0.00429296036566521,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
13,13,0.000107227107012653,305910,0.0597103277751201,16,0.00417672600539715,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
14,5,0.000111856823266219,26959,0.195326428770617,15,0.00163252726928768,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
15,7,0.000109553023663453,12929,0.103628289091885,15,0.00241873585495719,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
16,5,9.52562392836731e-05,18043,0.0357953258181781,17,0.0016916295839722,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
17,6,0.000102986611740474,65733,0.0870208866279018,15,0.00191384249242449,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
18,5,9.79048364989231e-05,15489,0.0449660737354545,16,0.00170822309185577,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
19,6,0.000102291325695581,33350,0.0926519193021662,15,0.00196246536785439,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
20,5,0.000111982082866741,33282,0.195098449942345,15,0.00162784783631303,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
21,9,0.000113250283125708,95144,0.24712959917639,15,0.00281503352284154,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
22,13,0.000112208258527828,44735,0.3145169131852,15,0.00432438986780908,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
23,8,9.81546917942678e-05,14213,0.0836442084099306,16,0.00285994841403785,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
24,20,9.59692898272553e-05,125616,0.0489058161479348,17,0.0065662083397605,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
25,8,9.58037938302357e-05,55630,0.0415579171053628,17,0.00266827908139457,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
26,5,9.65250965250965e-05,157663,0.014134294367752,17,0.00160134355378317,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
27,1,8.53387950162144e-05,0,0.00950416185876184,18,0.000394448469824551,1300,1299,1.99846153846154,20,9.86367501628472,0,25,0.00153846153846154,-0.0964338284714563,9.86367501628472,0,0
