node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,11,0.000150784077201448,496790,0.223301772167474,13,0.00341040440113928,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
2,12,0.000142612664004564,426719,0.050555007159527,13,0.00381940100310306,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
3,15,0.000131268049356787,367415,0.0129209263906924,14,0.00455581280783513,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
4,38,0.000152485513876182,592361,1,14,0.0116581125312393,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
5,22,0.000129098889749548,114737,0.0765483340537359,14,0.00706420950818062,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
6,10,0.000139198218262806,350497,0.215201630105209,15,0.00307720057433418,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
7,9,0.000113921166552746,86582,0.0025689917738171,15,0.00284477486680622,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
8,19,0.000124626121635095,262412,0.0640705087918064,16,0.00601523621078734,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
9,6,0.000127877237851662,23177,0.180517590715845,15,0.00199725063545806,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
10,10,0.000129032258064516,66972,0.204328998272585,15,0.00321467630624007,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
11,8,9.98203234178479e-05,37042,0.000490045864641381,16,0.00270900673028364,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
12,8,0.00012923235978289,74215,0.193249200012958,15,0.00260470021064074,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
13,11,0.000127258844489692,45991,0.0472556252358371,14,0.00362847315205844,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
14,7,0.000128799587841319,58444,0.186948219449465,15,0.00221375359167989,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
15,4,0.000127616130678918,12919,0.170218181696617,15,0.00136190783022037,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
16,3,0.00012071463061323,16730,0.00840070202719737,14,0.00104145459888996,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
17,3,0.000126550240445457,18039,0.0370809870718068,14,0.000997491570227542,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
18,4,0.000111333778668448,34535,0.0330364794212086,16,0.00132679781035696,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
19,3,0.000127420998980632,5183,0.165321734942834,15,0.0010665897568248,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
20,2,0.000127388535031847,3888,0.161140209290594,15,0.000711818781349179,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
21,17,0.00012291052114061,108374,0.0135727058057454,14,0.00549899516109446,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
22,18,0.000120048019207683,95273,0.0607463123342879,16,0.00580598594228474,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
23,9,0.000110229276895944,150089,0.0126401912186081,17,0.00297066575633589,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
24,11,0.000107735401853049,25752,0.0134130890529138,17,0.00373516769736392,1300,1299,1.99846153846154,38,8.88545508379227,0,25,0.00153846153846154,-0.0982110249730262,8.88545508379227,0,0
