node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,4,0.0344827586206897,60,1,4,0.130917197813593,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
2,4,0.0294117647058824,45,0.806601438848914,5,0.134970696455687,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
3,1,0.0238095238095238,0,0.398390435985298,5,0.0378199045353884,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
4,1,0.0212765957446809,0,0.321342298889388,6,0.0386812729968335,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
5,2,0.0222222222222222,13,0.381966011250105,6,0.0738650066486631,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
6,4,0.0333333333333333,57,0.906718107446816,4,0.131492174619288,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
7,3,0.027027027027027,35,0.553497856468901,5,0.10295548942123,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
8,1,0.02,0,0.220508252355573,6,0.0391707220026819,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
9,1,0.0238095238095238,0,0.398390435985298,5,0.0378199045353884,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
10,2,0.0208333333333333,13,0.262108841229715,6,0.0746312673231811,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
11,1,0.0172413793103448,0,0.152171605753495,7,0.0413926278256818,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
12,1,0.0232558139534884,0,0.361227822141501,5,0.0379420871065988,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
13,1,0.0232558139534884,0,0.361227822141501,5,0.0379420871065988,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
14,1,0.0212765957446809,0,0.321342298889387,6,0.0386812729968335,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
15,1,0.0163934426229508,0,0.104421655533107,7,0.041718288612352,15,14,1.86666666666667,4,3.12380952380952,0,7,0.133333333333333,-0.362831858407079,3.12380952380952,0,0
