node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.00510204081632653,0,0,1,0.075187969924812,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
2,0,0.00476190476190476,0,0,0,0.0112781954887218,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
3,1,0.00628930817610063,0,8.09824735936083e-15,3,0.0505015468329351,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
4,1,0.00632911392405063,0,1.07053754266194e-14,3,0.0493639236489777,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
5,3,0.00645161290322581,5,1.93342771713515e-14,2,0.134420217036197,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
6,2,0.00641025641025641,3,1.50428982287842e-14,2,0.0922902384569725,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
7,2,0.00689655172413793,4,0.618033988749895,3,0.0900288658755766,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
8,1,0.00671140939597315,0,0.324919696232906,4,0.0495404634858419,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
9,1,0.00632911392405063,0,1.10283824438019e-14,3,0.0493639236489777,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
10,0,0.00476190476190476,0,0,0,0.0112781954887218,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
11,3,0.00699300699300699,7,1,3,0.129438722013064,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
12,1,0.00680272108843537,0,0.525731112119133,4,0.0479525000590899,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
13,1,0.00510204081632653,0,0,1,0.075187969924812,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
14,1,0.00680272108843537,0,0.525731112119134,4,0.0479525000590899,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
15,2,0.00699300699300699,6,0.85065080835204,2,0.08621476805621,15,10,1.33333333333333,3,1.96153846153846,0,4,0.0952380952380952,-0.449275362318841,1.96153846153846,0,0
