node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,0,0.00476190476190476,0,0,0,0.0129310344827586,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
2,2,0.0119047619047619,0,0.67077439743745,4,0.0691088397684708,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
3,2,0.0114942528735632,0.5,0.511686639578175,5,0.0697922807471517,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
4,2,0.0114942528735632,0.5,0.511686639578175,5,0.0697922807471517,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
5,2,0.0114942528735632,9,0.210547184282894,4,0.0903116503819339,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
6,3,0.0123456790123457,11.5,0.733074228209684,4,0.100417676386804,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
7,4,0.012987012987013,27,1,3,0.132532721265723,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
8,3,0.0125,23,0.504853742278245,3,0.119167598429495,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
9,3,0.0123456790123457,7,0.851418232819018,4,0.0988750659414568,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
10,3,0.0117647058823529,3.5,0.67924260681571,5,0.100269075134584,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
11,0,0.00476190476190476,0,0,0,0.0129310344827586,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
12,0,0.00476190476190476,0,0,0,0.0129310344827586,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
13,1,0.0104166666666667,0,0.076281878489697,5,0.0513134858950805,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
14,1,0.0112359550561798,0,0.182910030142193,4,0.0466951873711155,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
15,0,0.00476190476190476,0,0,0,0.0129310344827586,15,13,1.73333333333333,4,2.49090909090909,0.136363636363636,5,0.123809523809524,-0.026315789473684,2.49090909090909,3,3
