node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,31,0.000120962864400629,719273,1,12,0.00773302988504836,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
2,22,0.000128122998078155,900601,0.55441544948015,11,0.00540772966609125,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
3,22,0.000122925629993854,745720,0.252898723522756,10,0.00555961039548113,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
4,7,0.00010719262514739,285761,0.0507692420281601,11,0.00183368482185436,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
5,8,0.000107933081489477,107136,0.115987184189006,12,0.00206100231827333,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
6,2,0.000102954802841553,15890,0.0433485251329369,11,0.00056045095297532,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
7,19,0.000109421162052741,408075,0.0956697617449817,11,0.00486276811629297,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
8,19,9.69274013763691e-05,308661,0.0357762385765537,12,0.00479757937372866,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
9,3,8.41538332071026e-05,25343,0.00628436836485636,13,0.000823554863441181,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
10,2,0.000102764361319494,1598,0.0430553292296105,11,0.000607813117677576,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
11,6,0.000103616205574552,64164,0.0491098632114712,11,0.00161660443508538,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
12,6,9.46700747893591e-05,263688,0.0101193350754763,12,0.00157814333021704,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
13,11,0.000104416831993317,217073,0.242766671465062,13,0.00277121281803505,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
14,3,0.000102806620746376,4790,0.0443405009171243,11,0.000882575363158198,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
15,15,0.000104416831993317,217398,0.280458029085433,13,0.0037918899684021,1600,1599,1.99875,31,8.89000859912445,0,20,0.00125,-0.0608135669841229,8.89000859912445,0,0
