node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,18,0.000100391526955125,974222,1,14,0.00414498921340709,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
2,15,8.70094840337597e-05,136751,0.403514066068105,15,0.00368643109421961,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
3,2,8.59032729146981e-05,15210,0.196945359846646,15,0.000516108502010622,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
4,10,9.74753874646652e-05,724382,0.380586779105668,15,0.00237259831396736,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
5,19,8.72981230903536e-05,167374,0.609479668007018,15,0.00455560482652063,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
6,21,9.40468353239913e-05,826850,0.389999396975768,16,0.00486626823766123,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
7,19,9.64785335262904e-05,812462,0.900889968577889,14,0.00439867837756698,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
8,14,8.70852564660803e-05,143618,0.367716197991038,15,0.00348512965083314,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
9,14,8.83470271225373e-05,506300,0.362108267115101,15,0.00341496775533413,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
10,7,8.15860324712409e-05,62041,0.0970391820568492,17,0.00168746335580058,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
11,9,8.6333419666753e-05,498869,0.112706135754961,17,0.00229255659600109,1700,1699,1.99882352941176,21,10.2529300972891,0,27,0.00117647058823529,-0.0907391063631502,10.2529300972891,0,0
