node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,13,0.000104482290251802,952539,0.20999455019919,14,0.00291177699605248,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
2,16,9.89021857383048e-05,817903,0.0473639725814882,13,0.0036948786014065,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
3,16,9.10332271279017e-05,685066,0.0107725459985071,14,0.00348648292069912,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
4,44,0.000105741778576716,1132480,1,15,0.00980393921293342,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
5,24,8.9903802930864e-05,212799,0.0634492614582923,15,0.00549630652885767,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
6,12,9.72100709633518e-05,690628,0.204374910768296,16,0.00267097617760693,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
7,9,7.93210121361149e-05,153160,0.00192767943088426,15,0.00203838556484987,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
8,25,8.76501007976159e-05,530678,0.0650139558661943,17,0.00574710040725967,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
9,8,8.91662951404369e-05,35736,0.173208084291397,16,0.00194110044182661,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
10,11,8.99199712256092e-05,117590,0.188335282698253,16,0.00252503649808662,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
11,9,6.98470349933645e-05,77731,0.000342225487179004,16,0.0021616688390187,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
12,9,9.02771508531191e-05,154580,0.179736173640176,16,0.00209468021425958,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
13,13,8.87232721142756e-05,86746,0.0419885252244666,15,0.00305943025852678,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
14,8,8.98714837781972e-05,112619,0.175041980007125,16,0.00182949271998673,1800,1799,1.99888888888889,44,9.30273547032302,0,26,0.00111111111111111,-0.0877990639262769,9.30273547032302,0,0
