node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,45,0.000218866272707376,980.315331655652,0.564971775441325,3,0.000455692959443957,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
2,54,0.000225631768953069,1460.1212280075,0.673151636244867,3,0.000532815251622789,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
3,42,0.000215936082919456,820.523954745976,0.534596210451499,3,0.000429527678963176,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
4,55,0.00022670596236681,1475.0664683174,0.693659081938747,3,0.000540283394051507,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
5,58,0.000226654578422484,1656.33281345648,0.713921617625144,3,0.000567562900866498,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
6,55,0.00022517451024544,1473.11632419824,0.68914868117867,3,0.00054056832596158,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
7,42,0.000216216216216216,796.83789373939,0.544967532738543,3,0.000428732850104646,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
8,57,0.000226090888537192,1582.1768890681,0.706058334767254,3,0.000558609874419653,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
9,62,0.000231000231000231,1835.03410799537,0.790497899245314,3,0.000598823233699407,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
10,49,0.00022271714922049,1133.2141291762,0.62957739237214,3,0.000488133850470497,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
11,58,0.000227583067819754,1644.7761943768,0.72689162071686,3,0.000566017120041419,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
12,46,0.000218579234972678,1047.51296749009,0.565644958588133,3,0.000466071989087246,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
13,51,0.000221975582685905,1269.79763141917,0.637923849210787,3,0.000507002062086039,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
14,49,0.00022237046920169,1184.83305319101,0.612187219498367,3,0.000490180130548995,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
15,48,0.000221238938053097,1111.00000949996,0.60536529983295,3,0.000481136196835881,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
16,54,0.000225988700564972,1407.2782722482,0.683195357071685,3,0.000531562453326424,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
17,56,0.000227066303360581,1526.2913985793,0.707986219545713,3,0.000548921910669093,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
18,52,0.000225123818099955,1293.56874855731,0.665376370813543,3,0.00051410269284988,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
19,47,0.000220507166482911,1064.10706782343,0.598376084297831,3,0.000472624213591681,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
20,56,0.000225733634311512,1545.12821296903,0.69179578710701,3,0.000550241801179669,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
21,42,0.000217202432667246,836.470947442745,0.533267382325375,3,0.000430028905426744,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
22,58,0.000227738556137554,1629.73290347088,0.732426418781294,3,0.000565918444933878,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
23,49,0.000223114680946006,1116.36008150251,0.639158950581685,3,0.000487909732598407,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
24,42,0.000216029379995679,874.257829545526,0.519175286772394,3,0.00043158210408927,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
25,53,0.000224769611148573,1414.01380556832,0.655806030364765,3,0.000525384555125679,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
26,51,0.00022202486678508,1257.7610524987,0.641394199096209,3,0.000506813544744732,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
27,49,0.0002210433244916,1163.99696112319,0.614290773981735,3,0.000490035287123072,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
28,46,0.000221287895552113,1054.32109206987,0.57472392256453,3,0.000464674366922748,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
29,43,0.000215656674574078,919.134925607134,0.530019343186988,3,0.000440095849287354,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
30,49,0.000222321031569586,1161.42999661215,0.622834372177118,3,0.00048931172060749,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
31,45,0.000218245307725884,1002.48984972301,0.568105770140077,3,0.000456612588832239,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
32,47,0.000221631205673759,1087.71711127787,0.599391512143854,3,0.000472538018360529,2000,50174,50.174,80,2.25138819409705,0.0249829265248263,3,0.0250995497748874,-0.0019542894929912,2.25138819409705,62847,3
