node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,7.57920266787934e-05,0,0.124093225086056,13,0.000246972173155754,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
2,62,8.93176134333691e-05,966099,1,12,0.0125438526301569,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
3,26,9.66930961129375e-05,1189621,0.215520634419665,11,0.00520962498047512,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
4,40,9.90295107942167e-05,1424931,0.072931221991734,11,0.00799792030880953,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
5,13,8.75043752187609e-05,584106,0.0112120566395483,12,0.00263702478902176,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
6,2,8.10635538261998e-05,3994,0.0271695820576184,12,0.000470752503963884,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
7,10,7.70772313858486e-05,415666,0.00163149085599407,13,0.0020411198285294,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
8,17,7.66400980993256e-05,142533,0.166087439931773,13,0.00359920851748778,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
9,17,9.02201371346084e-05,825381,0.01218984805665,12,0.00346013967569417,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
10,15,7.83330722230926e-05,300706,0.00195381757599477,13,0.00300487562399951,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
11,12,8.01153661272232e-05,525678,0.00185281886457449,13,0.00250603986006759,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
12,12,6.67735042735043e-05,69227,0.0249298716287426,14,0.00260950389512764,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
13,11,8.3236224404861e-05,302011,0.0316983453473077,12,0.00236201968558355,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
14,5,5.89761736258552e-05,17938,0.00330012168283663,15,0.00114331221614352,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
15,3,6.7842605156038e-05,23864,0.000250285410542133,14,0.000659770316969028,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
16,5,8.12743823146944e-05,35755,0.0285458021782303,12,0.00108399402785501,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
17,25,7.13775874375446e-05,437708,0.000374780387995066,14,0.00508933223974604,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
18,3,8.27540549486925e-05,11966,0.00934257850462487,12,0.000672257552538745,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
19,1,6.6462847268377e-05,0,0.0206103260674204,14,0.000254960425874467,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
20,14,6.82780281305476e-05,115896,0.000305065024938872,14,0.00292270551504722,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
21,1,6.77323218639935e-05,0,0.000242455524234954,14,0.00024527628536007,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
22,9,8.30288940551312e-05,51567,0.0103604540234422,12,0.00193514741028863,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
23,5,7.58840491728639e-05,15950,0.132376723462194,13,0.00113464187613011,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
24,7,6.25625625625626e-05,23897,5.13270559401773e-05,15,0.00158242320596258,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
25,7,7.60456273764259e-05,43589,0.137011942243148,13,0.00156545608494876,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
26,3,6.77874186550976e-05,11963,0.000250421184475626,14,0.000685187180173907,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
27,1,7.4482347683599e-05,0,0.00139134026824902,13,0.000247420851589998,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
28,5,6.01757130822e-05,25866,4.03944137138599e-05,15,0.00111414646496073,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
29,11,6.30437523641407e-05,142190,5.524147690159e-05,15,0.00232857858441429,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
30,8,6.61550674781688e-05,31829,0.0190936662647487,14,0.00180561650510674,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
31,6,7.59416767922236e-05,25877,0.134663817622995,13,0.00132688522442186,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
32,7,8.11820100665693e-05,21912,0.0294831744559358,12,0.0015758057724429,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
33,1,7.57920266787934e-05,0,0.124093225086056,13,0.000246972173155503,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
34,14,7.70178681454097e-05,202531,0.156203991556879,13,0.00287552517967899,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
35,2,6.24921884764405e-05,5988,4.72585732588109e-05,15,0.000467286278965879,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
36,4,7.59762953958365e-05,31779,0.130347974104151,13,0.000879339235226434,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
37,4,7.65110941086457e-05,11967,0.00158635105666242,13,0.000915828440129005,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
38,6,5.62619556655789e-05,84510,7.45364475692758e-06,16,0.00130051498437568,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
39,6,5.6028686687584e-05,11972,7.42887306659133e-06,16,0.00142016489985495,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
40,4,7.58380100106173e-05,7985,0.130136535102889,13,0.000938536719699658,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
41,3,6.59804697809448e-05,3995,0.0166893018994777,14,0.000751176053027143,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
42,1,7.57920266787934e-05,0,0.124093225086056,13,0.000246972173155503,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
43,1,8.26719576719577e-05,0,0.00905027054642131,12,0.000244955806562321,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
44,12,6.95120255804254e-05,92677,0.000278605248158417,14,0.00252497259698357,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
45,6,6.68359844940516e-05,19928,0.0210286134164358,14,0.00135440398715451,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
46,2,7.0008401008121e-05,17910,0.00359956153613735,13,0.0004616164863439,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
47,2,6.63922453857389e-05,5988,0.000199983926699543,14,0.000492890429052833,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
48,1,7.12149266486255e-05,0,0.00128566215312472,13,0.000257763922082883,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
49,2,7.12250712250712e-05,1998,0.00130576987117845,13,0.000503348606000616,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
50,3,6.24921884764405e-05,5990,4.79975063950976e-05,15,0.000708154040483716,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
51,7,6.78794461037198e-05,229340,0.000223960797400163,14,0.00145638510524592,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
52,9,6.69164882226981e-05,27865,0.000231233741399464,14,0.00204189365876771,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
53,14,6.74946004319654e-05,152401,0.000255603282011311,14,0.00287198908774163,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
54,2,5.94813228646205e-05,1998,3.22147141302234e-05,15,0.000490208635681472,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
55,4,6.24921884764405e-05,5991,4.87603056859743e-05,15,0.000958880864723725,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
56,1,7.57920266787934e-05,0,0.124093225086056,13,0.000246972173155503,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
57,6,7.50638042335986e-05,102007,0.00151427799208409,13,0.00124039971300515,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
58,2,5.84453535943892e-05,3994,0.00240704067041083,15,0.000500774054908863,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
59,9,7.6219512195122e-05,73049,0.142179492014145,13,0.00194544841121689,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
60,2,6.10500610500611e-05,3994,3.5122336067279e-05,15,0.000482656172692116,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
61,8,6.55393891728929e-05,61343,0.000211362837488876,14,0.00171758519247857,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
62,10,5.07305194805195e-05,59331,1.07781666796367e-06,17,0.00222994563094091,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
63,5,7.6219512195122e-05,72699,0.132352024724154,13,0.00109146273128916,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
64,1,6.103515625e-05,0,3.4573023769838e-05,15,0.000253852225619726,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
65,4,6.02191978802842e-05,121178,2.92758512812932e-05,15,0.00081188143064039,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
66,11,6.265664160401e-05,47643,5.51168124061065e-05,15,0.00240528772151252,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
67,2,5.44188071397475e-05,1998,4.42660988975477e-06,16,0.000538362228405624,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
68,6,7.63009308713566e-05,86702,0.135056211730913,13,0.0012384786054262,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
69,2,6.26802055910743e-05,53244,4.72981375426449e-05,15,0.000434879310240639,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
70,1,6.6462847268377e-05,0,0.0206103260674204,14,0.000254960425874467,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
71,2,7.44934445768772e-05,1998,0.00141310078889807,13,0.000487155932039226,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
72,2,6.68002672010688e-05,1998,0.000205623382917382,14,0.000488837863679302,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
73,2,5.27648796960743e-05,1998,0.000415927666386129,16,0.000521507752241524,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
74,2,8.110300081103e-05,9970,0.0271766607407309,12,0.000450478569441991,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
75,3,7.58150113722517e-05,3995,0.12803652695164,13,0.000722454353354935,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
76,5,7.6010945576163e-05,37685,0.132417721407977,13,0.00109517916450022,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
77,10,4.61382301374919e-05,35797,1.55621726686033e-07,18,0.00224802711925277,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
78,1,6.67913438418381e-05,0,0.000202456962018684,14,0.000248495185425105,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
79,4,7.28650539201399e-05,267405,0.00414007149129572,13,0.000879058127396644,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
80,8,7.6499388004896e-05,118946,0.139650624976434,13,0.00170335438266935,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
81,9,8.30426839395449e-05,53522,0.010342301025539,12,0.00192722173169636,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
82,3,6.65070497472732e-05,9976,0.0212812919173143,14,0.000697483896127148,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
83,2,5.98086124401914e-05,17910,3.15523259652407e-05,15,0.000465401525424859,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
84,13,6.47668393782383e-05,268448,0.000636735819486863,14,0.00269908563137264,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
85,2,6.64010624169987e-05,9970,0.0176095559098376,14,0.000464598347956,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
86,3,7.65814060346148e-05,23855,0.00156155395808839,13,0.000668240704072021,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
87,2,5.37230041903943e-05,1998,5.0910711318611e-06,16,0.000513745438815322,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
88,1,5.89344648750589e-05,0,2.55164687393424e-05,15,0.000282756092063761,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
89,4,6.6436353972894e-05,65162,0.0172812184054055,14,0.000847489242915698,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
90,5,5.90597684857075e-05,9979,3.05858913712415e-05,15,0.00121620762444508,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
91,2,5.03930659141302e-05,1998,9.36290881217733e-07,17,0.000532195737736849,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
92,10,6.01395236949723e-05,100063,3.24091587213649e-05,15,0.0021549384273779,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
93,6,6.11172228333945e-05,21907,3.74868721358472e-05,15,0.00136154529186379,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
94,8,6.63393923311662e-05,29845,0.0188052866892582,14,0.0017872336050572,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
95,5,6.25156289072268e-05,11970,4.95863156554667e-05,15,0.0011613362785084,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
96,2,6.98909700866648e-05,7980,0.00371774616803444,13,0.000482997335385271,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
97,4,6.01033778098329e-05,5991,3.96900807689225e-05,15,0.000968512911758522,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
98,3,5.86029067041725e-05,7983,0.0024083715733812,15,0.000723507903808839,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
99,10,7.48502994011976e-05,65223,0.0016194506862654,13,0.00218785158325264,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
100,3,7.58265089475281e-05,5990,0.128068351313435,13,0.000706287523695462,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
101,5,6.99594235343501e-05,7986,0.00377485879794608,13,0.00121867057994195,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
102,5,8.15660685154976e-05,78794,0.0285707525292909,12,0.00103435864109602,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
103,3,6.63834306956983e-05,5990,0.0178848253006227,14,0.000722075258178124,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
104,12,8.30013280212483e-05,47626,0.0109226147589296,12,0.00265141598093143,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
105,4,5.3873505010236e-05,41609,3.81625978370155e-06,16,0.000865642477053983,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
106,6,8.27951647623779e-05,17939,0.00981303554966075,12,0.00135664186969443,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
107,6,7.1285999429712e-05,17940,0.00147004852065329,13,0.00139590534720291,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
108,11,5.3873505010236e-05,63280,4.77308573251411e-06,16,0.002439753404948,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
109,3,5.27760185771585e-05,5990,0.000422641143054657,16,0.000745525243296283,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
110,4,5.60600964233658e-05,21894,7.19090521037682e-06,16,0.000904501662307381,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
111,2,5.28317836010144e-05,1998,3.8548634399245e-06,16,0.000540908487132066,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
112,2,8.26856292376385e-05,1998,0.0091918165101218,12,0.000483296761741499,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
113,8,6.62690523525514e-05,27869,0.0198080071487997,14,0.001808337186495,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
114,1,5.55555555555556e-05,0,5.95616536465931e-06,16,0.000275643644803759,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
115,3,6.67824228663016e-05,7983,0.0200099193165686,14,0.000701694266513806,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
116,3,6.241418050181e-05,3995,0.000188219907034892,14,0.000772192779781983,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
117,1,7.57920266787934e-05,0,0.124093225086056,13,0.000246972173155503,2000,1999,1.999,62,9.15701950975488,0,21,0.001,-0.0505897705017286,9.15701950975488,0,0
