node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,20,8.38996560114103e-05,1347276,1,14,0.00393133831307548,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
2,15,7.29128691213999e-05,195559,0.365997101897191,15,0.0031219583510463,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
3,2,7.19579765416997e-05,19890,0.189394927980134,15,0.000437646433482571,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
4,11,8.16526496284804e-05,1012982,0.357592134897305,15,0.00220678945297637,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
5,21,7.31368390258173e-05,235372,0.634554198109251,15,0.004284808855273,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
6,22,7.88705733890685e-05,1148644,0.320304517619683,16,0.004329189830062,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
7,21,8.05477245267821e-05,1115827,0.898959290987418,14,0.00413942964706909,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
8,14,7.28809853509219e-05,188398,0.331965977558727,15,0.00296314236677256,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
9,14,7.37735153080044e-05,692050,0.325469520408208,15,0.0028647980309907,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
10,7,6.85260056191325e-05,82896,0.075058508130114,17,0.00142223979354368,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
11,9,7.24795245343191e-05,690728,0.0870001644810731,17,0.00193356373690375,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
12,15,6.76178240584218e-05,664562,0.130997807434084,16,0.00295865756585074,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
13,16,6.69388847981793e-05,730432,0.0442636785800909,18,0.00330189641069206,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
14,6,6.9710700592541e-05,67116,0.199904861195141,15,0.00126780174926915,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
15,7,6.82733665597051e-05,29846,0.073374123299342,17,0.00152217450048642,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
16,5,5.97193191997611e-05,41674,0.027933953322187,17,0.00107259714136495,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
17,6,6.42054574638844e-05,140283,0.0756601457082531,16,0.00122856051849764,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
18,8,6.13459296975646e-05,41683,0.0477957797604923,16,0.00177471884035047,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
19,8,6.39672487686305e-05,78997,0.0897297826046109,16,0.00167296085050959,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
20,5,6.97982829622391e-05,84609,0.190865478293884,15,0.00104440155584044,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
21,11,7.05566923022649e-05,231032,0.257956063306913,15,0.00221872527427714,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
22,18,6.99349604867473e-05,112035,0.399774816314817,15,0.00385713170204144,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
23,8,6.14741501198746e-05,29841,0.0954360520207357,16,0.0018062441843466,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
24,22,6.01214453195455e-05,288920,0.0315238419472667,19,0.00459066963332239,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
25,8,6.00564530658819e-05,132338,0.0316775950696463,17,0.00167478164026349,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
26,5,6.04850904252102e-05,371654,0.00958531418661689,19,0.00102306945114482,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
27,3,5.36855102807752e-05,3995,0.00614874826856991,20,0.000732861957468058,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
28,12,5.41154824395259e-05,148595,0.00951747684257443,20,0.0024442710486734,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
29,4,6.43707756678468e-05,17930,0.0660839907443203,16,0.000893705827301646,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
30,7,5.480352934729e-05,265044,0.00244839732809739,20,0.00150729271651014,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
31,4,5.47855147099107e-05,11969,0.0193756214078908,17,0.000949888105649728,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
32,10,5.71722600194386e-05,80941,0.0200102517514563,17,0.00210502431080882,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
33,8,7.03383273545755e-05,27869,0.0853355653837555,16,0.00176950038203733,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
34,8,6.94878743659232e-05,267651,0.0785772834579857,17,0.00165955838718828,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
35,11,6.19617076646632e-05,239458,0.0227102392535943,18,0.00223355307016573,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
36,5,5.1374261494991e-05,23893,0.00423066842199765,18,0.00110703243988604,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
37,4,5.34045393858478e-05,17925,0.00568153765082581,18,0.00092341133009248,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
38,9,7.22178089116776e-05,69221,0.251331330062599,15,0.00187859571208125,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
39,21,5.00425361557324e-05,251329,0.00157908542636287,21,0.00442972016468031,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
40,5,6.43459236857345e-05,11971,0.0685177127605871,16,0.00115738213115425,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
41,6,6.37633105910859e-05,29826,0.0804933591406888,16,0.00134066410640615,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
42,10,4.56850472840239e-05,90491,0.000421059453229735,22,0.00216316196922075,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
43,15,6.11209583766274e-05,395621,0.0497608291638642,17,0.00300189429057743,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
44,6,5.67891419160657e-05,21914,0.0197570008287638,17,0.00134996818020628,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
45,4,5.52150626690961e-05,25841,0.00462024312466519,19,0.000895983697577933,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
46,3,6.31672035878972e-05,13956,0.0492109224727495,16,0.000676940378993584,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
47,2,6.2146541544963e-05,78360,0.0490513244328704,16,0.000425548204825271,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
48,12,5.51602404986486e-05,220974,0.0149755547360158,18,0.00249720244546792,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
49,7,5.5546297839249e-05,130391,0.00529691430439063,19,0.00145806213916909,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
50,3,5.00325211387402e-05,13950,0.00103588259530059,20,0.000686274494019502,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
51,7,6.84509548908207e-05,66992,0.0766940275201761,17,0.00154019955059868,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
52,2,5.61072771138417e-05,5988,0.00929201077255293,17,0.00049172661666587,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
53,16,5.93788967400986e-05,94630,0.0167811067476969,19,0.00342332255327755,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
54,5,4.55186854203651e-05,11971,0.000332428429956345,22,0.00116844707852582,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
55,7,5.55216256731997e-05,76921,0.0113895353228139,17,0.00147495148551752,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
56,5,5.38010437402486e-05,43554,0.0066390921415033,20,0.00112828426760911,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
57,10,5.02436818570065e-05,96463,0.00141254162057917,20,0.00211582815847716,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
58,3,6.94107031304227e-05,5990,0.175556574542121,15,0.000698535223208763,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
59,6,6.14741501198746e-05,29827,0.08822658316026,16,0.00134721695402314,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
60,3,6.38773554774832e-05,15943,0.124252577746449,16,0.000667780344550995,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
61,3,5.45940929191462e-05,41576,0.00977562320635925,18,0.00064617874578588,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
62,3,4.93900330913222e-05,3995,0.00377922902873098,18,0.000780098821447614,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
63,1,6.13609866846659e-05,0,0.0728041754345007,16,0.000257142330374262,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
64,10,6.40820249919897e-05,65227,0.166499594996899,16,0.00215691011839772,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
65,7,6.43707756678468e-05,17940,0.0741060466584467,16,0.00160648429601765,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
66,10,4.99076708090033e-05,88647,0.00401859528163383,19,0.00214402361759941,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
67,3,6.36415706739642e-05,5990,0.0648291980171018,16,0.000720189100725817,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
68,6,5.00826363499775e-05,41690,0.00251252145929739,18,0.00129384191842692,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
69,3,5.13373376456697e-05,9974,0.00391307047055609,18,0.000699133099672575,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
70,1,6.81338148122913e-05,0,0.0583316040470214,17,0.00024226415252524,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
71,9,6.20539869686627e-05,55476,0.0649029614301963,16,0.00193734924476627,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
72,6,6.38039941300325e-05,39677,0.0803721448207442,16,0.00132302519769623,2000,1999,1.999,22,10.4559374687344,0,27,0.001,-0.089825792763501,10.4559374687344,0,0
