node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,15,0.00131752305665349,10899,1,9,0.0308814102537555,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
2,11,0.00143472022955524,13549,0.691946657818406,8,0.02247315438541,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
3,10,0.00137931034482759,12162,0.359946195577428,7,0.0207042679712167,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
4,3,0.00114025085518814,4070,0.0934505904864302,8,0.00666945370559834,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
5,4,0.00114025085518814,1733,0.192168382191304,9,0.00893092173598506,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
6,1,0.00108342361863489,0,0.0828156356230465,8,0.00250986277755409,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
7,9,0.00118343195266272,6646,0.163261941912458,8,0.0195704408038984,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
8,9,0.00100704934541793,4574,0.0755730591958176,9,0.0200229227204072,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
9,2,0.000841042893187553,198,0.0183595628293032,10,0.00513276526415955,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
10,2,0.001085776330076,198,0.0874445849247577,8,0.00492737812532948,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
11,2,0.00109289617486339,780,0.0880455754557773,8,0.00463527234886902,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
12,3,0.000968054211035818,3776,0.0247223868053244,9,0.0067618735080438,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
13,6,0.00108108108108108,3026,0.326242913185674,10,0.0130545678711798,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
14,3,0.00108813928182807,395,0.0926216370466794,8,0.00730198606602121,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
15,6,0.00107411385606874,2475,0.317129308055671,10,0.0133197867702002,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
16,6,0.00105820105820106,1172,0.314158529543849,10,0.0140851371836087,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
17,4,0.00105596620908131,978,0.275451601200868,10,0.00928785338441888,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
18,3,0.000964320154291225,590,0.0421501730892585,9,0.00728822923390121,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
19,11,0.000855431993156544,2122,0.037178343531052,10,0.0260225539878835,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
20,6,0.000836820083682008,3342,0.00799568647345653,10,0.0135830248738589,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
21,7,0.00114025085518814,1742,0.236499445988798,9,0.0160615822771476,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
22,3,0.00112233445566779,395,0.178052256097073,9,0.00725703266196124,200,199,1.99,15,6.10939698492462,0,14,0.01,-0.121699439518623,6.10939698492462,0,0
