node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.000959692898272553,0,0.197663052400048,11,0.00258405944295354,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
2,24,0.00118483412322275,9707,1,10,0.0517852078009321,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
3,9,0.00131233595800525,11265,0.312998688643212,9,0.0189395272030473,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
4,13,0.00136986301369863,13776,0.126096469668674,8,0.027420083138427,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
5,8,0.00116279069767442,5907,0.0351386362590206,9,0.0174510149031042,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
6,1,0.00104166666666667,0,0.0618682761944295,10,0.00253873312473321,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
7,6,0.000986193293885602,4057,0.00878146180365212,10,0.0130254027191226,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
8,6,0.000980392156862745,2102,0.247298717944802,11,0.0138526442691061,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
9,6,0.00123762376237624,9304,0.0320477150377846,8,0.0125682703726333,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
10,9,0.00102669404517454,3029,0.00935445592748326,9,0.0202395647459755,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
11,3,0.00107066381156317,6071,0.00715214383575113,9,0.00638317730982949,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
12,4,0.000829187396351575,1167,0.0555852338562852,12,0.00962930746604067,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
13,3,0.00105932203389831,1535,0.0672447786387202,10,0.00686428389382522,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
14,3,0.000715307582260372,590,0.011939046577849,13,0.00763504307932736,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
15,3,0.000856164383561644,395,0.00200576340135063,10,0.00759456163645666,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
16,3,0.0010482180293501,590,0.0672283925651674,10,0.00718381049461667,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
17,12,0.000929368029739777,5088,0.00252543947634259,10,0.0264844240374514,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
18,2,0.00107991360691145,198,0.0259380296053673,9,0.00497902401537582,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
19,1,0.000821018062397373,0,0.0488818194435881,12,0.00271245793812401,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
20,4,0.000860585197934596,977,0.00210242240516131,10,0.00965078560170466,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
21,1,0.000853242320819113,0,0.00184903031216809,10,0.00266151444823107,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
22,4,0.00108459869848156,591,0.0282339751043368,9,0.00972518764490437,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
23,1,0.000959692898272553,0,0.197663052400048,11,0.00258405944295085,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
24,1,0.000784929356357928,0,0.000499186075545501,11,0.00262598003598599,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
25,3,0.000965250965250965,590,0.214788096578261,11,0.00726324013253887,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
26,1,0.000853242320819113,0,0.00184903031216809,10,0.00266151444823107,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
27,1,0.000945179584120983,0,0.00694561010013306,10,0.00260417033345526,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
28,3,0.000737463126843658,395,0.000450797133167617,11,0.00786326419361926,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
29,4,0.000798722044728435,2100,0.000569756667683464,11,0.00906327066590203,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
30,2,0.000811688311688312,198,0.0441818872690568,12,0.00539400084157096,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
31,2,0.000961538461538461,198,0.205699887344355,11,0.00504353728837799,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
32,3,0.00104602510460251,395,0.0671125417895022,10,0.0073576844850173,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
33,1,0.000959692898272553,0,0.197663052400048,11,0.00258405944295085,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
34,6,0.000972762645914397,1362,0.246158590067156,11,0.0141015678021122,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
35,1,0.000784929356357928,0,0.000499186075545513,11,0.00262598003598599,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
36,3,0.000963391136801541,395,0.214417964753852,11,0.00744513075810679,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
37,2,0.00099601593625498,198,0.00659221137291631,9,0.00495969466842577,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
38,3,0.000695410292072323,1163,0.00012262693606523,12,0.00715768090709528,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
39,2,0.00069060773480663,198,0.000117198882356214,12,0.00518738945832044,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
40,1,0.000959692898272553,0,0.197663052400048,11,0.00258405944295085,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
41,1,0.000809061488673139,0,0.0423825094026522,12,0.00285945371479761,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
42,1,0.000959692898272553,0,0.197663052400048,11,0.00258405944295085,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
43,1,0.00107758620689655,0,0.0249246130915803,9,0.00254285158982106,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
44,4,0.000892857142857143,1169,0.00161035954633513,10,0.00930208143240653,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
45,1,0.000815660685154975,0,0.0486564582871663,12,0.00274772210529989,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
46,2,0.000869565217391304,198,0.013828872776997,11,0.00535876786454017,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
47,1,0.000831946755407654,0,0.00130303662203696,10,0.00285787023408095,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
48,1,0.000892857142857143,0,0.00558081370051021,10,0.00281660237454247,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
49,1,0.000892857142857143,0,0.00558081370051019,10,0.00281660237454247,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
50,2,0.000786163522012579,198,0.000519482615778719,11,0.00510916639684585,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
51,3,0.000838926174496644,1911,0.00189327688835925,11,0.00674082763076849,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
52,3,0.000829187396351575,590,0.00188615346598118,11,0.00728287737577624,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
53,4,0.000829187396351575,591,0.00196623723562976,11,0.00983959702091618,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
54,1,0.000712250712250712,0,0.000388652453737223,12,0.00284091436694399,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
55,1,0.000784929356357928,0,0.000499186075545496,11,0.00262598003598599,200,199,1.99,24,6.33005025125628,0,15,0.01,-0.185697124431344,6.33005025125628,0,0
