node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,4,0.00112233445566779,212.964355862576,0.242391158419675,5,0.00425618529646186,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
2,1,0.000863557858376511,0,0.0222485555505408,7,0.00182832190561524,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
3,4,0.00114025085518814,122.083362543889,0.269875429113677,5,0.00405107627280572,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
4,6,0.00118906064209275,405.164237718766,0.337560979164142,6,0.00590343282312051,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
5,10,0.00126742712294043,886.419449912832,0.686692690630517,5,0.00937019730730119,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
6,5,0.00108695652173913,224.078442756074,0.180094153192961,6,0.00534065876118062,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
7,7,0.00121065375302663,338.108908368893,0.542921927700816,5,0.00650260445606619,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
8,7,0.00119760479041916,552.128420916888,0.44528439626007,5,0.00692543226392804,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
9,4,0.00111607142857143,131.671151887328,0.285725482989591,6,0.00413508177061072,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
10,5,0.00118343195266272,209.712080828528,0.455464258642051,5,0.00479353801908706,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
11,7,0.00116822429906542,389.043517327186,0.402969719775655,6,0.00683614342636911,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
12,5,0.00116414435389988,252.308262570763,0.334247705466806,5,0.00501143294311651,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
13,6,0.00115473441108545,305.981266158163,0.35701852057493,5,0.00589432692411338,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
14,6,0.00117096018735363,234.742890133602,0.417161682741867,5,0.00571786950890377,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
15,8,0.00125944584382872,621.897543443828,0.66723271462343,5,0.0073930012203887,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
16,4,0.00105374077976818,100.945418470418,0.188794822164949,6,0.00443459379702284,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
17,5,0.00112739571589628,195.695861083361,0.236446201440899,5,0.0050025548062889,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
18,4,0.00113507377979569,124.11541642482,0.276189853645814,5,0.00408265936052164,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
19,6,0.00111856823266219,280.188890027241,0.262266384994096,6,0.00594420026024529,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
20,6,0.00116279069767442,339.609242245543,0.428923851478264,5,0.00614579726883202,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
21,8,0.00122699386503067,495.512988967517,0.562059457643609,5,0.00742974195476889,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
22,4,0.00113122171945701,151.088971159559,0.314742735512697,6,0.0041233232661521,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
23,7,0.00122549019607843,415.881851069467,0.558030166263469,5,0.00658150989691379,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
24,6,0.00117647058823529,404.600276112776,0.360748900713265,5,0.00601259141460049,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
25,1,0.000944287063267233,0,0.0620191212382381,7,0.0016350903176003,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
26,5,0.00110864745011086,213.708160114739,0.254365103857445,5,0.00523050483678881,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
27,3,0.000975609756097561,76.8857142857143,0.0638985353117924,6,0.00388857941778272,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
28,6,0.00119331742243437,324.750584748069,0.448046619375079,5,0.00570814142571661,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
29,3,0.00110132158590308,55.434879009879,0.226352699311173,5,0.00318478698885135,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
30,4,0.00110619469026549,115.465387390387,0.244353688385167,5,0.00417346577561019,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
31,5,0.00111358574610245,205.829122674711,0.230576439448923,6,0.00505371485521688,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
32,4,0.00112107623318386,98.7735875235875,0.339761189562706,6,0.00402543601930545,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
33,6,0.00110497237569061,401.205354041383,0.241689816252403,6,0.0067653160467744,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
34,7,0.00120048019207683,326.794167524082,0.568034165011419,5,0.00653399311218293,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
35,3,0.00111358574610245,58.0388079026237,0.262414703521517,6,0.00317034433763798,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
36,6,0.00122399020807834,352.902649556326,0.48888347234984,5,0.00560583836700246,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
37,4,0.00114810562571757,116.92764400632,0.318675285804194,5,0.00398140598446381,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
38,3,0.00107758620689655,75.5058570514453,0.204938662487309,6,0.00333994940056785,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
39,4,0.00113378684807256,208.216758898996,0.32685613074489,5,0.0042448975824995,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
40,3,0.00101419878296146,66.2698799566447,0.093770726949838,6,0.00352741158872044,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
41,4,0.00111111111111111,64.7878066378066,0.312802767474866,5,0.00400301213317946,200,497,4.97,11,3.47185422059794,0.0237203495630462,7,0.0249748743718593,0.0037391013189893,3.47185422059794,57,3
