node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,10,0.00113636363636364,13733,1,11,0.0206048914917993,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
2,6,0.000950570342205323,2472,0.403651118797963,12,0.0134194941690439,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
3,1,0.000927643784786642,0,0.257927624286255,12,0.00250141577680441,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
4,5,0.0010989010989011,9985,0.470192304221758,10,0.0109170565535774,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
5,7,0.00094876660341556,2300,0.440552154270364,12,0.0156395235216351,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
6,11,0.00105263157894737,11348,0.450492375027445,9,0.0236509895405196,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
7,10,0.00105485232067511,10105,0.899412976498096,12,0.0209593124470423,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
8,4,0.00094876660341556,2273,0.3323888803898,12,0.00892033982307547,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
9,6,0.000927643784786642,5736,0.378999453795573,13,0.0133541485071738,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
10,2,0.00087260034904014,198,0.124475357776662,10,0.00503338781134403,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
11,4,0.000945179584120983,7017,0.153716335115124,10,0.00891684286688947,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
12,7,0.000821018062397373,5201,0.178971645191968,14,0.0151558956009991,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
13,5,0.000853242320819113,7073,0.0661791794533647,11,0.010841511274876,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
14,2,0.000875656742556918,394,0.249785105418833,13,0.00481682874798911,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
15,1,0.000871080139372822,0,0.116194428049901,10,0.00257757646449564,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
16,2,0.000708215297450425,394,0.0497040318845703,15,0.00489883580366058,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
17,4,0.000809061488673139,1545,0.11111599964109,13,0.00934473438442652,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
18,2,0.000747384155455904,198,0.0690180169251396,14,0.00537714632938696,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
19,4,0.000807754442649435,1169,0.132548591712756,13,0.00946677258518188,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
20,3,0.000875656742556918,395,0.267586758557283,13,0.00734381007974395,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
21,5,0.00088809946714032,1925,0.327910769521912,13,0.0112272846026097,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
22,5,0.00088339222614841,1359,0.318326159817033,13,0.0115619485988956,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
23,2,0.000755287009063444,588,0.0884402343164915,14,0.00495482899593714,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
24,10,0.000745156482861401,2666,0.0453313330583935,12,0.0231654914603249,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
25,3,0.000710227272727273,783,0.053880890645946,15,0.00717333146836819,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
26,4,0.000755287009063444,4155,0.0221773771634957,12,0.00881895099900587,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
27,1,0.000649350649350649,0,0.0116922030414804,13,0.00271906677412738,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
28,5,0.00065359477124183,979,0.0160353405763582,13,0.012251649879585,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
29,1,0.000783699059561129,0,0.0977544287232804,14,0.00264183770518362,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
30,3,0.000671140939597316,2943,0.00689457978924658,13,0.00682995080675284,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
31,2,0.000658761528326746,394,0.0245616350100079,15,0.00526893584499845,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
32,5,0.000701262272089762,786,0.0390518395059474,14,0.0125254882859966,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
33,1,0.000902527075812274,0,0.121275583985598,11,0.00260589961410936,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
34,3,0.000899280575539568,3275,0.142163894088046,10,0.00675801737270042,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
35,7,0.000782472613458529,3016,0.0640170944354484,11,0.0157737592979843,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
36,1,0.00061576354679803,0,0.0100725481877771,15,0.00287933300861925,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
37,2,0.000621890547263682,198,0.0137337000463051,16,0.00543171071084822,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
38,3,0.000932835820895522,590,0.299148676193275,12,0.00711841574051747,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
39,6,0.000602409638554217,2659,0.00277499637895867,14,0.0135779569423886,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
40,1,0.000783699059561129,0,0.0977544287232804,14,0.00264183770518362,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
41,3,0.000802568218298555,395,0.120091323218079,13,0.00757445982112484,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
42,3,0.000541125541125541,974,0.000835847240743218,15,0.0072084300873835,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
43,5,0.000721500721500722,2818,0.066233932656705,15,0.0111906734570842,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
44,2,0.000697350069735007,198,0.0366244453643259,14,0.00532162688743873,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
45,1,0.000677506775067751,0,0.016511777081444,12,0.00266538505761227,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
46,2,0.000788643533123028,198,0.082657644305976,13,0.00532976040675503,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
47,2,0.000757575757575758,394,0.0910674276147435,14,0.00499403605301161,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
48,5,0.000638569604086846,1738,0.0241353602721832,16,0.0115752587792755,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
49,4,0.000683994528043776,1359,0.0210313003564003,12,0.00935613328625037,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
50,2,0.000603864734299517,394,0.00584081585866432,13,0.00510493621615016,200,199,1.99,11,7.44040201005025,0,18,0.01,-0.183769889840881,7.44040201005025,0,0
