node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,6,0.024390243902439,133,1,4,0.139781422856039,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
2,2,0.0175438596491228,18,0.42383981337628,5,0.0527238641689845,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
3,1,0.0169491525423729,0,0.366811789674248,5,0.0273023682379389,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
4,2,0.0204081632653061,70,0.478758551497916,5,0.0487510599379871,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
5,1,0.0169491525423729,0,0.366811789674248,5,0.0273023682379389,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
6,4,0.0169491525423729,65,0.305188559841776,6,0.100935019764933,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
7,4,0.0212765957446809,89,0.666131969402183,5,0.0956842909847609,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
8,2,0.0175438596491228,18,0.42383981337628,5,0.0527238641689845,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
9,2,0.0163934426229508,34,0.289326486888113,6,0.0516783572914263,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
10,1,0.012987012987013,0,0.111946761823668,7,0.0289486917000482,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
11,2,0.0133333333333333,18,0.129351062247914,7,0.0553012785910735,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
12,2,0.012987012987013,18,0.122628084207472,7,0.056106930487446,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
13,1,0.010752688172043,0,0.0474474946394222,8,0.0310030434012062,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
14,2,0.0158730158730159,18,0.282333249595394,6,0.0535544607972786,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
15,1,0.012987012987013,0,0.111946761823668,7,0.0289486917000482,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
16,1,0.0105263157894737,0,0.0449814270324673,8,0.0313454454571646,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
17,1,0.0133333333333333,0,0.155469440479752,6,0.0299076422718184,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
18,1,0.0123456790123457,0,0.103563164568633,7,0.0302606458388434,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
19,1,0.0133333333333333,0,0.155469440479752,6,0.0299076422718184,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
20,1,0.0153846153846154,0,0.244345059855646,6,0.0278329118342617,20,19,1.9,6,3.53157894736842,0,8,0.1,-0.312154696132597,3.53157894736842,0,0
