node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,0,0.00263157894736842,0,1.60516597028246e-17,0,0.00903614457831325,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
2,2,0.00833333333333333,13.3333333333333,0.475757171297156,4,0.0514143308219801,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
3,3,0.00775193798449612,17,0.539173719422231,7,0.078660852765437,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
4,3,0.00833333333333333,21.3333333333333,0.701260965649746,5,0.0766206327371529,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
5,3,0.008,38,0.30506109761264,6,0.0865332083474282,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
6,3,0.00840336134453781,17.3333333333333,0.706974691182286,5,0.0735454245810812,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
7,4,0.00862068965517241,27.3333333333333,1,5,0.0964219077356866,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
8,3,0.00826446280991736,21.6666666666667,0.819922637015794,6,0.0735222208645471,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
9,3,0.00869565217391304,36.6666666666667,0.839632016451938,4,0.0727752951933671,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
10,3,0.00854700854700855,47,0.593029504488368,5,0.0760246445142134,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
11,0,0.00263157894736842,0,1.60516597028246e-17,0,0.00903614457831325,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
12,0,0.00263157894736842,0,1.60516597028246e-17,0,0.00903614457831325,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
13,1,0.00719424460431655,0,0.111641951123182,7,0.0335538869434179,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
14,1,0.00662251655629139,0,0.0471753926802427,8,0.0364720884998291,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
15,1,0.00769230769230769,0,0.365965873711446,6,0.0295257999721467,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
16,0,0.00263157894736842,0,1.60516597028246e-17,0,0.00903614457831325,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
17,1,0.00699300699300699,0,0.197319181310607,8,0.0313233861951871,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
18,2,0.0072992700729927,14,0.128906534923088,7,0.0645551621682727,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
19,1,0.00746268656716418,0,0.256637581993741,6,0.0307453238538399,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
20,2,0.00793650793650794,7.33333333333333,0.456047791861011,6,0.0521612564931601,20,18,1.8,4,3.175,0,8,0.0947368421052632,-0.153846153846155,3.175,0,4
