node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,4,0.025,89,0.475116943149789,4,0.0959809629021531,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
2,9,0.0294117647058824,145,1,4,0.211406300283268,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
3,2,0.0178571428571429,18,0.168550009770046,5,0.0536531579126537,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
4,1,0.0192307692307692,0,0.318718312036176,5,0.0274661505823087,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
5,1,0.0192307692307692,0,0.318718312036176,5,0.0274661505823087,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
6,2,0.0208333333333333,34,0.359348741079812,5,0.0511669930356336,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
7,2,0.02,18,0.354754786585052,5,0.0529802748842405,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
8,1,0.0172413793103448,0,0.151428470140488,5,0.0278959546167075,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
9,1,0.0147058823529412,0,0.113066846767142,6,0.0300166168258022,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
10,2,0.02,18,0.354754786585052,5,0.0529802748842405,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
11,1,0.0147058823529412,0,0.113066846767142,6,0.0300166168258022,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
12,1,0.0192307692307692,0,0.318718312036176,5,0.0274661505823086,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
13,2,0.0185185185185185,34,0.170732675386565,5,0.0517662559594476,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
14,1,0.0135135135135135,0,0.0537199746075899,6,0.0303025921128778,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
15,2,0.015625,18,0.127480685951376,6,0.0557666881254705,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
16,2,0.0142857142857143,18,0.060568233819856,6,0.0561654149240943,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
17,1,0.0192307692307692,0,0.318718312036176,5,0.0274661505823086,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
18,1,0.0113636363636364,0,0.0193042052460769,7,0.0313703013427401,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
19,1,0.0192307692307692,0,0.318718312036176,5,0.0274661505823086,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
20,1,0.0121951219512195,0,0.0406304290436363,7,0.031200842453325,20,19,1.9,9,3.06315789473684,0,7,0.1,-0.377044557247603,3.06315789473684,0,0
