node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,71,0.000163318634656214,305084.592571293,0.564097216579108,5,0.007235291844441,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
2,89,0.000170415814587594,421306.301590958,1,5,0.00889428587863018,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
3,30,0.000148104265402844,98826.9079975361,0.255469267040539,5,0.00305134857121879,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
4,74,0.00016627868307283,314079.7280631,0.732674541692848,5,0.00735242192585181,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
5,47,0.000150784077201448,134161.953651542,0.332288898431294,5,0.00483817844118632,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
6,42,0.00014494854326714,110210.617592085,0.238741372424104,5,0.00430252851064798,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
7,29,0.000151837230488916,91773.1541115081,0.297054197648062,5,0.00288952281250066,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
8,23,0.000141282848262221,42856.634352866,0.217079409121689,5,0.00243808215902747,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
9,42,0.000144990575612585,104270.468577513,0.220313889882019,5,0.00433993270522412,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
10,86,0.000161603102779573,307384.516251477,0.688220805932869,5,0.00879368147140179,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
11,16,0.000134752728742757,24987.0174256936,0.152662802260698,6,0.00170735433041082,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
12,43,0.000147405660377358,106142.275246127,0.278156806455989,5,0.00442547370595651,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
13,32,0.000139879703455029,78665.5750818962,0.142447275474703,5,0.00328470219278643,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
14,25,0.000139062717285496,45933.9431624484,0.165660133187391,6,0.00265525684305267,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
15,34,0.000141763538417919,91099.962249649,0.173306464295238,5,0.00346047190961407,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
16,28,0.000143204926249463,68208.8968698086,0.196979106221294,5,0.00279351112676853,2100,4196,3.99619047619048,89,4.46302184713809,0.00885319658450449,8,0.00190385444315887,-0.0673501902958945,4.46302184713809,366,3
