node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,29,9.46611132146914e-05,1374873,0.756187692203152,10,0.0054603159277301,2100,2099,1.99904761904762,36,9.04828149458926,0,20,0.000952380952380952,-0.0645532072358379,9.04828149458926,0,0
2,36,8.65800865800866e-05,978884,1,11,0.00690342773933102,2100,2099,1.99904761904762,36,9.04828149458926,0,20,0.000952380952380952,-0.0645532072358379,9.04828149458926,0,0
3,24,8.03212851405622e-05,215855,0.270104137657049,11,0.00480731431866198,2100,2099,1.99904761904762,36,9.04828149458926,0,20,0.000952380952380952,-0.0645532072358379,9.04828149458926,0,0
4,4,7.33352889410384e-05,12567,0.165243456584632,12,0.000868798972281708,2100,2099,1.99904761904762,36,9.04828149458926,0,20,0.000952380952380952,-0.0645532072358379,9.04828149458926,0,0
5,16,7.44158356898348e-05,213587,0.246125987556613,12,0.00317415965999017,2100,2099,1.99904761904762,36,9.04828149458926,0,20,0.000952380952380952,-0.0645532072358379,9.04828149458926,0,0
6,26,9.6487842531841e-05,1608948,0.457590275166252,11,0.00476489129921722,2100,2099,1.99904761904762,36,9.04828149458926,0,20,0.000952380952380952,-0.0645532072358379,9.04828149458926,0,0
7,32,8.61474844934528e-05,792160,0.321695266863793,12,0.00603356072238381,2100,2099,1.99904761904762,36,9.04828149458926,0,20,0.000952380952380952,-0.0645532072358379,9.04828149458926,0,0
8,2,7.29713952130765e-05,2098,0.0505618198658156,13,0.000457783661575507,2100,2099,1.99904761904762,36,9.04828149458926,0,20,0.000952380952380952,-0.0645532072358379,9.04828149458926,0,0
9,12,7.93021411578113e-05,54176,0.157508732055602,11,0.00248429927446199,2100,2099,1.99904761904762,36,9.04828149458926,0,20,0.000952380952380952,-0.0645532072358379,9.04828149458926,0,0
10,9,7.37354372511429e-05,147869,0.0617996166913905,13,0.00174859744304935,2100,2099,1.99904761904762,36,9.04828149458926,0,20,0.000952380952380952,-0.0645532072358379,9.04828149458926,0,0
