node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,21,7.95481664147641e-05,1488086,1,14,0.00394228041636288,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
2,15,6.91802144586648e-05,217491,0.355741465890097,15,0.0029717669788258,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
3,2,6.82640453273261e-05,20890,0.187081431714326,15,0.000417318371515971,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
4,11,7.74773378786705e-05,1118078,0.336825558154072,15,0.00209878616797338,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
5,22,6.93914370966623e-05,261301,0.668340667144577,15,0.00427680988338597,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
6,22,7.49007564976406e-05,1271822,0.272561315049722,16,0.00411273753146451,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
7,21,7.6283469372187e-05,1220053,0.807541212446223,14,0.00394172943094906,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
8,14,6.91610761463448e-05,211720,0.32209022946425,15,0.0028131604306211,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
9,14,6.9886085680341e-05,761076,0.28436263510102,15,0.00272199219952026,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
10,7,6.51253663301856e-05,97325,0.0630869754879285,17,0.0013462992115173,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
11,9,6.8865780593623e-05,763672,0.0732717326878284,17,0.00183985860519981,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
12,16,6.40738130326136e-05,731253,0.118373010605501,16,0.00301234284803459,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
13,17,6.36334712058543e-05,809602,0.0401452818903736,18,0.00333300874999205,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
14,6,6.60545610674417e-05,70516,0.176606072953262,15,0.00120739006696396,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
15,7,6.48718780408693e-05,35500,0.0613783628122878,17,0.00143959930900542,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
16,5,5.66219353377498e-05,45843,0.0249036692022844,17,0.00102126800437131,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
17,6,6.09718919578074e-05,159481,0.0722988479149483,16,0.00116245017917926,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
18,8,5.81564408258215e-05,43783,0.0414555905042682,16,0.00169019597184416,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
19,9,6.07127678950883e-05,85055,0.0893733332033343,16,0.00180161404947855,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
20,5,6.61331922491899e-05,88909,0.168861310773017,15,0.000994629156937099,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
21,11,6.68583272046533e-05,252767,0.226414758674087,15,0.00211392897266138,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
22,18,6.62734442308967e-05,121784,0.34351990376189,15,0.00366858210601758,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
23,8,5.82920431361119e-05,33417,0.0805185640996872,16,0.00171489908357552,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
24,23,5.716572343223e-05,319368,0.0306807542909213,19,0.00457961610228285,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
25,8,5.69378807720777e-05,145072,0.0280858357992662,17,0.00159542296991007,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
26,5,5.75076197596182e-05,409391,0.00854774501348899,19,0.000973468131214673,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
27,3,5.10542706897432e-05,4195,0.00590796840286956,20,0.000698592588227995,2100,2099,1.99904761904762,23,10.5075727670773,0,27,0.000952380952380952,-0.0907075922204953,10.5075727670773,0,0
