node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,32,8.89600569344364e-05,1219056,1,12,0.00601247128159425,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
2,25,9.43307235166494e-05,1554136,0.655858811879874,11,0.00465619863494658,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
3,22,9.08182726364545e-05,1295950,0.280419978644856,10,0.00417515784377143,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
4,9,7.95481664147641e-05,499012,0.0577958388248056,11,0.00178724046668976,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
5,9,7.99808046068943e-05,199266,0.136755094850366,12,0.00175348812793386,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
6,3,7.65052406089817e-05,39538,0.0481345843665242,11,0.000629275652701587,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
7,23,8.12149760415821e-05,715610,0.128103112597488,11,0.00448676021308158,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
8,21,7.22073795941945e-05,541860,0.0502948148154311,12,0.00398872922663769,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
9,3,6.28575020428688e-05,39538,0.0085771803974967,13,0.000624131115087969,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
10,2,7.62951094834821e-05,2098,0.046395768967633,11,0.000459421955122057,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
11,6,7.69289945380414e-05,113055,0.0525871391160117,11,0.00119438335533344,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
12,6,7.04870656234581e-05,458032,0.0111229625793649,12,0.00119472222114248,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
13,12,7.70238003543095e-05,353725,0.241198474180279,13,0.00229202960107539,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
14,5,7.63650248186331e-05,14661,0.0505489220010239,11,0.00108426527070835,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
15,16,7.72021925422682e-05,381684,0.27539683703241,13,0.00305181019305882,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
16,11,7.57174225789354e-05,135826,0.221925878311988,13,0.00214954142093573,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
17,12,7.52162467092892e-05,45896,0.227456241207839,13,0.00252416425160561,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
18,8,6.95555400987689e-05,35499,0.0253664302108996,12,0.00168824351320189,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
19,19,6.35364381472775e-05,212256,0.0160847435143624,13,0.00370023700572358,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
20,10,6.28417017532835e-05,363899,0.00241780428108285,13,0.00192307911100706,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
21,23,8.03535556448373e-05,257437,0.266983810544333,12,0.00451520687754911,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
22,5,7.89328281632331e-05,31323,0.118660898970983,12,0.00103645619697199,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
23,1,5.60632393339687e-05,0,0.00259212300140663,14,0.000236965490105742,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
24,6,7.96241738991958e-05,143235,0.122571551422694,12,0.00115741227329319,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
25,1,5.55216256731997e-05,0,0.000389639168588482,14,0.000234890295864254,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
26,7,5.61387750519284e-05,25094,0.00308121153715373,14,0.00150600165830428,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
27,5,6.95361935887629e-05,31323,0.023133214367486,12,0.00105348166377215,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
28,4,7.5046904315197e-05,14655,0.175048814128193,13,0.000860576100428102,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
29,4,7.5091987684914e-05,22987,0.175356594334025,13,0.000847465884474311,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
30,3,6.55780706931602e-05,58063,0.0379963763660302,14,0.000610134479393787,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
31,2,7.49906261717285e-05,4194,0.165568717383688,13,0.0004448525909685,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
32,8,6.65911966438037e-05,82803,0.0105232361319855,12,0.0016358671298191,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
33,1,7.496813854112e-05,0,0.16115413957903,13,0.000231134839846056,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
34,5,6.8667170225915e-05,97083,0.0222688662870552,13,0.000978206108770568,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
35,5,5.56390140766706e-05,35461,0.00154639392877556,14,0.00106016539485861,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
36,4,6.53637492646578e-05,6291,0.0387861818073592,14,0.000916065171193546,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
37,8,6.88847558035407e-05,86931,0.0272152530215874,13,0.00161032330618298,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
38,8,6.01938241136459e-05,50032,0.00442514706110632,14,0.00162906678334612,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
39,4,5.56575944787666e-05,45783,0.000426433170351546,14,0.000820963618205674,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
40,5,5.61009817671809e-05,12571,0.00289709285066,14,0.0011020321583603,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
41,1,6.87616035205941e-05,0,0.0430255462698028,13,0.000238294912555475,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
42,4,6.70825786543235e-05,146531,0.0487648120414426,14,0.000782495253615488,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
43,16,6.32311097059753e-05,135924,0.0136238162464182,13,0.00318723947700129,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
44,2,6.49730361899812e-05,2098,0.0376328650630494,14,0.000486791115405163,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
45,3,6.02010715790741e-05,4195,0.00462613838799406,14,0.000702162046570719,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
46,9,5.85994726047466e-05,52099,0.00216502641137368,13,0.00187836509726556,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
47,9,7.89203693473285e-05,29269,0.134022026257235,12,0.00191668998185143,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
48,11,6.28654051675363e-05,41754,0.0110340993381487,13,0.00230016464883173,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
49,3,6.94107031304227e-05,4195,0.021775389203205,12,0.000691972078862391,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
50,4,6.77460876634374e-05,8385,0.023440751181639,13,0.00092850284863183,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
51,10,7.54432289701999e-05,87089,0.214601605672442,13,0.00198051189207371,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
52,13,6.68583272046533e-05,127634,0.0575815877491817,14,0.00265441944238209,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
53,17,6.68136567114318e-05,117761,0.0680004535656393,14,0.00346531247824447,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
54,10,6.52613717940351e-05,31356,0.0453414835720894,14,0.00214669021902132,2100,2099,1.99904761904762,32,9.22867261054017,0,20,0.000952380952380952,-0.0499310274606433,9.22867261054017,0,0
