node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,33,8.44024307900068e-05,1344072,1,12,0.00592474812257297,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
2,25,8.93974611121044e-05,1705545,0.615525692804663,11,0.00443229819108084,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
3,22,8.6043710204784e-05,1418269,0.251913151771541,11,0.00398261495488098,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
4,9,7.54375377187689e-05,547924,0.0511365838253332,12,0.00170472454111847,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
5,9,7.58610226065847e-05,215247,0.126344402011031,12,0.00167131374138623,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
6,3,7.25584095196633e-05,41438,0.0427648636299633,12,0.000600520570491389,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
7,23,7.70060064685046e-05,784752,0.109458519142691,12,0.00427870283048474,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
8,21,6.85400959561343e-05,599560,0.0415851150596103,13,0.0038006322382402,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
9,3,5.9708621925006e-05,43599,0.00701603981254257,14,0.000594296296529154,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
10,2,7.23693732812274e-05,2198,0.0412603901597263,12,0.000438372012926725,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
11,7,7.2950102130143e-05,120698,0.0480512864686729,12,0.00133909135936671,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
12,6,6.68985817500669e-05,503675,0.00969952204904521,13,0.00113832461949586,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
13,12,7.31743011854237e-05,395210,0.236261432770571,13,0.00217722050715683,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
14,5,7.24322758221063e-05,15361,0.0448734365283512,12,0.00103476908030277,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
15,16,7.32708089097304e-05,412660,0.269444208021694,13,0.00290915988773048,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
16,12,7.19114051488566e-05,150881,0.226035498094757,13,0.002248767748232,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
17,12,7.14183688044565e-05,48096,0.223499773025687,13,0.00240980733161729,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
18,8,6.60153155532083e-05,39372,0.0213729403389504,13,0.00160934388230954,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
19,19,6.03500301750151e-05,233032,0.0129597697893548,14,0.00353169333251052,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
20,10,5.968011458582e-05,399938,0.0020727409421726,14,0.00182851425806618,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
21,24,7.62660158633313e-05,288618,0.257673682086551,12,0.00448901514947298,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
22,6,7.48951467944877e-05,35006,0.113261150134444,12,0.00119221736251001,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
23,1,5.32821824381927e-05,0,0.00206857774283765,15,0.000226178625162614,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
24,6,7.55401117993655e-05,156547,0.113680792409486,12,0.0011016324093234,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
25,1,5.27593120185713e-05,0,0.000330841199291085,15,0.000223605530117525,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
26,8,5.33560986020702e-05,28480,0.0025261499447638,15,0.00164510211900599,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
27,5,6.59891777748449e-05,32823,0.0195311627782849,13,0.0010053241104298,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
28,4,7.12758374910905e-05,17541,0.173088204786151,13,0.000816881807165244,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
29,4,7.13165026387106e-05,26265,0.173379399950483,13,0.000807036275709916,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
30,3,6.232859636001e-05,65151,0.0383196738089204,14,0.000583789342388246,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
31,2,7.12149266486256e-05,4394,0.1639001737188,13,0.000424855458848518,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
32,8,6.3187160369013e-05,86803,0.00947679807035852,13,0.00156342089767998,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
33,1,7.11946461626086e-05,0,0.15961531543074,13,0.000220788966793679,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
34,5,6.51890482398957e-05,103917,0.0204027052264354,13,0.000932223403808453,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
35,5,5.28820729772607e-05,39339,0.00125094866373712,15,0.00100704976709962,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
36,4,6.21195179525407e-05,6591,0.0390644695307519,14,0.000876034204737651,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
37,8,6.53851183470642e-05,93262,0.0247872501977119,13,0.00153662827494467,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
38,8,5.71755288736421e-05,52432,0.00399718259729769,14,0.00155455277708829,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
39,4,5.28988573846805e-05,54482,0.00036138418470775,15,0.000772733902022185,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
40,5,5.33162721262529e-05,13171,0.00230672467572624,15,0.00105190738849498,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
41,2,6.53253200940685e-05,2198,0.0422038967875176,13,0.000446375447118571,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
42,4,6.37023824691043e-05,157855,0.0471534291451064,14,0.000746353850715082,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
43,17,6.00744923705395e-05,153119,0.0115205784577174,14,0.00322536720958886,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
44,2,6.17360167921966e-05,2198,0.0366066152989631,14,0.000464706144228644,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
45,3,5.71820677035682e-05,4395,0.00416884446786417,14,0.000670143401872385,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
46,9,5.56359185490152e-05,54599,0.00192056778890182,14,0.00179338106017972,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
47,9,7.48727163821503e-05,30669,0.123936483273497,12,0.00182860448459987,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
48,11,5.97157530156455e-05,45931,0.00898124825987253,14,0.00218350087936791,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
49,3,6.58761528326746e-05,4395,0.018409284545437,13,0.000660225498253066,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
50,4,6.43252283545606e-05,8785,0.021434717480387,13,0.000886115265580828,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
51,10,7.1694866647548e-05,106293,0.211340956808352,13,0.00186888161831586,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
52,13,6.35485510930351e-05,138059,0.0553343871226836,14,0.00253152438954523,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
53,17,6.35324015247776e-05,134114,0.0651776547575814,14,0.0032852964762141,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
54,10,6.20732464307883e-05,39394,0.0440047487116276,14,0.00201527000253371,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
55,3,5.32992218313613e-05,6590,0.00218117006166988,15,0.00064498585848256,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
56,2,5.95734540688669e-05,2198,0.00681114923984874,14,0.00043831151161087,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
57,11,7.62892889838267e-05,292159,0.135797155735881,12,0.00197843176520876,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
58,13,5.3527459586768e-05,287464,0.000496973036894386,15,0.00235611422950167,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
59,4,6.1980909879757e-05,13169,0.0365783594217957,14,0.000831516468383675,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
60,4,5.33049040511727e-05,8785,0.00224138201043403,15,0.000856549737799869,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
61,19,5.86854460093897e-05,114878,0.00291421470385724,14,0.0037694641389313,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
62,5,6.55136268343815e-05,50161,0.0459740310013012,13,0.000986388884613625,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
63,2,6.24921884764405e-05,2198,0.00734973734379137,13,0.000472872183621029,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
64,6,7.2950102130143e-05,120901,0.0466705981313476,12,0.00113255875756286,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
65,4,6.17741536940944e-05,13169,0.0386827766462551,14,0.000852962741377831,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
66,4,6.3187160369013e-05,21913,0.0467898513630174,14,0.000811975006208903,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
67,2,6.56340246783933e-05,75740,0.0222934027689791,13,0.000387291432820725,2200,2199,1.99909090909091,33,9.30113191946753,0,21,0.000909090909090909,-0.0474945736822004,9.30113191946753,0,0
