node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,68,0.0001941370607649,1719.26068207714,0.78357924527776,3,0.00046221887819308,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
2,60,0.000189897455374098,1430.03177064574,0.670743094445925,3,0.000416915750127652,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
3,55,0.000186811133943583,1195.23911330022,0.608241464803079,3,0.000388015198907341,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
4,55,0.00018772292096865,1154.92633489348,0.631139953446188,3,0.000386049477581484,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
5,74,0.000195541650371529,2139.58933932774,0.838862605357973,3,0.000498635822337255,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
6,62,0.000191424196018377,1416.36045337444,0.731370114363419,3,0.000426019463742565,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
7,57,0.000187934598759632,1295.34724014125,0.640970970230353,3,0.000399084633410469,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
8,55,0.000188217579521927,1184.56237055775,0.62562173838518,3,0.000386561441026554,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
9,54,0.00018875047187618,1090.503656135,0.634790983223146,3,0.000379251813320985,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
10,57,0.000187863986473793,1282.53005235889,0.636135284437999,3,0.00039933280313203,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
11,55,0.000187899285982713,1188.32755481586,0.618660233519653,3,0.000386800190601046,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
12,56,0.000187406296851574,1248.98541148288,0.61928711765867,3,0.000393895104473716,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
13,65,0.000192455735180908,1703.76398637426,0.728543399306764,3,0.000446552914932678,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
14,61,0.000191314329443275,1466.2075381739,0.685999789155245,3,0.000422592432180373,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
15,62,0.000190912562046583,1473.81534309506,0.705325574789534,3,0.00042774767735748,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
16,61,0.000192418703097941,1454.97076620552,0.700189137737461,3,0.000421698543973523,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
17,65,0.000192566917003659,1610.43671148613,0.747501403350232,3,0.000444788497982634,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
18,63,0.000191975427145325,1530.30273995171,0.720019598119863,3,0.000433261921712016,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
19,67,0.000193723363037582,1771.07027435723,0.753172943239326,3,0.000457941719796872,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
20,57,0.00018964536317087,1260.73464917589,0.651078276358697,3,0.000398314973549483,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
21,65,0.000193162062970833,1608.97021735026,0.749334473197464,3,0.00044456572164889,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
22,51,0.000186011904761905,983.475222794551,0.589569597004643,3,0.000362381357615892,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
23,50,0.00018491124260355,964.201715145942,0.575860677331798,3,0.000356746912793848,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
24,66,0.000192344681669552,1695.73155200911,0.7401375213426,3,0.000452119735146733,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
25,65,0.00019146084625694,1641.05835265719,0.733258457121183,3,0.000445992626981606,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
26,53,0.000186115764005211,1096.25233974169,0.605108982968089,3,0.000375122335662149,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
27,58,0.000189465706707086,1308.68427976884,0.656917630306639,3,0.000404237251396023,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
28,63,0.000193386192225875,1535.16416439892,0.719171677128231,3,0.000433301217564915,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
29,57,0.000187687687687688,1300.45527843695,0.63480890998507,3,0.000399489032745291,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
30,43,0.000179823772702751,750.478367649507,0.474434008143487,3,0.000317208704386909,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
31,63,0.00019146084625694,1605.30922114707,0.699681683327486,3,0.000435130192408178,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
32,65,0.000193648334624322,1622.83265529953,0.755457172777463,3,0.000444474042156551,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
33,56,0.000188217579521927,1189.36200138174,0.641269386126515,3,0.000391971028885825,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
34,68,0.000194969779684149,1726.20463290428,0.806450653866203,3,0.00046098699805824,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
35,77,0.000198137507430157,2348.7202781481,0.871590140232399,3,0.000516519476934175,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
36,51,0.000184604024367731,1006.09566725983,0.576539393887361,3,0.000363569763733114,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
37,75,0.00019712201852947,2282.35598839501,0.841103078903591,3,0.000505888443904636,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
38,42,0.000181290790427846,625.090664719811,0.503872198405925,3,0.000308020626208134,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
39,63,0.000189681335356601,1525.64250109779,0.707340033641594,3,0.000434040509529227,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
40,69,0.000193948797517455,1887.86249395019,0.775171264632416,3,0.00046981882670142,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
41,45,0.000182481751824818,785.800172916021,0.516665261681387,3,0.000327129645868891,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
42,53,0.00018698578908003,1104.52639348336,0.596413700782405,3,0.000375076119151061,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
43,60,0.000190548780487805,1364.95017941441,0.696790872047745,3,0.000415009635805668,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
44,55,0.000187195806813927,1170.65109409328,0.623370592561417,3,0.000386504597406091,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
45,59,0.000190258751902588,1397.94779794752,0.669973722442404,3,0.000410567784680776,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
46,73,0.000197355437142293,2117.12005957243,0.827613072821616,3,0.000492929076591466,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
47,52,0.000187160771102377,999.674479782013,0.612059102676364,3,0.000367285173023622,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
48,64,0.000192975685063682,1587.27704334783,0.737003447853935,3,0.000438777096461388,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
49,53,0.000185391175380052,1088.91342118531,0.597038509484327,3,0.000375111037268998,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
50,65,0.000192529842125529,1696.64842223352,0.722993284819586,3,0.000446847528775926,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
51,54,0.000187265917602996,1124.58390251705,0.612989639054738,3,0.000380701419867072,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
52,53,0.000186081131373279,1058.48249468598,0.611520818284277,3,0.000374046678541056,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
53,50,0.000185839063371121,947.102930861865,0.575998975731484,3,0.000356460615477431,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
54,66,0.000192529842125529,1719.57771750137,0.737945794673281,3,0.000452217029110179,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
55,54,0.000187300992695261,1157.56653586583,0.609191114523482,3,0.000381009402990634,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
56,67,0.000193498452012384,1721.15544787467,0.773783922746353,3,0.000456542505966612,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
57,60,0.000190730497806599,1382.29666345762,0.689670826171166,3,0.000415562825337916,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
58,52,0.000186219739292365,1053.15517396118,0.5919807715293,3,0.000368660104617252,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
59,69,0.000195236235845373,1810.39773119469,0.795487304975068,3,0.000468050214355816,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
60,62,0.000190839694656489,1520.50072315233,0.696763356645405,3,0.000428402009626812,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
61,62,0.000192122958693564,1519.11674234738,0.708546986555046,3,0.000427676454639884,2400,72133,60.1108333333333,87,2.19171634014173,0.0252258290237835,3,0.0250566208142281,-0.00687938360201958,2.19171634014173,109377,3
