node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,31,7.7778641984911e-05,1940823,0.859219906874056,10,0.00491297379112553,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
2,37,7.15154115711936e-05,1429698,1,11,0.00590428037872623,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
3,25,6.6185717122245e-05,298423,0.301943325047753,11,0.00418255950042747,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
4,4,6.07348921955664e-05,19941,0.161407778978125,12,0.00071806151163256,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
5,17,6.1648480364959e-05,314533,0.244501734637742,12,0.00280931658061334,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
6,28,7.91828331617705e-05,2277884,0.581628686329698,11,0.00431182991609654,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
7,34,7.08566569829235e-05,1120409,0.437086990990021,12,0.00538476505840017,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
8,2,6.02083207899332e-05,2498,0.0672094076928647,13,0.000384530922051125,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
9,12,6.53637492646578e-05,69513,0.172701607405792,11,0.00207161349486166,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
10,9,6.07865783235062e-05,195921,0.0813991212260006,13,0.00146156493495239,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
11,13,5.3714347102111e-05,125842,0.0508776128275755,13,0.00221678750273251,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
12,8,6.64231152441049e-05,89043,0.104255523574316,12,0.00136778448542095,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
13,11,6.89512514652141e-05,693826,0.116040235353781,12,0.00179272801008775,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
14,9,6.27077193202483e-05,606484,0.186160014702084,12,0.00144336279963149,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
15,5,5.28960592435864e-05,54649,0.0135518730976021,14,0.000854573396586026,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
16,8,6.07496506895085e-05,24932,0.178853116682209,12,0.00145595066828933,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
17,1,6.61069610629999e-05,0,0.0874149330793117,12,0.000190894836738756,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
18,7,5.55524693072607e-05,512128,0.0336318122338679,13,0.00112284928985572,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
19,23,4.96943795656711e-05,450431,0.0106048807621387,14,0.00369367575354251,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
20,4,5.68149536958127e-05,7491,0.0486787601971596,12,0.000775349572746947,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
21,3,6.02155717468537e-05,4995,0.0687993686181368,13,0.000572255549440918,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
22,10,6.57851457140978e-05,188724,0.164460712322335,11,0.00162631287199482,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
23,18,6.07570326265265e-05,627628,0.0292887831670691,13,0.00292014102538068,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
24,24,6.70735797169495e-05,265622,0.187194575406343,12,0.00400280275298941,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
25,10,4.42693346319005e-05,39820,0.00200951028289559,15,0.00182047981978985,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
26,10,6.09867658718058e-05,103694,0.189451945890091,12,0.00173545258693425,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
27,11,6.72992798977051e-05,323043,0.11422919874425,12,0.0017514455392733,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
28,6,5.28234113359041e-05,22439,0.013816327535364,14,0.00108968350091215,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
29,5,6.11658205394825e-05,161446,0.16683676395768,12,0.000826915704978882,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
30,16,6.12407373384775e-05,339606,0.103925975236904,13,0.00262571178015576,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
31,7,5.31095650326624e-05,22442,0.0290410259557383,13,0.001283967916913,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
32,6,6.10016470444702e-05,108522,0.171967677538077,12,0.00101260552781072,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
33,8,6.52784124290097e-05,44763,0.15400230023908,11,0.0014189570870152,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
34,5,6.08161527701758e-05,47241,0.166129827004613,12,0.00085122722856622,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
35,1,5.29240539825351e-05,0,0.0284733706589224,13,0.000207513469889478,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
36,6,5.33361779294896e-05,120704,0.0284819577091373,13,0.00101627616138546,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
37,4,5.42858693881983e-05,29873,0.0301031044811031,13,0.000707080358221486,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
38,2,4.42106193907777e-05,2498,0.00163067711775723,15,0.000387484005140013,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
39,15,5.34902380315592e-05,162303,0.0232114343999985,14,0.00251220764128365,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
40,7,6.61944793804197e-05,24929,0.101370160127855,12,0.00125882882257676,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
41,12,5.35762121618002e-05,350450,0.00601274791399315,14,0.00192328837867697,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
42,13,5.69768104381517e-05,69532,0.0627157428594782,12,0.0022634841635139,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
43,9,4.7616780153326e-05,198562,0.00112859163521134,15,0.00142768027998563,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
44,3,6.02809090361083e-05,27378,0.0689667844366342,13,0.000531111200129813,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
45,3,6.0690659707471e-05,4995,0.157404292592427,12,0.000574222907200391,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
46,13,5.70613409415121e-05,101387,0.0626326845010142,12,0.00224971605804124,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
47,8,4.26348326582818e-05,54632,0.000202145691729931,16,0.00140338407717533,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
48,3,5.28178312998468e-05,9983,0.0261788496321083,13,0.000569696215825455,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
49,4,3.85698306784433e-05,32370,3.27246168842333e-05,17,0.000712663804034907,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
50,9,5.291285253188e-05,62102,0.0150335231386403,14,0.0015493921812942,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
51,5,4.42340867872783e-05,17461,0.00175522400113072,15,0.00091276823907011,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
52,6,4.72388870518211e-05,29893,0.00394474904656082,15,0.0010776930694246,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
53,10,6.57851457140978e-05,187457,0.162765399386055,11,0.00172811421686059,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
54,2,6.51338500618771e-05,2498,0.132119377170487,11,0.000384674084841235,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
55,3,5.29576868082402e-05,9983,0.0270987820370584,13,0.000567617446957812,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
56,2,4.67573759760602e-05,12470,0.00231295055613684,15,0.000373628425346989,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
57,3,6.02373351002952e-05,12476,0.0689141797845836,13,0.000543748376312468,2500,2499,1.9992,37,9.27005394157663,0,20,8e-04,-0.0635677587146468,9.27005394157663,0,0
