node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,7,0.0208333333333333,24.0583333333333,0.587513859314209,3,0.0735284968700825,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
2,3,0.0204081632653061,15,0.329153704916741,3,0.0337500519232287,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
3,13,0.027027027027027,127.425,1,3,0.130450496548547,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
4,5,0.0227272727272727,30.5166666666667,0.576739175729652,3,0.0509264749054172,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
5,7,0.0204081632653061,34.6916666666667,0.465775887501774,3,0.072568851642843,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
6,2,0.0175438596491228,0,0.316923801099608,4,0.0234579158777832,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
7,2,0.0175438596491228,0,0.316923801099609,4,0.0234579158777832,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
8,2,0.0175438596491228,0,0.316923801099609,4,0.0234579158777832,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
9,8,0.0217391304347826,49.7416666666667,0.603248197499171,3,0.0812479396561877,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
10,7,0.0222222222222222,41.2833333333333,0.590251618108171,3,0.072449453797201,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
11,2,0.0188679245283019,0,0.31747035439008,3,0.0233268892189333,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
12,2,0.0161290322580645,0,0.232426000656934,4,0.0235859610681452,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
13,2,0.0172413793103448,0,0.238264690386615,4,0.0234300272638444,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
14,5,0.0217391304347826,34.4,0.453647531032992,3,0.0523481948025436,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
15,3,0.0169491525423729,4.825,0.26937562098473,4,0.033415788833647,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
16,3,0.0172413793103448,4.85,0.216208188624999,3,0.0340274494098355,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
17,2,0.0158730158730159,0,0.213414940913894,4,0.0234445255736723,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
18,3,0.0175438596491228,3.98333333333333,0.305439493746766,4,0.0343029248535534,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
19,2,0.015625,0.75,0.182999201610933,4,0.0244909750458058,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
20,2,0.0188679245283019,0,0.31747035439008,3,0.0233268892189333,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
21,2,0.0149253731343284,1.08333333333333,0.163592419179263,4,0.02427370425459,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
22,2,0.0172413793103448,0,0.260611801299485,4,0.024248617585399,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
23,2,0.0166666666666667,0.7,0.183549367403892,3,0.0237111251016348,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
24,2,0.0175438596491228,1.56666666666667,0.210820364924701,3,0.0236093656605768,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
25,2,0.0192307692307692,3.125,0.320064930379273,3,0.0231620491320288,25,46,3.68,13,2.26,0.153488372093023,4,0.153333333333333,-0.44116107874263,2.26,33,3
