node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,7,0.000815660685154975,26532,0.330761258993674,9,0.00955927457888755,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
2,8,0.00076219512195122,22839,0.115766442277287,10,0.0111781228332577,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
3,9,0.000686813186813187,18840,0.046099091132653,11,0.0125498000173144,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
4,19,0.000823723228995058,30772,1,8,0.0258700263302713,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
5,9,0.000673854447439353,5738,0.116552206241836,10,0.0132113609064588,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
6,8,0.000739644970414201,19058,0.373119663209441,9,0.0113399557720772,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
7,6,0.000580046403712297,4344,0.0131233521240738,12,0.00874721110763682,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
8,13,0.000647668393782383,14107,0.196033355204063,10,0.0184880160771927,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
9,2,0.000662251655629139,298,0.224837901094275,9,0.00326002862340085,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
10,4,0.000667556742323097,2058,0.25163742196892,9,0.00607701474210917,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
11,4,0.000497017892644135,1477,0.00327445856744049,13,0.0063377154897471,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
12,4,0.000672043010752688,3485,0.253381844373261,9,0.00587186583170735,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
13,6,0.000664010624169987,2639,0.0933040098152107,10,0.00913690981803492,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
14,5,0.000669344042838019,2638,0.266728275601004,9,0.0075152977073214,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
15,3,0.000664010624169987,890,0.236809093765846,9,0.00472761823742129,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
16,2,0.000624219725343321,1180,0.0261599375754181,11,0.00310847563669965,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
17,2,0.000657894736842105,594,0.07454103301967,10,0.0031736780016937,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
18,3,0.000562429696287964,1183,0.0601654424281513,10,0.00481675019081792,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
19,3,0.000663129973474801,595,0.236230421511514,9,0.00483731823124934,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
20,2,0.000662251655629139,298,0.224837901094275,9,0.00326002862340085,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
21,8,0.000635324015247776,5155,0.0373746743857382,11,0.0119801964010429,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
22,10,0.000620347394540943,5469,0.139484979140177,10,0.0148245506786942,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
23,3,0.000556173526140156,6199,0.0471982772477393,11,0.00434417737397066,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
24,6,0.000546448087431694,1772,0.0547681732182822,11,0.00948960426503566,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
25,5,0.00066577896138482,1479,0.263586328150402,9,0.00782508494512593,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
26,12,0.000600961538461538,12186,0.0234756572146042,12,0.0172584894228324,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
27,2,0.000561797752808989,298,0.0262053534193215,11,0.00340154934037784,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
28,1,0.000661375661375661,0,0.214493664171661,9,0.00165734328319701,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
29,1,0.000561167227833895,0,0.0249997097841025,11,0.00174773964116614,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
30,6,0.000479846449136276,1772,0.0131863448504356,12,0.00954152551107947,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
31,3,0.000545851528384279,1474,0.0465544578344601,11,0.0046867321407397,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
32,1,0.000542888165038002,0,0.0420479126575842,11,0.00170883182043207,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
33,1,0.000570125427594071,0,0.00988796297202606,12,0.0016852588905246,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
34,2,0.000525762355415352,1180,0.0315196552233639,11,0.00320025367810953,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
35,11,0.000518134715025907,4639,0.00948997513879662,13,0.016627011080702,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
36,8,0.000516528925619835,3786,0.00753110754109238,13,0.0120788896508412,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
37,2,0.000483558994197292,3990,0.0108253881303257,12,0.00302030456345646,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
38,2,0.000449640287769784,594,0.00213868018379517,14,0.00334663084779751,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
39,3,0.000664010624169987,890,0.236809093765846,9,0.00472761823742129,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
40,3,0.000669344042838019,2618,0.238278443520317,9,0.00449248587860366,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
41,1,0.000469924812030075,0,0.0117474261535776,12,0.00184436060421325,300,299,1.99333333333333,19,6.89953177257525,0,16,0.00666666666666667,-0.173874626451029,6.89953177257525,0,0
