node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.000628535512256443,0,0.177413741607516,11,0.00170634487471102,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
2,30,0.000773395204949729,23472,1,10,0.0425768779308871,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
3,11,0.000843881856540084,26437,0.280992497907742,9,0.015334746926194,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
4,18,0.000864304235090752,31071,0.11618062963574,8,0.0251629537704516,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
5,8,0.000733675715333822,12177,0.026853546669448,9,0.0114227189474901,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
6,1,0.000674308833445718,0,0.0498519304174547,10,0.00168495771702477,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
7,6,0.000624609618988132,8371,0.00576045789737573,10,0.00854748786602178,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
8,8,0.000643086816720257,5145,0.228959708847286,11,0.0121255178952115,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
9,7,0.000771010023130301,19118,0.0260083218625106,9,0.0096871391367192,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
10,9,0.000644745325596389,6286,0.00624970077352196,10,0.0130732903264758,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
11,4,0.000665335994677312,12033,0.00524458426316693,10,0.00567453465009792,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
12,5,0.000546149645002731,3209,0.0468174158056856,12,0.00763916477077852,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
13,4,0.000690131124913734,4825,0.0551222806864397,10,0.0060185052847571,300,299,1.99333333333333,30,6.73509476031215,0,16,0.00666666666666667,-0.155301941905982,6.73509476031215,0,0
