node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,7,0.0144927536231884,62.5761904761905,0.352151670479183,3,0.0516954950683934,35,66,3.77142857142857,18,2.41344537815126,0.173553719008264,4,0.110924369747899,-0.265850340136054,2.41344537815126,63,3
2,11,0.0161290322580645,121.519047619048,0.635981891349868,3,0.0770722143029267,35,66,3.77142857142857,18,2.41344537815126,0.173553719008264,4,0.110924369747899,-0.265850340136054,2.41344537815126,63,3
3,18,0.02,316.333333333333,1,2,0.121515394082921,35,66,3.77142857142857,18,2.41344537815126,0.173553719008264,4,0.110924369747899,-0.265850340136054,2.41344537815126,63,3
4,7,0.0140845070422535,28.8571428571429,0.498584683950247,3,0.0494559748301029,35,66,3.77142857142857,18,2.41344537815126,0.173553719008264,4,0.110924369747899,-0.265850340136054,2.41344537815126,63,3
5,3,0.0128205128205128,1.78571428571429,0.31733005920328,3,0.0222749801287463,35,66,3.77142857142857,18,2.41344537815126,0.173553719008264,4,0.110924369747899,-0.265850340136054,2.41344537815126,63,3
6,2,0.0116279069767442,2.24404761904762,0.170589653135145,4,0.0165186045972973,35,66,3.77142857142857,18,2.41344537815126,0.173553719008264,4,0.110924369747899,-0.265850340136054,2.41344537815126,63,3
7,8,0.015625,88.3119047619047,0.465125018454602,3,0.0575060192063434,35,66,3.77142857142857,18,2.41344537815126,0.173553719008264,4,0.110924369747899,-0.265850340136054,2.41344537815126,63,3
8,2,0.0125,0,0.258713043766587,3,0.0160293096007457,35,66,3.77142857142857,18,2.41344537815126,0.173553719008264,4,0.110924369747899,-0.265850340136054,2.41344537815126,63,3
9,2,0.0112359550561798,1.29166666666667,0.141093220862357,4,0.0166730389418361,35,66,3.77142857142857,18,2.41344537815126,0.173553719008264,4,0.110924369747899,-0.265850340136054,2.41344537815126,63,3
10,5,0.0142857142857143,57.6690476190476,0.297046479768006,3,0.0371468322748062,35,66,3.77142857142857,18,2.41344537815126,0.173553719008264,4,0.110924369747899,-0.265850340136054,2.41344537815126,63,3
