node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,7,0.000582750582750583,45941,0.293814825071346,10,0.00716291475822713,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
2,9,0.000547045951859956,41109,0.0961897566015416,11,0.00942359288674323,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
3,10,0.000494559841740851,33351,0.0341098253046035,12,0.0103661781752861,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
4,22,0.000592417061611374,55953,1,10,0.0223987416804943,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
5,12,0.000484496124031008,9613,0.110282496602019,11,0.0131953656152707,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
6,8,0.000533617929562433,33911,0.324158077203602,11,0.00841380183432673,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
7,6,0.000420521446593776,8076,0.00876155486225843,13,0.00648680191678347,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
8,14,0.000468164794007491,24153,0.147395383067525,12,0.0148728318227882,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
9,5,0.000481695568400771,1979,0.240390601843392,11,0.00586307572895201,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
10,5,0.000486854917234664,6199,0.243793414538779,11,0.00546697938077637,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
11,5,0.000363108206245461,4295,0.00211130730783446,14,0.00571340804421932,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
12,5,0.00048780487804878,6961,0.245344767782863,11,0.00540615439577044,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
13,6,0.000477099236641221,3539,0.0747423475909315,11,0.00685102338065137,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
14,6,0.000484966052376334,4698,0.256139720021321,11,0.00668856527815477,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
15,3,0.000480769230769231,1190,0.219197876780962,11,0.00354115476177867,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
16,2,0.0004516711833785,2358,0.0203259425001442,12,0.00230447161158745,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
17,2,0.0004739336492891,794,0.0616845452324524,11,0.00237915105252003,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
18,3,0.000410509031198686,2366,0.0539932942647592,12,0.00347238482151348,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
19,3,0.00048030739673391,795,0.218791430421723,11,0.00362296963710393,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
20,2,0.000479846449136276,398,0.209570729957145,11,0.00244094861614921,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
21,11,0.000460405156537753,10298,0.0333606768030518,12,0.0121907088782335,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
22,12,0.00045045045045045,9978,0.122107874910167,12,0.0132244182477167,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
23,3,0.000405186385737439,12294,0.0328285722347531,13,0.00322292349111948,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
24,6,0.000396510705789056,2372,0.0372323330967794,13,0.00710864217611908,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
25,5,0.000481695568400771,1979,0.240390601843391,11,0.00586307572895201,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
26,12,0.000434782608695652,21693,0.0141345570676476,13,0.0127396593150284,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
27,3,0.000407166123778502,1190,0.0241736891012661,12,0.00366253584523274,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
28,1,0.000479386385426654,0,0.201095790840675,11,0.00124040592856507,400,399,1.995,22,7.26488721804511,0,19,0.005,-0.193810430148458,7.26488721804511,0,0
