node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,43,0.0010515247108307,14751.3694013774,0.426461168297684,4,0.0235377092121446,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
2,37,0.000982318271119843,10074.7735010392,0.292124907843446,4,0.0206415095672465,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
3,75,0.00121951219512195,34285.7446627521,1,4,0.040840844715871,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
4,23,0.0010351966873706,7203.30591134986,0.330229176960164,4,0.0125640549635945,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
5,44,0.00105263157894737,14307.7446882675,0.457836713237296,4,0.0240632095772966,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
6,12,0.000856898029134533,2145.64885297538,0.115667970787521,5,0.00669172662985863,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
7,17,0.000916590284142988,3916.41133024338,0.197386432227674,4,0.00953474659450686,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
8,19,0.000956937799043062,4817.23439870362,0.235886188457006,4,0.0105766669206641,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
9,5,0.000818330605564648,958.150365804325,0.0779760912740424,5,0.00298688711648807,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
10,10,0.000922509225092251,1778.02932768077,0.196174513210691,4,0.00560559957872892,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
11,18,0.000910746812386157,4060.31485795613,0.16121433374092,5,0.0101088147396835,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
12,23,0.000869565217391304,5015.93472250302,0.129454596264519,5,0.0131510979313585,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
13,10,0.000841042893187553,2351.80672909147,0.0944406166193614,5,0.00551992860152368,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
14,3,0.000818330605564648,247.116578747901,0.0750666223931935,5,0.00190023673253982,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
15,6,0.000786782061369001,534.494591859514,0.0692781450419013,5,0.00358039954974897,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
16,7,0.000907441016333938,1110.33061958926,0.178827713206659,4,0.00401228813963514,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
17,7,0.000801282051282051,1003.60791621022,0.0771247540276216,5,0.00414252919053738,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
18,8,0.000848176420695505,1049.82253570186,0.139608220830061,5,0.0047305779000776,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
19,9,0.000857632933104631,1695.42156241663,0.13242894392226,5,0.00524806274411008,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
20,9,0.000870322019147085,1204.66042110539,0.15337071541689,4,0.0050267716822183,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
21,3,0.000801282051282051,237.803344278548,0.0753735711184211,5,0.00188822462843033,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
22,9,0.000899280575539568,1566.01214984706,0.164698765669285,4,0.00531184216953845,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
23,10,0.00088261253309797,1796.23979714206,0.151679981011279,5,0.00571774094726525,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
24,2,0.000827814569536424,0,0.111026680525801,5,0.0013404868086632,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
25,6,0.00078064012490242,525.613530527442,0.0432437181955954,5,0.0036243169265211,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
26,15,0.000769230769230769,2243.09007394656,0.0544745379895522,5,0.0088255270475109,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
27,9,0.000846023688663283,1680.53452660245,0.135444338489596,5,0.00541475800155578,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
28,12,0.000771010023130301,1219.95555792874,0.0841686618769632,5,0.00698978408901212,400,796,3.98,75,3.49234335839599,0.0234156570363467,6,0.0099749373433584,-0.137127076515107,3.49234335839599,201,3
