node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,5,0.00961538461538462,430,0.399298251997343,5,0.0572957579498075,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
2,4,0.00819672131147541,307,0.141531744883724,6,0.0469450413671193,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
3,4,0.00684931506849315,238,0.0499112356577494,7,0.047627606220142,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
4,13,0.0102040816326531,559,1,6,0.14954020078595,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
5,3,0.0072463768115942,75,0.125806288351586,6,0.038325296819551,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
6,3,0.00847457627118644,284,0.329378715145521,7,0.0350945916994916,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
7,2,0.00549450549450549,38,0.0144953218360682,8,0.0267058572552332,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
8,5,0.00694444444444444,210,0.127198146313526,8,0.0607941658564508,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
9,1,0.00735294117647059,0,0.269351789391706,7,0.0135276285129275,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
10,1,0.00735294117647059,0,0.269351789391706,7,0.0135276285129275,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
11,1,0.00454545454545455,0,0.00390434087435361,9,0.0150999893334741,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
12,2,0.00746268656716418,38,0.290422019111395,7,0.0261684986503757,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
13,1,0.00704225352112676,0,0.107551698676465,6,0.0134902788514673,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
14,1,0.00735294117647059,0,0.269351789391706,7,0.0135276285129275,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
15,1,0.00735294117647059,0,0.269351789391706,7,0.0135276285129275,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
16,1,0.00625,0,0.0381218287401615,7,0.0137258212905129,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
17,1,0.00704225352112676,0,0.107551698676465,6,0.0134902788514673,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
18,1,0.00581395348837209,0,0.0782256905264067,8,0.0148716119264097,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
19,1,0.00735294117647059,0,0.269351789391706,7,0.0135276285129275,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
20,1,0.00735294117647059,0,0.269351789391706,7,0.0135276285129275,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
21,1,0.00625,0,0.0381218287401614,7,0.0137258212905129,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
22,2,0.00649350649350649,38,0.0956588315048796,8,0.0264281293905116,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
23,3,0.00561797752808989,75,0.0400761250340088,9,0.0394726846217298,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
24,1,0.00549450549450549,0,0.0342610483168563,9,0.0140850081955966,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
25,1,0.00735294117647059,0,0.269351789391706,7,0.0135276285129275,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
26,3,0.00561797752808989,110,0.0158305486582115,8,0.0379819737269715,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
27,1,0.00568181818181818,0,0.0338861488842287,7,0.0146088340988728,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
28,1,0.00735294117647059,0,0.269351789391706,7,0.0135276285129275,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
29,1,0.00568181818181818,0,0.0338861488842287,7,0.0146088340988728,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
30,1,0.00462962962962963,0,0.010794575989796,10,0.0149339273094901,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
31,1,0.00549450549450549,0,0.0342610483168562,9,0.0140850081955966,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
32,1,0.00549450549450549,0,0.0342610483168563,9,0.0140850081955966,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
33,1,0.00543478260869565,0,0.0134436806351659,8,0.0138708663217802,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
34,1,0.00520833333333333,0,0.025765877436959,9,0.0149819549909674,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
35,2,0.00467289719626168,38,0.00459753990495896,9,0.0277088989786958,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
36,1,0.00462962962962963,0,0.00426398660814172,9,0.0145115592226419,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
37,1,0.00462962962962963,0,0.010794575989796,10,0.0149339273094901,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
38,1,0.00396825396825397,0,0.00123835560020043,10,0.0155262820659457,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
39,1,0.00735294117647059,0,0.269351789391706,7,0.0135276285129275,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
40,1,0.00735294117647059,0,0.269351789391706,7,0.0135276285129275,40,39,1.95,13,4.12820512820513,0,10,0.05,-0.393918609967993,4.12820512820513,0,0
