node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,13,0.012987012987013,145.637698412698,0.606744621723766,3,0.0779099260746267,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
2,4,0.0106382978723404,20.2694444444444,0.244288066361224,3,0.0252143169430172,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
3,7,0.0131578947368421,94.7019841269841,0.432674632744466,3,0.04299405237352,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
4,8,0.0133333333333333,99.1849206349206,0.552812157936658,3,0.0475547857110485,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
5,19,0.0161290322580645,364.747222222222,1,3,0.112682681279345,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
6,5,0.0119047619047619,50.8448412698413,0.354497022689085,4,0.0320092520754048,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
7,4,0.0105263157894737,17.7896825396825,0.214359310360616,4,0.0260819457283548,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
8,3,0.0099009900990099,17.3388888888889,0.183490070439303,4,0.0201718451350525,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
9,6,0.0121951219512195,24.1162698412698,0.477157634659827,3,0.0364091721419873,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
10,6,0.0103092783505155,61.381746031746,0.210780843968066,4,0.0398717727127141,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
11,3,0.0103092783505155,0.833333333333333,0.29703939619428,4,0.0198821035922792,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
12,3,0.0105263157894737,21.6666666666667,0.238078734608864,4,0.0209402478297855,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
13,3,0.01,2.65833333333333,0.200211755125441,4,0.0199132624432859,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
14,3,0.0105263157894737,21.75,0.270235449132448,4,0.0203998821668418,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
15,4,0.0111111111111111,43.4476190476191,0.244576159790699,4,0.0271318593842313,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
16,4,0.0102040816326531,28.1623015873016,0.194869256518505,4,0.026482724891453,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
17,4,0.010752688172043,31.4888888888889,0.299292703839548,4,0.0265469124743463,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
18,2,0.00862068965517241,3.58333333333333,0.0777321310259742,4,0.0153315713527404,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
19,2,0.00917431192660551,1.50952380952381,0.136319983309895,4,0.0144122792124605,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
20,2,0.0102040816326531,0,0.200808501880221,4,0.0138968065328322,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
21,3,0.010989010989011,16.756746031746,0.244238848692044,3,0.0206402841925063,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
22,3,0.0113636363636364,7.47222222222222,0.317771427352788,4,0.0200337828319373,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
23,2,0.00862068965517241,2.95,0.0833009326423658,4,0.0151784677482397,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
24,2,0.0103092783505155,0,0.228207631388924,4,0.0144673057894406,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
25,5,0.0106382978723404,37.8666666666667,0.335938743340779,4,0.0324174155328264,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
26,2,0.0099009900990099,0,0.180003452160701,4,0.014064816910675,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
27,2,0.0112359550561798,2.22222222222222,0.278251126682162,4,0.013885177871425,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
28,2,0.0103092783505155,0,0.23135379168976,4,0.0143020279609722,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
29,2,0.0112359550561798,2.22222222222222,0.278251126682162,4,0.013885177871425,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
30,2,0.0108695652173913,10.8166666666667,0.209679328901599,4,0.0144395684546929,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
31,2,0.00980392156862745,5.87777777777778,0.156904777053878,4,0.0144853294518319,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
32,2,0.00862068965517241,1.9,0.103745664205949,5,0.014957092971968,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
33,2,0.00813008130081301,1.5,0.0941855488584797,5,0.0151567390199477,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
34,3,0.00925925925925926,13.2527777777778,0.147607801171071,4,0.0209389770980224,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
35,2,0.00813008130081301,0,0.083739113854535,5,0.0151936708183535,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
36,2,0.00900900900900901,0,0.142196271353016,4,0.0143865240183087,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
37,2,0.010989010989011,0,0.26891126731023,3,0.0138437633021906,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
38,3,0.00854700854700855,12.1,0.074065734167521,5,0.0217003863303951,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
39,2,0.0078125,5.95,0.049328860496047,5,0.0155469439279131,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
40,2,0.0103092783505155,0,0.215473483980828,4,0.0146391478416018,40,76,3.8,19,2.5025641025641,0.120567375886525,5,0.0974358974358974,-0.299253321803336,2.5025641025641,51,3
