node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,6,0.00847457627118644,376,0.461958796235734,5,0.0611790334103965,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
2,11,0.0105263157894737,818,1,4,0.106382209216318,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
3,3,0.00636942675159236,85,0.150480394260188,6,0.0340843017359604,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
4,3,0.00757575757575758,125,0.328179490659184,5,0.0324021019517729,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
5,2,0.00735294117647059,43,0.298866173722845,5,0.0225238514381361,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
6,5,0.00819672131147541,306,0.406057088637127,5,0.0518738872269431,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
7,3,0.00757575757575758,125,0.328179490659184,5,0.0324021019517729,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
8,1,0.0062111801242236,0,0.127540179403364,6,0.0120003630664728,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
9,1,0.00571428571428571,0,0.0906056372478254,6,0.0125139288863356,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
10,4,0.00793650793650794,237,0.368737114659575,5,0.0420400573916648,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
11,4,0.00613496932515337,126,0.1319837009534,6,0.045330085738744,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
12,3,0.00746268656716418,85,0.325744190794453,5,0.0332227204619475,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
13,2,0.00645161290322581,123,0.14014376906523,6,0.0220402635127667,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
14,1,0.005,0,0.0415454725335282,7,0.0129905521585221,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
15,3,0.00636942675159236,163,0.134445527512414,6,0.0329392247339546,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
16,3,0.00515463917525773,85,0.0456510186490378,7,0.0354349427516254,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
17,1,0.0072463768115942,0,0.276085617251201,5,0.0115537767727761,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
18,1,0.00421940928270042,0,0.0126035896618657,8,0.0133732337796272,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
19,1,0.0072463768115942,0,0.276085617251201,5,0.0115537767727761,45,44,1.95555555555556,11,3.8969696969697,0,8,0.0444444444444444,-0.181500599614161,3.8969696969697,0,0
