node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,19,0.000554016620498615,595.054717230619,0.595438994970493,3,0.00152591916599717,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
2,22,0.00056980056980057,796.164925230129,0.758373052353085,3,0.00172050016860951,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
3,19,0.000553709856035437,628.918775021038,0.59101579100636,3,0.00153452418690023,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
4,13,0.000533049040511727,303.591934621819,0.430240600552873,4,0.0011160293859781,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
5,19,0.000552791597567717,630.151959961366,0.584579469648465,4,0.00153534630902226,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
6,13,0.000527426160337553,307.246506989187,0.378812688568965,4,0.00112709001258263,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
7,16,0.000544662309368192,449.805274127572,0.49750106816577,4,0.00132340118083471,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
8,14,0.000538793103448276,317.144587908201,0.489932415901586,4,0.00117068967800271,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
9,14,0.000541418516513265,313.281720474712,0.484365652079718,3,0.00117013316822922,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
10,12,0.000527704485488127,265.986574380271,0.38112694458149,4,0.00105002006083404,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
11,13,0.000533617929562433,286.072327285227,0.417238380045279,4,0.00110947348413526,700,6135,17.5285714285714,31,2.60624156958921,0.0241763584009573,4,0.0250766400980993,0.0205036985647114,2.60624156958921,2586,3
