node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,18,0.000331895121141719,152013,0.846860074010745,10,0.0103985968653856,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
2,25,0.000300390507659958,111442,0.900268265588666,11,0.0147460193952578,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
3,17,0.000274649821477616,23752,0.325291632390935,11,0.0107641733770598,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
4,1,0.000248323814253787,0,0.161843966033731,12,0.000715650373724765,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
5,11,0.000252206809583859,21051,0.244253703368734,12,0.00688609026073586,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
6,23,0.000338868180277872,178489,1,9,0.0130579875172684,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
7,21,0.000295072292711714,81223,0.582793319834336,10,0.0121329853597881,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
8,1,0.000244678248103744,0,0.10477052881374,11,0.000705382740753574,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
9,10,0.000270929287455974,6934,0.215015078960867,11,0.00663915794865071,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
10,5,0.000247341083353945,15071,0.1221810227706,11,0.00299690514150907,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
11,8,0.000215749730312837,9668,0.0570756453382738,13,0.00517509653546735,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
12,4,0.000275558004960044,6919,0.200099754068396,10,0.00251321510158671,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
13,7,0.000288933834151979,57665,0.227684640217842,10,0.00424261631807207,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
14,8,0.000257931390250193,47832,0.213419475417517,12,0.00489085819426532,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
15,3,0.000211461196870374,4167,0.0235953725012515,12,0.00196492321904623,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
16,3,0.000248818113958696,2784,0.173428172179055,12,0.00199560870014095,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
17,1,0.000274047684297068,0,0.179773043458223,10,0.00069686351383728,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
18,6,0.000224265530387979,37599,0.048472093275821,13,0.00372957543821059,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
19,18,0.000197667523225934,32928,0.0201273971183091,14,0.0110095509747688,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
20,1,0.000230467849734962,0,0.0584786667664119,12,0.000752494383138932,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
21,1,0.000244678248103744,0,0.10477052881374,11,0.000705382740753574,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
22,7,0.00027122321670735,8300,0.19046816198085,11,0.00448718257718545,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
23,10,0.000250563768479078,53749,0.0590252642527932,11,0.00598262605627701,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
24,13,0.000277854959711031,17120,0.296914703302161,10,0.00812541705412417,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
25,5,0.000174003828084218,3479,0.00416072542686763,15,0.0034063025995762,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
26,6,0.000250312891113892,11006,0.194411303998075,12,0.00378819139265283,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
27,8,0.0002808199943836,29537,0.236067190456731,10,0.00466002511215435,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
28,3,0.000211193241816262,2090,0.0235098273772876,12,0.00204972618595125,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
29,4,0.000250563768479078,12327,0.180183962257202,12,0.00247631823953327,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
30,10,0.00024906600249066,24355,0.151915182204822,11,0.00608261376420005,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
31,2,0.000213538330130258,2088,0.0335127169493972,13,0.00136839915207983,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
32,4,0.00024931438544004,5541,0.18018686001707,12,0.00261875025299364,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
33,3,0.000270197243988111,3474,0.163159608533628,11,0.00196490273580679,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
34,4,0.00024906600249066,4167,0.179911564613722,12,0.00265242091950069,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
35,1,0.00021308331557639,0,0.0349499118024157,13,0.000750946161578338,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
36,4,0.000214362272240086,8273,0.0361125624520007,13,0.00258668417419248,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
37,4,0.000219250164437623,4855,0.0426522418654895,13,0.00266100473361067,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
38,1,0.000173701580684384,0,0.00361836343685062,15,0.000734181176983139,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
39,7,0.000213538330130258,10340,0.034119919775901,12,0.00446868776421401,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
40,3,0.000274499039253363,2090,0.19241799458029,10,0.00200259362492704,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
41,7,0.000217722621380361,31945,0.0134870075100447,12,0.00415687478072772,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
42,7,0.000231320842007865,5553,0.0726467192434439,12,0.00472477750439326,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
43,7,0.000190949016612564,18427,0.00306184900280073,13,0.00423600780195861,700,699,1.99714285714286,25,7.60439403229103,0,18,0.00285714285714286,-0.105831993624301,7.60439403229103,0,0
