node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,16,0.00023191094619666,214045,1,12,0.00804963826839847,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
2,10,0.000199203187250996,34631,0.345731215789787,13,0.00527386687659904,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
3,2,0.000195848021934978,1594,0.21563063675595,13,0.00117946118381377,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
4,8,0.000227066303360581,161584,0.475709769416615,12,0.00423736582947014,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
5,14,0.000199044585987261,33321,0.50233083495243,13,0.00738556192483198,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
6,19,0.000221141088014153,193048,0.697088250129718,13,0.0095684518431606,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
7,16,0.00021978021978022,170496,0.835349272745957,13,0.00799249426878617,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
8,8,0.000198886237072395,31398,0.300596069231824,13,0.00433542707877074,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
9,10,0.000198649185538339,103159,0.310581355576174,14,0.00529774386131723,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
10,6,0.000189537528430629,17273,0.188775285179551,14,0.00317623822441109,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
11,6,0.00020259319286872,117488,0.201387554592076,14,0.00323991532503893,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
12,12,0.000180115273775216,98652,0.136326097395257,15,0.00606731642448058,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
13,9,0.000186497575531518,124593,0.112359996646054,15,0.00465477825029314,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
14,4,0.00018796992481203,11033,0.199795249199922,14,0.00217022016619918,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
15,4,0.000188323917137476,3977,0.164991309450842,14,0.00230520974927944,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
16,5,0.000157927984838913,7131,0.0341042113347102,16,0.00284247781444469,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
17,5,0.000173490631505899,24128,0.0785671273795412,14,0.00265178333654544,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
18,5,0.000163934426229508,7137,0.0499570281672694,15,0.00285650219800671,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
19,6,0.000173130193905817,16504,0.0940219405758749,14,0.00324675732382789,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
20,3,0.000187828700225394,9471,0.189885181789834,14,0.00162802376753365,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
21,9,0.000190114068441065,33990,0.272598527005319,14,0.00466916200131799,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
22,11,0.000188536953242836,17282,0.309851070991766,14,0.00611119050013112,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
23,6,0.000164311534669734,6350,0.0814789303339334,15,0.00353587161255436,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
24,20,0.000166112956810631,52673,0.162738551333184,16,0.0108751788270823,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
25,5,0.000158478605388273,15649,0.0340936794839948,16,0.00276953281386455,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
26,4,0.000167168171180207,64814,0.0274552498983865,16,0.00208442902433297,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
27,1,0.000146670577882077,0,0.0335352116610792,17,0.000649695100151134,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
28,11,0.000148323939483833,29517,0.0613225851883578,17,0.00586611163575375,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
29,3,0.000171585449553878,1595,0.0699408247778229,15,0.00184544995796613,800,799,1.9975,20,9.24167709637046,0,23,0.0025,-0.125498294705282,9.24167709637046,0,0
