node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,10,0.000400320256204964,3580.73822453516,0.15897569686292,5,0.00278556323687887,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
2,46,0.000462320850670365,38487.2336241979,0.320555931928814,5,0.0124407036114138,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
3,94,0.000531632110579479,113076.538581173,1,4,0.0248042046618423,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
4,53,0.000474833808167142,46065.2779665136,0.402374661490817,5,0.0142871906490343,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
5,40,0.000459981600735971,34006.1334872751,0.282446060576045,4,0.01069252483567,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
6,9,0.000404040404040404,3491.08562184084,0.14267851667944,5,0.00253469728218024,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
7,25,0.000442869796279894,16675.174197192,0.249157494077264,5,0.00680949239028943,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
8,3,0.000352360817477097,484.59263211974,0.0516309554609604,5,0.000896094195450275,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
9,4,0.000391849529780564,681.787905632378,0.118194997634538,5,0.0012190797728163,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
10,2,0.000347463516330785,109.800889568808,0.0423524430831239,5,0.000654155441867455,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
11,16,0.000420521446593776,9916.35530260444,0.156268562715087,5,0.00438754310550826,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
12,30,0.00044762757385855,22036.1039895666,0.248835005987669,5,0.00821426733854866,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
13,9,0.000407331975560081,5922.75106538826,0.139007297999673,5,0.00258122340276969,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
14,23,0.000418760469011725,10031.1498083522,0.227728921091012,5,0.00618102439815639,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
15,58,0.000440528634361233,42477.2637898166,0.254809098601531,5,0.0156502103784923,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
16,5,0.000378787878787879,1861.37666272627,0.0525074780860824,5,0.00142505972105462,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
17,25,0.000425170068027211,19559.1230479855,0.168695910720793,5,0.00693389258684214,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
18,25,0.00040950040950041,13898.7620413203,0.195349407431938,5,0.00688816221787748,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
19,18,0.000372300819061802,8382.63346833453,0.0675595615059579,5,0.00505846502308023,800,1596,3.99,94,3.93843867334168,0.0173267326732673,7,0.00499374217772215,-0.0971718385652749,3.93843867334168,294,3
