network,heuristic,test,budget,influence,time
author,mst,INFLUENCE_IC,21,125,0.16407299
author,adaptive_degree,INFLUENCE_IC,21,160,0.538305998
author,pagerank,INFLUENCE_IC,21,10,0.059000015
author,coreness,INFLUENCE_IC,21,41,0.041003942
protein,mst,INFLUENCE_IC,45,856,1.197896957
protein,adaptive_degree,INFLUENCE_IC,45,883,1.640295982
protein,pagerank,INFLUENCE_IC,45,17,0.157995939
protein,coreness,INFLUENCE_IC,45,3,0.024986982
influence_citation,mst,INFLUENCE_IC,32,575,1.289313078
influence_citation,adaptive_degree,INFLUENCE_IC,32,589,1.339905977
influence_citation,pagerank,INFLUENCE_IC,32,0,0.335483074
influence_citation,coreness,INFLUENCE_IC,32,243,0.584201813
hamster,mst,INFLUENCE_IC,70,347,1.472460985
hamster,adaptive_degree,INFLUENCE_IC,70,974,1.998172045
hamster,pagerank,INFLUENCE_IC,70,169,0.609890938
hamster,coreness,INFLUENCE_IC,70,573,1.127547979
moreno,mst,INFLUENCE_IC,215,386,3.004658937
moreno,adaptive_degree,INFLUENCE_IC,215,1468,4.124824047
moreno,pagerank,INFLUENCE_IC,215,169,1.262011051
moreno,coreness,INFLUENCE_IC,215,58,0.061205864
political_blog,mst,INFLUENCE_IC,48,552,1.366238832
political_blog,adaptive_degree,INFLUENCE_IC,48,1139,1.566567898
political_blog,pagerank,INFLUENCE_IC,48,40,0.486886024
political_blog,coreness,INFLUENCE_IC,48,297,0.693527937
usairport,mst,INFLUENCE_IC,51,1005,2.929023981
usairport,adaptive_degree,INFLUENCE_IC,51,1557,2.72364378
usairport,pagerank,INFLUENCE_IC,51,16,0.174531937
usairport,coreness,INFLUENCE_IC,51,793,1.623675823
web_spam,mst,INFLUENCE_IC,256,1486,6.178796053
web_spam,adaptive_degree,INFLUENCE_IC,256,2357,8.035671949
web_spam,pagerank,INFLUENCE_IC,256,58,1.43159008
web_spam,coreness,INFLUENCE_IC,256,1824,2.228865147
city2010,mst,INFLUENCE_IC,26,701,2.573876858
city2010,adaptive_degree,INFLUENCE_IC,26,724,1.70101285
city2010,pagerank,INFLUENCE_IC,26,639,1.279181004
city2010,coreness,INFLUENCE_IC,26,569,1.211983204
city2013,mst,INFLUENCE_IC,34,832,2.699684143
city2013,adaptive_degree,INFLUENCE_IC,34,792,2.21962595
city2013,pagerank,INFLUENCE_IC,34,701,1.429992914
city2013,coreness,INFLUENCE_IC,34,695,1.673640013
city2016,mst,INFLUENCE_IC,33,828,3.169051886
city2016,adaptive_degree,INFLUENCE_IC,33,811,2.609282017
city2016,pagerank,INFLUENCE_IC,33,721,1.87774992
city2016,coreness,INFLUENCE_IC,33,765,1.656002998
city2019,mst,INFLUENCE_IC,30,867,2.748073816
city2019,adaptive_degree,INFLUENCE_IC,30,759,2.617800951
city2019,pagerank,INFLUENCE_IC,30,722,1.886531115
city2019,coreness,INFLUENCE_IC,30,705,1.540493011
caida,mst,INFLUENCE_IC,210,11101,27.43446589
caida,adaptive_degree,INFLUENCE_IC,210,11731,36.46271396
caida,pagerank,INFLUENCE_IC,210,24,3.384819984
caida,coreness,INFLUENCE_IC,210,9618,17.64182186
arxiv,mst,INFLUENCE_IC,309,1802,10.93195009
arxiv,adaptive_degree,INFLUENCE_IC,309,5080,15.06558514
arxiv,pagerank,INFLUENCE_IC,309,153,2.040398836
arxiv,coreness,INFLUENCE_IC,309,224,0.473001003
ita2000,mst,INFLUENCE_IC,128,2144,8.151823044
ita2000,adaptive_degree,INFLUENCE_IC,128,4987,11.28974199
ita2000,pagerank,INFLUENCE_IC,128,235,1.700097799
ita2000,coreness,INFLUENCE_IC,128,842,1.681854963
jdk6_dependencies,mst,INFLUENCE_IC,46,2665,9.646154881
jdk6_dependencies,adaptive_degree,INFLUENCE_IC,46,31391,54.82027578
jdk6_dependencies,pagerank,INFLUENCE_IC,46,17,0.599004984
jdk6_dependencies,coreness,INFLUENCE_IC,46,671,2.665413141
fb_johnshopkins,mst,INFLUENCE_IC,196,852,6.582985163
fb_johnshopkins,adaptive_degree,INFLUENCE_IC,196,3969,20.28110814
fb_johnshopkins,pagerank,INFLUENCE_IC,196,1381,7.110707998
fb_johnshopkins,coreness,INFLUENCE_IC,196,1915,6.309227943
linux_code,mst,INFLUENCE_IC,986,15221,70.58320999
linux_code,adaptive_degree,INFLUENCE_IC,986,19092,142.417201
linux_code,pagerank,INFLUENCE_IC,986,220,17.69558001
linux_code,coreness,INFLUENCE_IC,986,16284,39.80784082
youtube_group,mst,INFLUENCE_IC,405,32336,222.4660041
youtube_group,adaptive_degree,INFLUENCE_IC,405,33626,310.9059761
youtube_group,pagerank,INFLUENCE_IC,405,282,20.54732108
youtube_group,coreness,INFLUENCE_IC,405,24570,138.4284291
epinions,mst,INFLUENCE_IC,1522,26464,267.763073
epinions,adaptive_degree,INFLUENCE_IC,1522,29297,638.5732548
epinions,pagerank,INFLUENCE_IC,1522,142,61.1722331
epinions,coreness,INFLUENCE_IC,1522,18045,131.838156
author,mst,INFLUENCE_LT,21,71,1.04365778
author,adaptive_degree,INFLUENCE_LT,21,73,0.358099937
author,pagerank,INFLUENCE_LT,21,2,0.046999931
author,coreness,INFLUENCE_LT,21,19,0.719349146
protein,mst,INFLUENCE_LT,45,320,1.390546799
protein,adaptive_degree,INFLUENCE_LT,45,313,1.905072212
protein,pagerank,INFLUENCE_LT,45,1,0.103039026
protein,coreness,INFLUENCE_LT,45,0,0.015959024
influence_citation,mst,INFLUENCE_LT,32,967,2.644367933
influence_citation,adaptive_degree,INFLUENCE_LT,32,956,3.655288935
influence_citation,pagerank,INFLUENCE_LT,32,1,0.034999132
influence_citation,coreness,INFLUENCE_LT,32,515,1.978678942
hamster,mst,INFLUENCE_LT,70,167,2.061285019
hamster,adaptive_degree,INFLUENCE_LT,70,466,3.281067848
hamster,pagerank,INFLUENCE_LT,70,14,0.982172966
hamster,coreness,INFLUENCE_LT,70,429,2.484322071
moreno,mst,INFLUENCE_LT,215,63,2.42126894
moreno,adaptive_degree,INFLUENCE_LT,215,40,5.475140095
moreno,pagerank,INFLUENCE_LT,215,15,1.156035185
moreno,coreness,INFLUENCE_LT,215,2,0.072002888
political_blog,mst,INFLUENCE_LT,48,122,1.705593109
political_blog,adaptive_degree,INFLUENCE_LT,48,233,2.73415184
political_blog,pagerank,INFLUENCE_LT,48,1,0.711000919
political_blog,coreness,INFLUENCE_LT,48,103,1.208697081
usairport,mst,INFLUENCE_LT,51,343,2.396360874
usairport,adaptive_degree,INFLUENCE_LT,51,384,3.024837017
usairport,pagerank,INFLUENCE_LT,51,0,0.104000807
usairport,coreness,INFLUENCE_LT,51,203,2.068943977
web_spam,mst,INFLUENCE_LT,256,701,7.283190012
web_spam,adaptive_degree,INFLUENCE_LT,256,2188,14.23111105
web_spam,pagerank,INFLUENCE_LT,256,12,1.124804974
web_spam,coreness,INFLUENCE_LT,256,431,4.815457106
city2010,mst,INFLUENCE_LT,26,155,2.405805111
city2010,adaptive_degree,INFLUENCE_LT,26,166,3.22157383
city2010,pagerank,INFLUENCE_LT,26,171,2.490607977
city2010,coreness,INFLUENCE_LT,26,163,1.844614983
city2013,mst,INFLUENCE_LT,34,183,2.612637997
city2013,adaptive_degree,INFLUENCE_LT,34,184,3.31831789
city2013,pagerank,INFLUENCE_LT,34,195,3.744102955
city2013,coreness,INFLUENCE_LT,34,184,2.377844095
city2016,mst,INFLUENCE_LT,33,141,2.605631113
city2016,adaptive_degree,INFLUENCE_LT,33,128,3.204272985
city2016,pagerank,INFLUENCE_LT,33,136,2.518085957
city2016,coreness,INFLUENCE_LT,33,130,3.086368799
city2019,mst,INFLUENCE_LT,30,115,2.574951172
city2019,adaptive_degree,INFLUENCE_LT,30,83,3.180681944
city2019,pagerank,INFLUENCE_LT,30,76,2.592112064
city2019,coreness,INFLUENCE_LT,30,83,2.569530964
caida,mst,INFLUENCE_LT,210,16966,236.9320369
caida,adaptive_degree,INFLUENCE_LT,210,17597,276.9679899
caida,pagerank,INFLUENCE_LT,210,0,3.109049082
caida,coreness,INFLUENCE_LT,210,11067,155.9318681
arxiv,mst,INFLUENCE_LT,309,606,5.027313948
arxiv,adaptive_degree,INFLUENCE_LT,309,453,12.28624511
arxiv,pagerank,INFLUENCE_LT,309,5,1.232006073
arxiv,coreness,INFLUENCE_LT,309,3,0.049998999
ita2000,mst,INFLUENCE_LT,128,365,5.51293993
ita2000,adaptive_degree,INFLUENCE_LT,128,238,7.226510048
ita2000,pagerank,INFLUENCE_LT,128,16,1.22400403
ita2000,coreness,INFLUENCE_LT,128,11,1.060532093
jdk6_dependencies,mst,INFLUENCE_LT,46,89,19.19781518
jdk6_dependencies,adaptive_degree,INFLUENCE_LT,46,1566,24.56086206
jdk6_dependencies,pagerank,INFLUENCE_LT,46,1,0.315426826
jdk6_dependencies,coreness,INFLUENCE_LT,46,1,2.241654873
fb_johnshopkins,mst,INFLUENCE_LT,196,17,12.60731983
fb_johnshopkins,adaptive_degree,INFLUENCE_LT,196,42,27.41948795
fb_johnshopkins,pagerank,INFLUENCE_LT,196,25,13.68657589
fb_johnshopkins,coreness,INFLUENCE_LT,196,51,12.15359092
linux_code,mst,INFLUENCE_LT,986,6923,297.656575
linux_code,adaptive_degree,INFLUENCE_LT,986,21245,401.46385
linux_code,pagerank,INFLUENCE_LT,986,148,20.73598886
linux_code,coreness,INFLUENCE_LT,986,2012,209.7583551
youtube_group,mst,INFLUENCE_LT,405,34726,1824.998856
youtube_group,adaptive_degree,INFLUENCE_LT,405,33796,1682.007729
youtube_group,pagerank,INFLUENCE_LT,405,119,37.901752
youtube_group,coreness,INFLUENCE_LT,405,18975,1117.039634
epinions,mst,INFLUENCE_LT,1522,22423,1032.053259
epinions,adaptive_degree,INFLUENCE_LT,1522,23982,1327.782927
epinions,pagerank,INFLUENCE_LT,1522,170,50.83102989
epinions,coreness,INFLUENCE_LT,1522,5856,596.5446968
author,mst,RESILIENCE,21,206,0.004997015
author,adaptive_degree,RESILIENCE,21,272,0.057996988
author,pagerank,RESILIENCE,21,21,0.011003017
author,coreness,RESILIENCE,21,43,0.294028997
protein,mst,RESILIENCE,45,646,0.011001825
protein,adaptive_degree,RESILIENCE,45,612,1.408117056
protein,pagerank,RESILIENCE,45,49,0.009001017
protein,coreness,RESILIENCE,45,6,0.005000114
influence_citation,mst,RESILIENCE,32,924,0.00599885
influence_citation,adaptive_degree,RESILIENCE,32,895,0.077997923
influence_citation,pagerank,RESILIENCE,32,32,0.005995035
influence_citation,coreness,RESILIENCE,32,645,0.003998995
hamster,mst,RESILIENCE,70,170,0.018005133
hamster,adaptive_degree,RESILIENCE,70,203,0.292025089
hamster,pagerank,RESILIENCE,70,70,0.008996964
hamster,coreness,RESILIENCE,70,175,0.004995108
moreno,mst,RESILIENCE,215,235,0.020038128
moreno,adaptive_degree,RESILIENCE,215,218,1.967391014
moreno,pagerank,RESILIENCE,215,215,0.014969826
moreno,coreness,RESILIENCE,215,10,0.007996082
political_blog,mst,RESILIENCE,48,113,0.019963026
political_blog,adaptive_degree,RESILIENCE,48,117,0.234000921
political_blog,pagerank,RESILIENCE,48,48,0.01199913
political_blog,coreness,RESILIENCE,48,69,0.006000996
usairport,mst,RESILIENCE,51,349,0.022996187
usairport,adaptive_degree,RESILIENCE,51,347,0.270999908
usairport,pagerank,RESILIENCE,51,51,0.016001225
usairport,coreness,RESILIENCE,51,172,0.008037806
web_spam,mst,RESILIENCE,256,830,0.031998873
web_spam,adaptive_degree,RESILIENCE,256,666,3.915733099
web_spam,pagerank,RESILIENCE,256,256,0.026003122
web_spam,coreness,RESILIENCE,256,224,0.011035919
city2010,mst,RESILIENCE,26,100,0.044997931
city2010,adaptive_degree,RESILIENCE,26,83,0.2169981
city2010,pagerank,RESILIENCE,26,83,0.02603507
city2010,coreness,RESILIENCE,26,80,0.008997917
city2013,mst,RESILIENCE,34,119,0.046999931
city2013,adaptive_degree,RESILIENCE,34,89,0.401039839
city2013,pagerank,RESILIENCE,34,83,0.037963867
city2013,coreness,RESILIENCE,34,89,0.010998964
city2016,mst,RESILIENCE,33,102,0.069998026
city2016,adaptive_degree,RESILIENCE,33,72,0.427994967
city2016,pagerank,RESILIENCE,33,79,0.042030096
city2016,coreness,RESILIENCE,33,72,0.014000893
city2019,mst,RESILIENCE,30,85,0.070673943
city2019,adaptive_degree,RESILIENCE,30,52,1.538520098
city2019,pagerank,RESILIENCE,30,52,0.046998024
city2019,coreness,RESILIENCE,30,52,0.014962912
caida,mst,RESILIENCE,210,13639,0.108036041
caida,adaptive_degree,RESILIENCE,210,14270,7.934541941
