node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,10,0.000329489291598023,6032.37037762318,0.123222303187707,5,0.00220874702769712,1000,1996,3.992,123,3.94001401401401,0.0120361083249749,7,0.003995995995996,-0.0989646654452065,3.94001401401401,300,3
2,34,0.000365497076023392,33899.2195643156,0.255832438083359,5,0.0072815616799824,1000,1996,3.992,123,3.94001401401401,0.0120361083249749,7,0.003995995995996,-0.0989646654452065,3.94001401401401,300,3
3,123,0.00042571306939123,175688.387441205,1,4,0.026301113061574,1000,1996,3.992,123,3.94001401401401,0.0120361083249749,7,0.003995995995996,-0.0989646654452065,3.94001401401401,300,3
4,72,0.000380083618396047,82166.156234943,0.401335473501662,5,0.0155064807832249,1000,1996,3.992,123,3.94001401401401,0.0120361083249749,7,0.003995995995996,-0.0989646654452065,3.94001401401401,300,3
5,74,0.000394166338194718,95224.1362437419,0.431653567883082,4,0.0158448027881033,1000,1996,3.992,123,3.94001401401401,0.0120361083249749,7,0.003995995995996,-0.0989646654452065,3.94001401401401,300,3
6,56,0.000356887937187723,61370.6993017066,0.163030434343237,5,0.0122306519068676,1000,1996,3.992,123,3.94001401401401,0.0120361083249749,7,0.003995995995996,-0.0989646654452065,3.94001401401401,300,3
7,7,0.00031210986267166,4182.7021691115,0.105922913279051,5,0.0016517888921352,1000,1996,3.992,123,3.94001401401401,0.0120361083249749,7,0.003995995995996,-0.0989646654452065,3.94001401401401,300,3
8,3,0.000326157860404436,2011.85685141985,0.117853570990287,5,0.000711077097265165,1000,1996,3.992,123,3.94001401401401,0.0120361083249749,7,0.003995995995996,-0.0989646654452065,3.94001401401401,300,3
9,12,0.000311526479750779,6630.84264365498,0.0579377274441718,5,0.00271279712189802,1000,1996,3.992,123,3.94001401401401,0.0120361083249749,7,0.003995995995996,-0.0989646654452065,3.94001401401401,300,3
10,27,0.000349283967865875,29037.7667125762,0.169936477804614,5,0.0059077588859839,1000,1996,3.992,123,3.94001401401401,0.0120361083249749,7,0.003995995995996,-0.0989646654452065,3.94001401401401,300,3
