node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,11,0.00392156862745098,338.460853960854,0.193312572811004,4,0.0265460210559065,100,196,3.92,38,2.84040404040404,0.0684410646387833,5,0.0395959595959596,-0.203563581180413,2.84040404040404,108,3
2,38,0.00606060606060606,2792.68354374384,1,3,0.0850411223228644,100,196,3.92,38,2.84040404040404,0.0684410646387833,5,0.0395959595959596,-0.203563581180413,2.84040404040404,108,3
3,24,0.00512820512820513,1320.51814166226,0.524726084317902,3,0.0555278233912517,100,196,3.92,38,2.84040404040404,0.0684410646387833,5,0.0395959595959596,-0.203563581180413,2.84040404040404,108,3
4,9,0.0043859649122807,376.89259746245,0.247312150571288,4,0.0213371532621663,100,196,3.92,38,2.84040404040404,0.0684410646387833,5,0.0395959595959596,-0.203563581180413,2.84040404040404,108,3
5,6,0.004,102.667385283562,0.198096766322875,4,0.0139945949855443,100,196,3.92,38,2.84040404040404,0.0684410646387833,5,0.0395959595959596,-0.203563581180413,2.84040404040404,108,3
6,13,0.00452488687782805,439.790507205213,0.375570570751288,4,0.0290937600922123,100,196,3.92,38,2.84040404040404,0.0684410646387833,5,0.0395959595959596,-0.203563581180413,2.84040404040404,108,3
7,3,0.0040650406504065,43.049242261007,0.188389294589261,4,0.00753808235576059,100,196,3.92,38,2.84040404040404,0.0684410646387833,5,0.0395959595959596,-0.203563581180413,2.84040404040404,108,3
8,8,0.00381679389312977,190.719920819921,0.16602126510316,4,0.0192917094500726,100,196,3.92,38,2.84040404040404,0.0684410646387833,5,0.0395959595959596,-0.203563581180413,2.84040404040404,108,3
9,4,0.0037037037037037,86.9092046842047,0.108891874601424,4,0.00998287776345845,100,196,3.92,38,2.84040404040404,0.0684410646387833,5,0.0395959595959596,-0.203563581180413,2.84040404040404,108,3
10,4,0.00383141762452107,85.8659594490477,0.126413047672888,4,0.0101023422165835,100,196,3.92,38,2.84040404040404,0.0684410646387833,5,0.0395959595959596,-0.203563581180413,2.84040404040404,108,3
