node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.00120918984280532,0,0.267116809283685,8,0.00482094041031363,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
2,1,0.000942507068803016,0,0.00504599659025969,10,0.00577056219797879,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
3,1,0.00120918984280532,0,0.267116809283685,8,0.00482094041031363,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
4,1,0.00111111111111111,0,0.042138904558495,8,0.00474427375683589,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
5,1,0.0012453300124533,0,0.229106763256837,7,0.00449940677162629,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
6,3,0.00122399020807834,353.894841269841,0.145883407840253,8,0.0120504291566535,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
7,2,0.00116009280742459,51.1833333333333,0.107759529296266,8,0.00804553728213016,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
8,3,0.00125470514429109,241.094444444444,0.178757415536498,8,0.0109881993185083,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
9,6,0.00127713920817369,540.169444444445,0.512371589207707,8,0.0218940302894807,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
10,3,0.00125470514429109,192.366666666667,0.14761691084442,7,0.0110552724870532,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
11,2,0.001,33.9416666666667,0.00884376541872212,11,0.00936044475507376,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
12,7,0.00138312586445367,1063.94841269841,0.901270043372286,7,0.0236360635932657,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
13,3,0.00117924528301887,97.7706349206349,0.136950194383815,8,0.0110312590169192,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
14,1,0.00114155251141553,0,0.0998438186108661,8,0.00490888702187064,100,125,2.5,8,4.67938596491228,0,11,0.0252525252525253,-0.134834442106859,4.67938596491228,0,4
