node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.0344827586206897,0,0.355415726775845,5,0.0610838596918756,10,9,1.8,3,2.73333333333333,0,5,0.2,-0.220338983050848,2.73333333333333,0,0
2,3,0.0476190476190476,15,0.779779715339562,4,0.162648916559561,10,9,1.8,3,2.73333333333333,0,5,0.2,-0.220338983050848,2.73333333333333,0,0
3,3,0.0588235294117647,23,1,3,0.154610665000138,10,9,1.8,3,2.73333333333333,0,5,0.2,-0.220338983050848,2.73333333333333,0,0
4,3,0.0588235294117647,24,0.958423651730093,3,0.15367554172022,10,9,1.8,3,2.73333333333333,0,5,0.2,-0.220338983050848,2.73333333333333,0,0
5,2,0.0434782608695652,8,0.551387524548321,4,0.111610807808056,10,9,1.8,3,2.73333333333333,0,5,0.2,-0.220338983050848,2.73333333333333,0,0
6,1,0.04,0,0.455789910643002,4,0.0588063550833723,10,9,1.8,3,2.73333333333333,0,5,0.2,-0.220338983050848,2.73333333333333,0,0
7,1,0.032258064516129,0,0.251316870543545,5,0.0624345933184237,10,9,1.8,3,2.73333333333333,0,5,0.2,-0.220338983050848,2.73333333333333,0,0
8,1,0.0344827586206897,0,0.355415726775845,5,0.0610838596918755,10,9,1.8,3,2.73333333333333,0,5,0.2,-0.220338983050848,2.73333333333333,0,0
9,2,0.0434782608695652,8,0.551387524548321,4,0.111610807808056,10,9,1.8,3,2.73333333333333,0,5,0.2,-0.220338983050848,2.73333333333333,0,0
10,1,0.032258064516129,0,0.251316870543545,5,0.0624345933184237,10,9,1.8,3,2.73333333333333,0,5,0.2,-0.220338983050848,2.73333333333333,0,0
