node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,3,0.0588235294117647,23,0.816496580927727,3,0.154762538393245,10,9,1.8,4,2.73333333333333,0,6,0.2,-0.363636363636364,2.73333333333333,0,0
2,2,0.0476190476190476,14,0.479356466401652,4,0.107795460255667,10,9,1.8,4,2.73333333333333,0,6,0.2,-0.363636363636364,2.73333333333333,0,0
3,2,0.037037037037037,8,0.264569713082445,5,0.115167233829602,10,9,1.8,4,2.73333333333333,0,6,0.2,-0.363636363636364,2.73333333333333,0,0
4,4,0.0588235294117647,25,1,4,0.206717599003357,10,9,1.8,4,2.73333333333333,0,6,0.2,-0.363636363636364,2.73333333333333,0,0
5,1,0.04,0,0.362043399217165,4,0.0588493858780861,10,9,1.8,4,2.73333333333333,0,6,0.2,-0.363636363636364,2.73333333333333,0,0
6,2,0.0434782608695652,8,0.551926867845281,5,0.112215248200726,10,9,1.8,4,2.73333333333333,0,6,0.2,-0.363636363636364,2.73333333333333,0,0
7,1,0.0285714285714286,0,0.117313067184487,6,0.063946074377581,10,9,1.8,4,2.73333333333333,0,6,0.2,-0.363636363636364,2.73333333333333,0,0
8,1,0.032258064516129,0,0.244730332032678,6,0.0626914804853084,10,9,1.8,4,2.73333333333333,0,6,0.2,-0.363636363636364,2.73333333333333,0,0
9,1,0.04,0,0.4434107964124,5,0.0589274897882135,10,9,1.8,4,2.73333333333333,0,6,0.2,-0.363636363636364,2.73333333333333,0,0
10,1,0.04,0,0.4434107964124,5,0.0589274897882134,10,9,1.8,4,2.73333333333333,0,6,0.2,-0.363636363636364,2.73333333333333,0,0
