node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,0,0.0111111111111111,0,9.4582834183393e-17,0,0.0163934426229508,10,11,2.2,3,2.52777777777778,0.352941176470588,5,0.244444444444444,-0.466666666666665,2.52777777777778,6,3
2,2,0.0384615384615385,15,0.471087170375796,3,0.09190949338041,10,11,2.2,3,2.52777777777778,0.352941176470588,5,0.244444444444444,-0.466666666666665,2.52777777777778,6,3
3,2,0.0303030303030303,0,0.762881067603723,5,0.0886524546789472,10,11,2.2,3,2.52777777777778,0.352941176470588,5,0.244444444444444,-0.466666666666665,2.52777777777778,6,3
4,2,0.0344827586206897,2.5,0.703047359539584,4,0.0893318312617435,10,11,2.2,3,2.52777777777778,0.352941176470588,5,0.244444444444444,-0.466666666666665,2.52777777777778,6,3
5,2,0.0285714285714286,0,0.231960189163787,5,0.0960768664159938,10,11,2.2,3,2.52777777777778,0.352941176470588,5,0.244444444444444,-0.466666666666665,2.52777777777778,6,3
6,3,0.04,16.5,0.846285242603375,3,0.129406924204283,10,11,2.2,3,2.52777777777778,0.352941176470588,5,0.244444444444444,-0.466666666666665,2.52777777777778,6,3
7,3,0.03125,1.5,0.959866470309341,5,0.128022682756162,10,11,2.2,3,2.52777777777778,0.352941176470588,5,0.244444444444444,-0.466666666666665,2.52777777777778,6,3
8,3,0.0344827586206897,12,0.363953140572776,4,0.13712031376322,10,11,2.2,3,2.52777777777778,0.352941176470588,5,0.244444444444444,-0.466666666666665,2.52777777777778,6,3
9,3,0.0357142857142857,7.5,1,4,0.127009124500296,10,11,2.2,3,2.52777777777778,0.352941176470588,5,0.244444444444444,-0.466666666666665,2.52777777777778,6,3
10,2,0.0285714285714286,0,0.231960189163787,5,0.0960768664159938,10,11,2.2,3,2.52777777777778,0.352941176470588,5,0.244444444444444,-0.466666666666665,2.52777777777778,6,3
