node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,6,0.0769230769230769,32,1,3,0.306630331609448,10,9,1.8,6,2.37777777777778,0,5,0.2,-0.595238095238095,2.37777777777778,0,0
2,1,0.0476190476190476,0,0.394930843634699,4,0.0584392969780052,10,9,1.8,6,2.37777777777778,0,5,0.2,-0.595238095238095,2.37777777777778,0,0
3,1,0.0476190476190476,0,0.394930843634698,4,0.0584392969780052,10,9,1.8,6,2.37777777777778,0,5,0.2,-0.595238095238095,2.37777777777778,0,0
4,2,0.0588235294117647,14,0.484454397937118,3,0.107223685554599,10,9,1.8,6,2.37777777777778,0,5,0.2,-0.595238095238095,2.37777777777778,0,0
5,1,0.0476190476190476,0,0.394930843634699,4,0.0584392969780052,10,9,1.8,6,2.37777777777778,0,5,0.2,-0.595238095238095,2.37777777777778,0,0
6,2,0.0434782608695652,8,0.226681596905678,4,0.11478679665081,10,9,1.8,6,2.37777777777778,0,5,0.2,-0.595238095238095,2.37777777777778,0,0
7,2,0.0526315789473684,8,0.467911113762044,4,0.111450954173002,10,9,1.8,6,2.37777777777778,0,5,0.2,-0.595238095238095,2.37777777777778,0,0
8,1,0.0476190476190476,0,0.394930843634699,4,0.0584392969780052,10,9,1.8,6,2.37777777777778,0,5,0.2,-0.595238095238095,2.37777777777778,0,0
9,1,0.037037037037037,0,0.184792530904095,5,0.0623666555235259,10,9,1.8,6,2.37777777777778,0,5,0.2,-0.595238095238095,2.37777777777778,0,0
10,1,0.032258064516129,0,0.08952355430242,5,0.0637843885765941,10,9,1.8,6,2.37777777777778,0,5,0.2,-0.595238095238095,2.37777777777778,0,0
