node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,4,0.0625,27,1,3,0.205453808149159,10,9,1.8,4,2.66666666666667,0,5,0.2,-0.636363636363636,2.66666666666667,0,0
2,3,0.05,15,0.726062043495419,4,0.162364503340893,10,9,1.8,4,2.66666666666667,0,5,0.2,-0.636363636363636,2.66666666666667,0,0
3,1,0.0416666666666667,0,0.442161684551377,4,0.0586589342316962,10,9,1.8,4,2.66666666666667,0,5,0.2,-0.636363636363636,2.66666666666667,0,0
4,1,0.0357142857142857,0,0.32103681624075,5,0.0610032759465864,10,9,1.8,4,2.66666666666667,0,5,0.2,-0.636363636363636,2.66666666666667,0,0
5,1,0.0357142857142857,0,0.32103681624075,5,0.0610032759465864,10,9,1.8,4,2.66666666666667,0,5,0.2,-0.636363636363636,2.66666666666667,0,0
6,2,0.0555555555555556,18,0.651230722265732,3,0.105247868255738,10,9,1.8,4,2.66666666666667,0,5,0.2,-0.636363636363636,2.66666666666667,0,0
7,3,0.0454545454545455,15,0.472833908995255,4,0.16443153184956,10,9,1.8,4,2.66666666666667,0,5,0.2,-0.636363636363636,2.66666666666667,0,0
8,1,0.0333333333333333,0,0.209069037714355,5,0.0615889340240421,10,9,1.8,4,2.66666666666667,0,5,0.2,-0.636363636363636,2.66666666666667,0,0
9,1,0.0416666666666667,0,0.442161684551377,4,0.0586589342316962,10,9,1.8,4,2.66666666666667,0,5,0.2,-0.636363636363636,2.66666666666667,0,0
10,1,0.0333333333333333,0,0.209069037714355,5,0.0615889340240421,10,9,1.8,4,2.66666666666667,0,5,0.2,-0.636363636363636,2.66666666666667,0,0
