node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,1,0.000147318797878609,0,0.132174774706998,12,0.000456016477184268,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
2,55,0.000175746924428823,300094,1,11,0.0206834191118788,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
3,19,0.000190766882869134,360271,0.205191271401959,10,0.0070174943094414,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
4,36,0.000195236235845373,428985,0.0751169418699072,10,0.013372637368502,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
5,11,0.000170532060027285,171489,0.0121338986961765,11,0.00412641008730928,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
6,2,0.000157778479015462,1098,0.0276033452326839,11,0.000886439549384131,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
7,9,0.000148942508191838,125398,0.00188113530345475,12,0.00338494984288056,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
8,15,0.000149120190873844,43957,0.175832422206937,12,0.006019149464598,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
9,11,0.000176304654442877,246540,0.0121773977156338,11,0.00407346012416382,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
10,12,0.000151607034566404,90847,0.0020173611190132,12,0.00446073347795645,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
11,7,0.000155086848635236,155738,0.00182786185752473,12,0.00262441740780128,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
12,7,0.000128832775057975,22790,0.0260706156887106,13,0.0028359734104185,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
13,10,0.000162232316677482,89866,0.0322440617609369,11,0.00401114674657225,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
14,4,0.000113019891500904,6567,0.00363891820283263,14,0.00172744976720762,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
15,3,0.000130106687483737,4383,0.000276388779826128,13,0.0012659276705626,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
16,4,0.000158277936055714,12000,0.0286495080760008,11,0.00160250106001427,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
17,22,0.000137023842148534,127517,0.000388785654822024,13,0.0082438538392836,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
18,3,0.000160978750804894,4383,0.0102914048020564,11,0.00126554579200255,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
19,1,0.000128139415684264,0,0.0232406107913877,13,0.000477448772690983,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
20,10,0.000131302521008403,41969,0.000318341860898928,13,0.00381774577116309,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
21,1,0.000129971406290616,0,0.000266644251408178,13,0.000452332257719018,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
22,9,0.000161707632600259,19579,0.0115770146563899,11,0.00365407900128213,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
23,2,0.000147405660377358,2194,0.134567493028923,12,0.000869842147649953,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
24,4,0.000119274809160305,6567,5.42852267323978e-05,14,0.0016869088113273,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
25,6,0.000147885241052943,14160,0.144983776081196,12,0.00246550539740269,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
26,2,0.000130005200208008,1098,0.000271385400785515,13,0.000889614635817048,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
27,1,0.000143636885952313,0,0.00160379532648461,12,0.000455222597655894,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
28,4,0.000114995400183993,9825,4.44496197928648e-05,14,0.00166465557314749,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
29,5,0.000120076849183477,36533,5.53858621982419e-05,14,0.00190773578505824,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
30,4,0.00012748597654258,8749,0.0202567842370028,13,0.0016861213654892,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
31,6,0.000147623265426631,7662,0.14492583826399,12,0.00254235107816476,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
32,4,0.000157927984838913,4385,0.0286305452516539,11,0.00170897152658426,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
33,1,0.000147318797878609,0,0.132174774706998,12,0.000456016477183802,1100,1099,1.99818181818182,55,8.36446025312267,0,19,0.00181818181818182,-0.0794589962595478,8.36446025312267,0,0
