node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,20,0.000271076172404446,19884.4592430185,0.164262916835501,5,0.00359036346428531,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
2,72,0.0003269042170644,135693.242305581,0.48156903111187,4,0.0126969408512187,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
3,117,0.000344115622849277,238081.398553777,1,4,0.0205920566239597,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
4,15,0.000265957446808511,14058.7639567704,0.149374058848895,5,0.00284050706084107,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
5,53,0.000287191269385411,60892.9507331842,0.272462149235596,5,0.00955974056352857,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
6,72,0.000310269934843314,118842.954019765,0.390005150210956,4,0.0128742943423482,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
7,3,0.000248015873015873,1189.94050804886,0.0949876951458375,5,0.000608440820804731,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
8,29,0.000279485746226942,34344.252027554,0.139354029385619,5,0.00513691719186554,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
9,5,0.000253228665484933,2708.81011056845,0.111524178071056,5,0.000973160221637724,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
10,13,0.000243072435585805,8197.97052712485,0.0619059342738927,5,0.00237027833890352,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
11,18,0.000269905533063428,17170.8309482944,0.157144063105485,5,0.00329693896553059,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
12,46,0.000292997363023733,70459.330705672,0.259556194241675,5,0.0082500432396724,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
13,30,0.000275027502750275,34859.5174636853,0.177571501551394,5,0.00555360357096014,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
14,14,0.00025953802232027,14063.0190632084,0.124263147582865,5,0.00257910937970415,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
15,8,0.000240731824747232,4601.7030460827,0.0511046521172277,5,0.00149746655455457,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
16,6,0.000221238938053097,2169.21140396159,0.0272909931068167,6,0.00112799880717052,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
17,17,0.000267809319764328,16630.1967548719,0.135740278629273,5,0.00322129380201799,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
18,10,0.000252143217347453,7743.85363160063,0.0987418221156011,5,0.00185382253179283,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
19,12,0.000239923224568138,11237.0652784528,0.0515083833838508,5,0.00224586916654239,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
20,32,0.000285388127853881,46523.4798254528,0.193419061945281,5,0.0058231285703383,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
21,16,0.000257466529351184,13837.7457380433,0.108148959700741,5,0.00296116108150263,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
22,42,0.000275330396475771,48146.1586774047,0.1463503736115,5,0.00769635338688948,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
23,32,0.00025879917184265,31816.7954434329,0.0758176584847429,5,0.00595618524882793,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
24,16,0.000237022991230149,11891.1009983813,0.0313774011212701,5,0.00302902115369329,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
25,9,0.000254258835494533,8051.61715401749,0.0708580251443254,5,0.00169944705953986,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
26,4,0.000248632521133764,1762.3661798842,0.0689571577159133,5,0.000793357905881245,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
27,19,0.00026476039184538,17293.3272709525,0.14069158269303,5,0.00343029005399841,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
28,11,0.000257466529351184,8439.09456124598,0.121355543774263,5,0.00206201778035066,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
29,15,0.000235017626321974,7971.62826003742,0.0373277626503506,5,0.00281751171447163,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
30,14,0.000252461499621308,12556.7723686032,0.0766508311953447,5,0.002636359030334,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
31,21,0.000252525252525253,20815.6554647425,0.0620939050022263,5,0.00395349167633721,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
32,13,0.00024931438544004,12806.6916624089,0.0598295541400291,5,0.0023767810938173,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
33,2,0.000233208955223881,277.520248008318,0.0427393391043083,6,0.000430763045111278,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
34,5,0.000227427791676143,2397.61519161357,0.0294171663247823,6,0.000999481519715194,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
35,9,0.000246305418719212,7323.53716878221,0.0546430595395377,5,0.00168238143422502,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
36,3,0.000253228665484933,609.620883946219,0.0992780988321783,5,0.000615236535603835,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
37,10,0.000233317778814746,6572.52581481887,0.0301248080566614,6,0.00193758744788198,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
38,10,0.000232883092687471,7896.44035683741,0.028416687307625,6,0.0019025802485289,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
39,23,0.000239980801535877,17206.1903082916,0.0360739180482897,5,0.00431473066945647,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
40,12,0.000267881060809001,13847.4875118673,0.135485589585388,5,0.00220215045636376,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
41,9,0.000224971878515186,4228.13195918258,0.0241176369380564,5,0.00174627910601221,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
42,3,0.000217580504786771,589.295665654028,0.0263236579438796,6,0.00062822462360646,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
43,5,0.000251572327044025,3380.03462597325,0.0913208599882404,5,0.000985095968641172,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
44,7,0.000250563768479078,4729.8580188641,0.0979269573135556,5,0.00136190665531078,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
45,10,0.000236854571293226,4456.50205188087,0.0342208039509906,5,0.00184677435714041,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
46,9,0.000230733733271804,4786.77617171764,0.0295787951484528,5,0.00168893537801667,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
47,10,0.000234466588511137,6303.12079141853,0.065188958309301,5,0.00188525540664432,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
48,4,0.000248077400148846,1593.96401605136,0.0965836224100115,5,0.000808855019847843,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
49,5,0.000213995292103574,2416.3037300714,0.0153960412328086,6,0.00101915644074596,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
50,15,0.00025980774227072,13398.1631383637,0.0897969024948312,5,0.00274484494841496,1200,2396,3.99333333333333,117,4.08068112315819,0.014520919658245,7,0.00333055323881012,-0.0770626826932502,4.08068112315819,396,3
