node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,36,0.000351864883884588,1288.62171000647,0.71769161027275,3,0.000988781053965336,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
2,21,0.000322476620445018,439.52192455028,0.398628241081539,3,0.000633021351674207,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
3,30,0.000341646737273659,856.194888613694,0.604591996087271,3,0.000840819286090685,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
4,21,0.000327546675401245,389.584523516147,0.440701567490854,3,0.000622871767995298,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
5,32,0.00034965034965035,948.355844551268,0.681404312064358,3,0.000883635804349048,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
6,35,0.000353481795687522,1151.86017986153,0.724214446109923,3,0.000958553053598137,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
7,39,0.000358166189111748,1425.14682650586,0.798584445584619,3,0.00105495428124739,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
8,25,0.000331235508446505,593.5403946458,0.483892410392535,3,0.000726047482896371,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
9,29,0.00034106412005457,828.821338175968,0.584631418134041,3,0.000820694491494544,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
10,25,0.000335232986925913,596.097698054154,0.505430726364035,3,0.000720859774748949,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
11,30,0.000343524562006183,855.726907840523,0.61424534545053,3,0.000840681197561881,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
12,33,0.000345901072293324,1098.18610225677,0.652070275440693,3,0.000918459059199149,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
13,31,0.000345542501727712,901.108943631368,0.639243852332804,3,0.000862576146890254,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
14,32,0.00034494653328734,993.950320645323,0.626141746828587,3,0.000892185367009873,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
15,33,0.000350754121360926,1066.82377689234,0.674377025235938,3,0.000911422256421382,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
16,25,0.000333444481493831,585.960916081656,0.516859059349083,3,0.000721275997909141,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
17,40,0.000358937544867193,1590.58937666561,0.803235859946915,3,0.00108407132746164,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
18,29,0.00033955857385399,824.858941858131,0.570718517550102,3,0.000821623898834369,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
19,31,0.000341296928327645,938.601076221188,0.595773684377421,3,0.000870105513585316,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
20,29,0.000339443312966735,773.960782658628,0.597792356371866,3,0.000816280793568662,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
21,24,0.000333000333000333,513.112952849068,0.507884211849933,3,0.000693596088376762,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
22,36,0.000354358610914245,1260.03266551621,0.719312847650913,3,0.000983417749612943,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
23,31,0.000345661942620118,942.149228054531,0.617814957876175,3,0.000867010962046823,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
24,34,0.000351246926589392,1121.33389314416,0.691983497732499,3,0.000936126998980659,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
25,30,0.000342700479780672,810.326422688936,0.626426402409175,3,0.000837303611388861,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
26,44,0.000363768643142961,1824.1024154172,0.891318825626306,3,0.00117713518338899,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
27,35,0.000349040139616056,1184.52989756968,0.709429777784679,3,0.000961723741560812,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
28,23,0.000328191663931736,495.151601882634,0.449562235693758,3,0.000675126322768673,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
29,30,0.000343406593406593,828.765717660351,0.620281624601602,3,0.000838481386839877,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
30,31,0.000343406593406593,936.975901689849,0.614583951270429,3,0.000868535371516132,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
31,20,0.000324044069993519,382.230009282252,0.401617539483241,3,0.000602950381402035,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
32,32,0.000346860908775581,922.229924156688,0.677165276341433,3,0.000884933533049602,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
33,36,0.000349040139616056,1248.34450764594,0.696774225432134,3,0.000990254780215101,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
34,29,0.000342700479780672,801.960323750539,0.600080677311858,3,0.000815132217384732,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
35,28,0.000336700336700337,747.308590365897,0.539203760188083,3,0.000796801282841439,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
36,30,0.0003385240352065,905.562105246932,0.546507325874155,3,0.000851998162215861,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
37,29,0.000340020401224073,833.280504172465,0.572550248613693,3,0.00081919188192495,1200,17781,29.635,48,2.44409368918543,0.0249492900608519,4,0.0247164303586322,-0.00196468454166151,2.44409368918543,13161,3
