node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,101,0.000333444481493831,215100.819630365,1,4,0.0180802448586574,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
2,27,0.000269759913676828,36301.0874559395,0.121304034218891,5,0.00480684155382796,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
3,46,0.000295072292711714,64026.3264795289,0.312176042548316,5,0.00841711437605479,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
4,37,0.000293772032902468,54773.7207060064,0.28501249516442,5,0.00662145223873328,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
5,59,0.000296647878967665,87541.064103994,0.307980999653514,4,0.0104490600189771,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
6,11,0.000250062515628907,12036.5810607301,0.095877834287173,5,0.001944006671847,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
7,48,0.000307408545957578,98221.0900243606,0.317763320768925,5,0.00846106077154394,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
8,28,0.000270855904658722,29429.5397852115,0.208734157687747,5,0.00514532101936816,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
9,51,0.000285959393766085,70925.118529407,0.221641110706436,5,0.00908105994257018,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
10,46,0.000283045570336824,53798.199899076,0.274287138152352,5,0.00837363474140212,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
11,31,0.000262881177707676,29974.6499316164,0.119451048704582,5,0.00567916193165205,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
12,20,0.000255689082076195,16518.0004538306,0.147289435443619,5,0.00378627225440512,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
13,9,0.000251319426991706,7749.31807138436,0.0666166690993562,5,0.00166087128217366,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
14,23,0.000266240681576145,23458.6524468119,0.161148851006468,5,0.00421742237261115,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
15,46,0.000275330396475771,50702.1297305174,0.222585699348747,5,0.00841823251707987,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
16,17,0.000250878073256397,14137.6869571312,0.124743244363538,5,0.00322625695904855,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
17,11,0.000235904694503421,7368.64423841854,0.0481047530443971,5,0.00205550388616616,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
18,19,0.000248508946322068,19344.8613559149,0.0751928128050476,5,0.00346478564801443,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
19,6,0.000214408233276158,2911.0381057244,0.0324674154928247,6,0.00123387058716064,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
20,28,0.000262329485834208,29198.828810654,0.109658924825103,5,0.00511757323985331,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
21,24,0.000252780586450961,22866.9311865699,0.0685727642755889,5,0.00440472570436698,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
22,26,0.000256278831368529,26822.1531592368,0.0712386983553154,5,0.00468930763243543,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
23,15,0.00025062656641604,11239.8045217873,0.117499838017373,5,0.0028538516909422,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
24,14,0.000248508946322068,13881.2369883867,0.0599140894853979,5,0.00258373684971299,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
25,14,0.000231000231000231,8508.80780282645,0.0378833485828591,6,0.00259747818629313,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
26,12,0.000239808153477218,8352.3161663499,0.0495462681159031,5,0.00235852582129468,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
27,7,0.000258598396689941,4644.25150953758,0.126151951968434,5,0.00133800798221108,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
28,3,0.000234466588511137,760.056651149139,0.0448844444627477,6,0.000630407684770735,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
29,3,0.000211640211640212,817.361764010883,0.0309364649309875,6,0.000641487445243893,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
30,7,0.000229410415232852,4818.57740956027,0.0437785728651387,6,0.00137170576351979,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
31,3,0.000228675966155957,751.739285372573,0.0367325777037953,5,0.000639971302944122,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
32,4,0.000229357798165138,1812.47054582249,0.036499610094792,5,0.000824474449052776,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
33,12,0.000223214285714286,6710.64338195589,0.0196628894061189,6,0.00229339319126653,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
34,6,0.000230308613542146,3572.80147219919,0.0338090778188923,6,0.00118978363058395,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
35,8,0.000225377507324769,5102.12656975082,0.0231548133114184,5,0.0014945284655243,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
36,17,0.000249625561657514,14521.3124734316,0.0805872577862451,5,0.00312993913149143,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
37,28,0.000242424242424242,18968.4860031594,0.080858284509295,5,0.00524083284966915,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
38,5,0.000249376558603491,2377.62672074293,0.116128363878534,5,0.00102289692250691,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
39,8,0.000233208955223881,4151.06418795919,0.0543426970952779,6,0.0015003800714258,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
40,8,0.000215703192407248,3582.40619149913,0.0190102350864247,6,0.00151292860301405,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
41,10,0.000242424242424242,7109.10211499701,0.0487133402930013,6,0.0018522103106172,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
42,10,0.000240038406144983,6211.06226653691,0.0472300061840213,5,0.00189785219833872,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
43,8,0.000253421186011151,5582.51434130986,0.131751691157372,5,0.00151975488570436,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
44,15,0.000245941957697983,11410.2736368663,0.0625567679872508,6,0.00279190091335544,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
45,20,0.000264480296217932,19087.4364630035,0.155023904261132,5,0.00367094514976005,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
46,21,0.000251762336354481,19448.7678492807,0.0591571337058562,5,0.00392078589430952,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
47,7,0.00023084025854109,4718.67929264229,0.0319624645097287,6,0.00140963784550671,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
48,5,0.000215007525263384,1093.10046419853,0.0236333394336835,6,0.00100838988863716,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
49,23,0.00025516713447308,21242.3058785642,0.0658451920206636,5,0.00434117563222629,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
50,8,0.000214546234713581,3059.4299842008,0.0193391444230235,6,0.00153355340435887,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
51,7,0.000232828870779977,3203.98892065694,0.0457056104469156,5,0.00136324382346706,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
52,11,0.00022456770716371,5564.9023719807,0.0321187092605273,6,0.00214629954587362,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
53,7,0.000247831474597274,4503.06698809607,0.106373230119986,5,0.00138723551010449,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
54,4,0.000216450216450216,1900.89917889271,0.0230979951894473,6,0.000856075710560027,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
55,3,0.00021362956633198,663.663365616174,0.0309467503849196,6,0.000619776233427492,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
56,10,0.000256739409499358,7689.27437792555,0.12660030875531,5,0.00188675603249706,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
57,7,0.000243605359317905,5467.45124363644,0.101968838507738,5,0.00138788669651483,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
58,8,0.00023084025854109,2880.29053215904,0.0572290045907965,6,0.00154916178161279,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
59,21,0.00025779840164991,20994.488098081,0.143589740347413,5,0.00380840615257273,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
60,16,0.000220215811495265,8910.0600334402,0.0244032470856453,6,0.00305247829593943,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
61,11,0.000227894257064722,5182.65058294132,0.0343487774151927,6,0.00209331215334828,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
62,15,0.000227634873662645,8269.55150671479,0.0497549236269781,6,0.00291958041215941,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
63,11,0.000243605359317905,7212.27157751302,0.0565334636689571,5,0.00198942290668857,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
64,9,0.00024869435463815,4841.81848667097,0.11210445572899,5,0.00175747350306257,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
65,20,0.000242424242424242,16591.6425768379,0.062250801083448,5,0.00377428903315224,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
66,17,0.000239693192713327,12425.0047276958,0.0700677243972319,5,0.00315068964286116,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
67,6,0.000227790432801822,2526.15985128908,0.0385847478012629,5,0.00118754046572914,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
68,2,0.000214270409256482,71.4600885183302,0.0208821742878966,6,0.000450218970187431,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
69,4,0.000210526315789474,1801.60734226976,0.0117209436085785,6,0.000820671066856207,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
70,12,0.000226551880380607,6823.91278568868,0.0393437572394299,5,0.00233532532056766,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
71,16,0.00022456770716371,8673.54255129282,0.054334664140654,6,0.00304502533227307,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
72,6,0.000236630383341221,3162.95239449029,0.0578075169720954,5,0.00121294519700162,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
73,6,0.00022075055187638,3101.6028373264,0.0249237033370455,6,0.00116772802308229,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
74,3,0.000246184145741014,1635.51891492165,0.103399238762869,5,0.000603646158007703,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
75,3,0.000236630383341221,655.1543756273,0.0493442348654507,5,0.000618465173864424,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
76,7,0.000201531640467553,2128.1214568892,0.00957948312198566,6,0.00140379372001224,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
77,6,0.000225682690137666,2995.01766468152,0.0320530128979601,6,0.00114447752371683,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
78,12,0.000214638334406525,5798.66958830303,0.017753676222816,6,0.00234408906564253,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
79,2,0.000206868018204386,0,0.012814952245769,6,0.000438489402833074,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
80,4,0.000243131534159981,2077.22320389331,0.0949333263119792,5,0.000832543577025832,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
81,8,0.000235793444942231,4657.29490643287,0.049147056051801,5,0.00150982138237996,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
82,3,0.000217155266015201,1153.14786610144,0.0271805319226865,6,0.000641696204510876,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
83,9,0.000251698968034231,5572.77019857063,0.109358765381906,5,0.00166304643368781,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
84,6,0.000200481154771451,999.105740770069,0.00879965981483409,6,0.00120345866631164,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
85,10,0.000246852628980499,7202.4544397531,0.111369379183772,5,0.00191404285774216,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
86,3,0.000224870699347875,1232.63411324538,0.0438477123275172,6,0.000645620661661964,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
87,6,0.000240096038415366,3991.24353481924,0.0528904523829945,5,0.00112499008031081,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
88,16,0.000236854571293226,5935.04872484942,0.0491642374253912,5,0.00293922539759499,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
89,4,0.000193648334624322,519.274764186257,0.00565337714642729,6,0.000849664707365385,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
90,12,0.000210260723296888,5739.47070057281,0.0177648294108454,6,0.00238800867481012,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
91,10,0.000261643118785976,7061.71254956187,0.136475644005668,5,0.00189760097734846,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
92,6,0.000230680507497116,3370.92020582589,0.036507565932237,5,0.00119002261921864,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
93,6,0.000228728270814273,4287.84442377943,0.0329106777090423,5,0.00120591339044052,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
94,6,0.000209907640638119,1814.14035815202,0.0200247559996512,6,0.00118028514837038,1200,2396,3.99333333333333,101,4.10776897414512,0.0114204139900071,7,0.00333055323881012,-0.0913208404844108,4.10776897414512,288,3
