node,degree,closeness,betweenness,eigenvalue,eccentricity,pagerank,graph_size,graph_edges,graph_avg_degree,graph_max_degree,graph_apl,graph_clust_coef,graph_diameter,graph_density,graph_assortativity,avg_distance,graph_triads,graph_girth
1,35,0.000272776868521549,52124.8869032972,0.231837069793612,5,0.00575404340844564,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
2,58,0.000265745415891576,79709.85853014,0.168497567653543,5,0.00951161016239501,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
3,83,0.000304692260816575,187015.910485093,0.46084215545225,4,0.0134758099009532,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
4,140,0.000309597523219814,271010.828392142,1,5,0.0230236335734415,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
5,91,0.000278086763070078,137335.157274536,0.322018901880389,5,0.0151036121258769,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
6,11,0.000241721053903795,11342.7929377676,0.105123600333294,5,0.0018508207945915,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
7,28,0.000256278831368529,33044.2134496803,0.163190125062674,5,0.0047528717578702,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
8,19,0.000245037980887037,24527.3953405822,0.0800824871788334,5,0.00323205813384289,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
9,4,0.000223713646532438,2684.8678174528,0.0396014995185009,5,0.000717152819291858,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
10,4,0.00023623907394283,2002.41232970052,0.0635986577000913,5,0.000693416860633286,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
11,11,0.000246730816679003,10204.9796642484,0.1152222120977,5,0.00189525089733349,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
12,21,0.00025,22570.0085968219,0.131553388814849,5,0.00353508304739125,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
13,4,0.000240500240500241,4659.16817479873,0.102470896814914,5,0.000732705726319601,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
14,4,0.000223264121455682,3645.17003863718,0.0408071898523461,5,0.000709138299779333,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
15,36,0.000246244767298695,47016.9559570527,0.0689179083799147,5,0.00590402005103033,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
16,24,0.000257864878803507,26772.6354630493,0.161106533363677,5,0.00408796363675599,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
17,14,0.00023441162681669,13110.6435940953,0.0510597481819735,5,0.00247512050619476,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
18,23,0.000236910684671879,19212.5412116676,0.131112144207178,5,0.00395436884801312,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
19,27,0.000247157686604053,30113.5660588586,0.134339411533148,5,0.00455960627554408,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
20,19,0.000239120038259206,15321.8953127722,0.125670339749986,5,0.00319831169208702,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
21,28,0.000243427458617332,28322.4805371862,0.0849647781883663,5,0.00469333929582489,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
22,2,0.000241896468311563,0,0.111174790198491,5,0.000393176244198753,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
23,30,0.000248447204968944,36280.2450276528,0.146686652593699,5,0.00494128288184739,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
24,13,0.000235682300259251,11410.2652923783,0.110680709998093,5,0.00228631079018766,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
25,11,0.000213583938487826,6036.78663135462,0.0334727669782033,6,0.00187388539954891,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
26,29,0.000230520977408944,28253.4661307563,0.0344716883541963,5,0.00492269051678717,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
27,5,0.000226244343891403,364.310293132271,0.106882901914786,5,0.000869845121959544,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
28,3,0.000194969779684149,609.354926218816,0.0205870763722331,6,0.00055875875222431,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
29,12,0.000216637781629116,6724.01074114079,0.0423537918592002,6,0.00211224449147066,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
30,4,0.000234686693264492,2221.06873777084,0.0906669536328553,5,0.000728087757451299,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
31,19,0.000213675213675214,13924.4547627023,0.0347757714616119,5,0.00335385787135251,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
32,14,0.000246669955599408,14788.8705481054,0.114682056731881,5,0.00242879676744697,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
33,11,0.000236183278223902,10892.8646110106,0.0885469820326808,5,0.00196237527542163,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
34,17,0.000225275963054742,12964.4023388313,0.0505569248286201,5,0.00292452323206337,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
35,14,0.000207641196013289,7662.34722011315,0.0310645042730296,6,0.00244820840129036,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
36,6,0.000239980801535877,4966.14857345642,0.106310722139808,5,0.00108001759489637,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
37,5,0.000227066303360581,3702.69434013364,0.0822080617673801,5,0.000913623892350002,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
38,9,0.000218007412252017,6472.73644689191,0.0327843065916885,5,0.00161176638915717,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
39,4,0.000227272727272727,1716.00506327653,0.0899593334848396,5,0.00075914971499451,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
40,17,0.000231749710312862,12926.0250893335,0.0620773496503259,5,0.00288702067364937,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
41,7,0.000200561572402728,3964.06464138118,0.00966505129040616,6,0.00128467102077989,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
42,11,0.000241312741312741,12541.0004714988,0.069793877464568,5,0.00187864935170895,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
43,15,0.000219058050383352,10256.8577612125,0.0395402329984623,6,0.00264763986870864,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
44,25,0.000219587176108915,19127.5868333968,0.0391403741544575,6,0.00434169154701644,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
45,8,0.000223914017017465,5029.91500672348,0.0329379808566705,5,0.00136218745898551,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
46,11,0.000208420175072947,5553.6806813952,0.0169480523370503,5,0.00200693553182022,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
47,3,0.000208116545265349,958.996996698872,0.0278665195118124,5,0.000589386278021527,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
48,18,0.000231642344220524,17388.4525362825,0.0608397081110511,5,0.00311487875750047,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
49,13,0.000216497077289457,7268.29528051656,0.0216321189381718,5,0.00232314702549101,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
50,5,0.000201126307320998,1369.61848451243,0.013414797101567,6,0.000905881140237027,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
51,2,0.000200080032012805,646.727429715042,0.0141724654219177,6,0.000405420556263802,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
52,18,0.00021092596498629,7366.35057359211,0.0417752654704619,5,0.00313714878591049,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
53,13,0.000229515721826945,9418.15646443413,0.0583200354283024,5,0.00218618288231474,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
54,22,0.000225022502250225,20513.7895476975,0.0394136038736941,6,0.00375163343458914,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
55,3,0.000236462520690471,1106.95378653027,0.0967810108455099,5,0.000542169941480317,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
56,6,0.000219346347883308,2952.35300091869,0.0278189486102181,5,0.00106662173966764,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
57,14,0.000234631628343501,16603.2443230457,0.0882459299528807,5,0.00247189193723646,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
58,4,0.000210659363808721,2036.44616238329,0.0313451667965021,5,0.000718743274363393,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
59,4,0.000202224469160768,954.461783719248,0.016180555914703,5,0.000754709688836789,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
60,17,0.000232396002788752,17983.8468489085,0.101648862816167,5,0.00297393156644323,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
61,19,0.000209731543624161,9938.77758971628,0.0190516778093696,6,0.00327530252515896,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
62,8,0.000213356091316407,4379.22932630529,0.0309891106229651,5,0.00144683076412289,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
63,7,0.000233535730966838,7518.38970314313,0.051547831349144,5,0.0012324352635334,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
64,11,0.000206868018204386,5953.34613375485,0.0268718088107276,6,0.00199419601621962,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
65,8,0.000191497510532363,3300.03991081999,0.00721701465885116,6,0.00143359934153728,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
66,3,0.000222568439795237,1105.97949177971,0.0379490880317093,5,0.000579254311918229,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
67,16,0.000206825232678387,7436.72558259726,0.0247817441014405,6,0.00273257223400784,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
68,8,0.000207813798836243,3728.34745136688,0.027532041129776,6,0.00143233825866535,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
69,9,0.000224466891133558,7886.56474484744,0.0464254683580991,5,0.00159643280673088,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
70,3,0.000221238938053097,1865.30062305226,0.0847946485356069,6,0.00058761176515357,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
71,4,0.000194363459669582,2054.55461744321,0.00763186121528365,6,0.00078486865039948,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
72,6,0.000202061022428773,3431.81012000096,0.00978270877368376,6,0.00108580851860254,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
73,16,0.00021654395842356,10197.946288746,0.0287912789392998,5,0.00276115084176729,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
74,13,0.000218770509735288,9849.21367269587,0.031045845808689,6,0.00227352949839429,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
75,6,0.000199322304165836,3421.25671258389,0.0151418619320986,6,0.00112825125230863,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
76,5,0.000188217579521927,1417.57408282718,0.00555701122520462,6,0.000940557346845386,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
77,18,0.000210039907582441,10584.8097589379,0.0227754561252374,6,0.00309362694820233,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
78,8,0.000210393435724805,2649.91491617378,0.034853194194996,6,0.00142664744321302,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
79,10,0.000244798041615667,7954.11865936943,0.12146659142762,5,0.00178945104199575,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
80,3,0.000222816399286988,1043.60220638494,0.0433968728497416,5,0.000570061840275353,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
81,2,0.000200601805416249,237.653718791653,0.0211749627521108,6,0.000398474325145676,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
82,8,0.000215889464594128,2369.40831993873,0.0401714973179361,5,0.0014441503469786,1300,2596,3.99384615384615,140,4.07314146976965,0.0122266845158411,7,0.00307455439095162,-0.0948513469216439,4.07314146976965,411,3
